target_shard	seed_block	run_id	benchmark	strategy	input_json	input_manifest	seeds	sample	execution_candidate_count	merged_candidate_count	selected_model_policy	status	role
01	101_105	server_v2_attack_scoreable_size_balanced_shard01_msa_reuse_protenix5_seed101_105	casp16_server_protein_v2_aliasfix	target_shards_scoreable_size_balanced_v1_server_attack_protenix5	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard01_msa_reuse_protenix5_seed101_105/inputs/scoreable_size_balanced_01.inputs.msa-reuse.json	benchmarks/casp16_server_protein_v2_aliasfix/input_manifest.tsv	101,102,103,104,105	1	5	25	protenix_confidence_v1	reuse_existing_p14_pending	protenix5_reuse
01	106_110	server_v2_attack_scoreable_size_balanced_shard01_msa_reuse_protenix25_seed106_110	casp16_server_protein_v2_aliasfix	target_shards_scoreable_size_balanced_v1_server_attack_protenix25	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard01_msa_reuse_protenix25_seed106_110/inputs/scoreable_size_balanced_01.inputs.msa-reuse.json	benchmarks/casp16_server_protein_v2_aliasfix/input_manifest.tsv	106,107,108,109,110	1	5	25	protenix_confidence_v1	deferred:await_protenix5_score	deferred
01	111_115	server_v2_attack_scoreable_size_balanced_shard01_msa_reuse_protenix25_seed111_115	casp16_server_protein_v2_aliasfix	target_shards_scoreable_size_balanced_v1_server_attack_protenix25	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard01_msa_reuse_protenix25_seed111_115/inputs/scoreable_size_balanced_01.inputs.msa-reuse.json	benchmarks/casp16_server_protein_v2_aliasfix/input_manifest.tsv	111,112,113,114,115	1	5	25	protenix_confidence_v1	deferred:await_protenix5_score	deferred
01	116_120	server_v2_attack_scoreable_size_balanced_shard01_msa_reuse_protenix25_seed116_120	casp16_server_protein_v2_aliasfix	target_shards_scoreable_size_balanced_v1_server_attack_protenix25	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard01_msa_reuse_protenix25_seed116_120/inputs/scoreable_size_balanced_01.inputs.msa-reuse.json	benchmarks/casp16_server_protein_v2_aliasfix/input_manifest.tsv	116,117,118,119,120	1	5	25	protenix_confidence_v1	deferred:await_protenix5_score	deferred
01	121_125	server_v2_attack_scoreable_size_balanced_shard01_msa_reuse_protenix25_seed121_125	casp16_server_protein_v2_aliasfix	target_shards_scoreable_size_balanced_v1_server_attack_protenix25	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard01_msa_reuse_protenix25_seed121_125/inputs/scoreable_size_balanced_01.inputs.msa-reuse.json	benchmarks/casp16_server_protein_v2_aliasfix/input_manifest.tsv	121,122,123,124,125	1	5	25	protenix_confidence_v1	deferred:await_protenix5_score	deferred
02	101_105	server_v2_attack_scoreable_size_balanced_shard02_msa_reuse_protenix5_seed101_105	casp16_server_protein_v2_aliasfix	target_shards_scoreable_size_balanced_v1_server_attack_protenix5	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard02_msa_reuse_protenix5_seed101_105/inputs/scoreable_size_balanced_02.inputs.msa-reuse.json	benchmarks/casp16_server_protein_v2_aliasfix/input_manifest.tsv	101,102,103,104,105	1	5	25	protenix_confidence_v1	reuse_existing_p14_pending	protenix5_reuse
02	106_110	server_v2_attack_scoreable_size_balanced_shard02_msa_reuse_protenix25_seed106_110	casp16_server_protein_v2_aliasfix	target_shards_scoreable_size_balanced_v1_server_attack_protenix25	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard02_msa_reuse_protenix25_seed106_110/inputs/scoreable_size_balanced_02.inputs.msa-reuse.json	benchmarks/casp16_server_protein_v2_aliasfix/input_manifest.tsv	106,107,108,109,110	1	5	25	protenix_confidence_v1	deferred:await_protenix5_score	deferred
02	111_115	server_v2_attack_scoreable_size_balanced_shard02_msa_reuse_protenix25_seed111_115	casp16_server_protein_v2_aliasfix	target_shards_scoreable_size_balanced_v1_server_attack_protenix25	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard02_msa_reuse_protenix25_seed111_115/inputs/scoreable_size_balanced_02.inputs.msa-reuse.json	benchmarks/casp16_server_protein_v2_aliasfix/input_manifest.tsv	111,112,113,114,115	1	5	25	protenix_confidence_v1	deferred:await_protenix5_score	deferred
02	116_120	server_v2_attack_scoreable_size_balanced_shard02_msa_reuse_protenix25_seed116_120	casp16_server_protein_v2_aliasfix	target_shards_scoreable_size_balanced_v1_server_attack_protenix25	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard02_msa_reuse_protenix25_seed116_120/inputs/scoreable_size_balanced_02.inputs.msa-reuse.json	benchmarks/casp16_server_protein_v2_aliasfix/input_manifest.tsv	116,117,118,119,120	1	5	25	protenix_confidence_v1	deferred:await_protenix5_score	deferred
02	121_125	server_v2_attack_scoreable_size_balanced_shard02_msa_reuse_protenix25_seed121_125	casp16_server_protein_v2_aliasfix	target_shards_scoreable_size_balanced_v1_server_attack_protenix25	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard02_msa_reuse_protenix25_seed121_125/inputs/scoreable_size_balanced_02.inputs.msa-reuse.json	benchmarks/casp16_server_protein_v2_aliasfix/input_manifest.tsv	121,122,123,124,125	1	5	25	protenix_confidence_v1	deferred:await_protenix5_score	deferred
03	101_105	server_v2_attack_scoreable_size_balanced_shard03_msa_reuse_protenix5_seed101_105	casp16_server_protein_v2_aliasfix	target_shards_scoreable_size_balanced_v1_server_attack_protenix5	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard03_msa_reuse_protenix5_seed101_105/inputs/scoreable_size_balanced_03.inputs.msa-reuse.json	benchmarks/casp16_server_protein_v2_aliasfix/input_manifest.tsv	101,102,103,104,105	1	5	25	protenix_confidence_v1	reuse_existing_p14_pending	protenix5_reuse
03	106_110	server_v2_attack_scoreable_size_balanced_shard03_msa_reuse_protenix25_seed106_110	casp16_server_protein_v2_aliasfix	target_shards_scoreable_size_balanced_v1_server_attack_protenix25	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard03_msa_reuse_protenix25_seed106_110/inputs/scoreable_size_balanced_03.inputs.msa-reuse.json	benchmarks/casp16_server_protein_v2_aliasfix/input_manifest.tsv	106,107,108,109,110	1	5	25	protenix_confidence_v1	deferred:await_protenix5_score	deferred
