target_id	target_prefix	description	status	skip_reason	sequence_records	entity_count	total_len	output_json
T1201	T	Q9GZX9 8bwd	ok		1	1	210	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
H1202	H	Q9GZX9_plus_P43026 8bwl	ok		2	2	190	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
R1203	R	Rev response element stem-loop II 8uo6	ok		1	1	134	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
H1204	H	Human hemoglobin in complex with nanobody 8vyl	ok		3	3	429	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
L1000	L	Chymase	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
L2000	L	Cathepsin G	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
L3000	L	Autotaxin	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
L4000	L	MPro	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
R1205	R	xrRNA 9cfn	ok		1	1	59	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T0206	T	Porcine astrovirus 4 capsid spike	ok		1	1	237	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T1207	T	Q9YLS4, 2A protein part of viral polyprotein	ok		1	1	144	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
H0208	H	dahAB	ok		2	2	646	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T0208S1	T	dahAB   subunit 1	ok		1	1	328	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T0208S2	T	dahAB   subunit 2	ok		1	1	318	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
H0215	H	mNeonGreen with bound nanobody	ok		2	2	369	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
M1209	M	FAB - HIV-I RRE stem loop II  9c2k	ok		6	6	1040	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
R1209	R	FAB - HIV-I RRE stem loop II  9c2k  RNA component	ok		1	1	72	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T1210	T	Q868N5 9enr	ok		1	1	1770	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
M1211	M	CVB3 cloverleaf RNA in complex with 3C protease 9dcf	ok		2	2	282	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
R1211	R	CVB3 cloverleaf RNA in complex with 3C protease 9dcf  RNA component	ok		1	1	90	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T1214	T	YncD (NP_415968) 9c4o	ok		1	1	677	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
M1212	M	Fanzor2 ternary structure 9b0l	ok		4	4	809	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
R1212	R	Fanzor2 ternary structure 9b0l  RNA component	ok		1	1	247	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T1212	T	Fanzor2 ternary structure 9b0l  protein subunit of M1212	ok		2	2	578	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
H0213	H	DP71_eIF2_PP1_complex   <em><font color=red>Canceled - released with wrong sequence.</font></em>	ok		5	5	1373	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
M1216	M	Tetrameric SPARSAgRNA�target ssDNA complex	ok		4	4	1106	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T2201	T	Q9GZX9	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
H0217	H	AcP10_eIF2B_complex	ok		6	6	2939	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
H2202	H	Q9GZX9_plus_P43026	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
H2204	H	Human hemoglobin in complex with nanobody	skipped	no_sequence_record	0	0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T0218	T	Cry26Aa	ok		1	1	1164	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
T1219	T	HD6 uniprot Q01524	ok		1	1	32	/scratch/10992/liaorunlong93/casp16-leaderboard/data/inputs/casp16_all.json
