target_id	pdb_ids	source
T1201	8bwd	targetlist.cgi
H1202	8bwl	targetlist.cgi
R1203	8uo6	targetlist.cgi
H1204	8vyl	targetlist.cgi
R1205	9cfn	targetlist.cgi
M1209	9c2k	targetlist.cgi
R1209	9c2k	targetlist.cgi
T1210	9enr	targetlist.cgi
M1211	9dcf	targetlist.cgi
R1211	9dcf	targetlist.cgi
T1214	9c4o	targetlist.cgi
M1212	9b0l	targetlist.cgi
R1212	9b0l	targetlist.cgi
T1212	9b0l	targetlist.cgi
T1206	9cp0	targetlist.cgi
H1213	9nb9	targetlist.cgi
T1249V1	9fya	targetlist.cgi
T1249V2	9fyg	targetlist.cgi
R1242	9ely	targetlist.cgi
H1220	9h1g	targetlist.cgi
T1220S1	9h1g	targetlist.cgi
H1222	9cqd	targetlist.cgi
H1223	9cqb	targetlist.cgi
M1239V1	9dxd	targetlist.cgi
M1239V2	9dxd	targetlist.cgi
T1239V1	9dxd	targetlist.cgi
T1239V2	9dxd	targetlist.cgi
H1225	9cqa	targetlist.cgi
R1260	9cbu,9cbx	targetlist.cgi
H1227	9n8w	targetlist.cgi
T1227S1	9n8w	targetlist.cgi
R1261	9bzc	targetlist.cgi
R1262	9bz1	targetlist.cgi
H1232	9cn2	targetlist.cgi
H1233	9cbn	targetlist.cgi
H1236	8qpq	targetlist.cgi
T1234	8qpq	targetlist.cgi
T1235	8qpq	targetlist.cgi
T1266	8qfb	targetlist.cgi
R1263	8vqv	targetlist.cgi
R1264	8vvj	targetlist.cgi
T1269	9gvq	targetlist.cgi
D1273	9hio	targetlist.cgi
H1258	9ci3	targetlist.cgi
H0272	9c3c	targetlist.cgi
T0272S2	9c3c	targetlist.cgi
T0272S3	9c3c	targetlist.cgi
T0272S4	9c3c	targetlist.cgi
T0272S5	9c3c	targetlist.cgi
T0272S6	9c3c	targetlist.cgi
T0272S7	9c3c	targetlist.cgi
T0272S8	9c3c	targetlist.cgi
T0272S9	9c3c	targetlist.cgi
R1286	9j6y	targetlist.cgi
T1280	9f5m	targetlist.cgi
R1251	9mee	targetlist.cgi
H1272	9c3c	targetlist.cgi
T1272S2	9c3c	targetlist.cgi
T1272S3	9c3c	targetlist.cgi
T1272S4	9c3c	targetlist.cgi
T1272S5	9c3c	targetlist.cgi
T1272S6	9c3c	targetlist.cgi
T1272S7	9c3c	targetlist.cgi
T1272S8	9c3c	targetlist.cgi
T1272S9	9c3c	targetlist.cgi
T2280	9f5m	targetlist.cgi
M1296	9c75	targetlist.cgi
R1283V1	9isv	targetlist.cgi
R1283V2	9j3r	targetlist.cgi
R1283V3	9j3t	targetlist.cgi
R1296	9c75	targetlist.cgi
R1285	9mcw	targetlist.cgi
H2272	9c3c	targetlist.cgi
T1269V1	9gvq	targetlist.cgi
T1298	9sfa	targetlist.cgi
T2272S2	9c3c	targetlist.cgi
T2272S3	9c3c	targetlist.cgi
T2272S4	9c3c	targetlist.cgi
T2272S5	9c3c	targetlist.cgi
T2272S6	9c3c	targetlist.cgi
T2272S7	9c3c	targetlist.cgi
T2272S8	9c3c	targetlist.cgi
T2272S9	9c3c	targetlist.cgi
T1299	9fjl	targetlist.cgi
R1261V1	9bzc	targetlist.cgi
R1262V1	9bz1	targetlist.cgi
R1263V1	8vqv	targetlist.cgi
R1264V1	8vvj	targetlist.cgi
