task_name	chain_index	sequence_sha256	sequence_len	status	source_run_id	source_task_name	source_json	paired_msa_path	paired_msa_exists	paired_msa_size	unpaired_msa_path	unpaired_msa_exists	unpaired_msa_size	message
T0206	0	f88188b8caba776501637651f3c41ab3b08bbc237761c098d25da0490332318a	237	kept_existing				/scratch/10992/liaorunlong93/casp16-leaderboard/data/msa_cache/store/f8/f88188b8caba776501637651f3c41ab3b08bbc237761c098d25da0490332318a/paired.383974df59ba251679051b4eb019b7e08b3dbd13c2dd127def99037158e58d93.a3m	true	15063	/scratch/10992/liaorunlong93/casp16-leaderboard/data/msa_cache/store/f8/f88188b8caba776501637651f3c41ab3b08bbc237761c098d25da0490332318a/unpaired.3298e8f46eb3600e5e199738bbbdfd2f97a97ab14d5defb4c615df7ecefeeae0.a3m	true	2912	input_already_has_existing_msa_paths
T0218	0	ee2b4272dc9aad5f20192958794de7e50a216a6dc9a54d38435f5d6fecc75f46	1164	kept_existing				/scratch/10992/liaorunlong93/casp16-leaderboard/data/msa_cache/store/ee/ee2b4272dc9aad5f20192958794de7e50a216a6dc9a54d38435f5d6fecc75f46/paired.cd0b25e4d229c2ce443c1af4d2991545ab2e3d8def7dd4805d0e42e65799d8e9.a3m	true	1256287	/scratch/10992/liaorunlong93/casp16-leaderboard/data/msa_cache/store/ee/ee2b4272dc9aad5f20192958794de7e50a216a6dc9a54d38435f5d6fecc75f46/unpaired.6d5ca46ec257d309d2a69c8b6b638b234810d23d71a437f26be73da6c2461fbf.a3m	true	750595	input_already_has_existing_msa_paths
T0234	0	92e0ae5ec6bea77badf08dafbd68178a36fa7245a33b543b0ae70828eb29699e	413	kept_existing				/scratch/10992/liaorunlong93/casp16-leaderboard/data/msa_cache/store/92/92e0ae5ec6bea77badf08dafbd68178a36fa7245a33b543b0ae70828eb29699e/paired.15314eead58e4c97d60bd4f95d3ec7dd0853319910faa090274c6fc62960f0ed.a3m	true	5383	/scratch/10992/liaorunlong93/casp16-leaderboard/data/msa_cache/store/92/92e0ae5ec6bea77badf08dafbd68178a36fa7245a33b543b0ae70828eb29699e/unpaired.e4215bceb45b774c457385f90559faf2576275875ae0d30e8e5ed3c5f3dc27dd.a3m	true	16680	input_already_has_existing_msa_paths
T0235	0	60828aeb55d92f67cd0a5163963debca946a1960214b919cc0de99bcd0c0ba13	115	kept_existing				/scratch/10992/liaorunlong93/casp16-leaderboard/data/msa_cache/store/60/60828aeb55d92f67cd0a5163963debca946a1960214b919cc0de99bcd0c0ba13/paired.916ec02d85caa54aa5d2b22859c5a9df570a75a8e56278eee3f3d22e568ee004.a3m	true	308	/scratch/10992/liaorunlong93/casp16-leaderboard/data/msa_cache/store/60/60828aeb55d92f67cd0a5163963debca946a1960214b919cc0de99bcd0c0ba13/unpaired.d536a2f9acc6465c577ba2060b395140e7c3c0ca0b01bf596977ecc233e769b1.a3m	true	3161	input_already_has_existing_msa_paths
T0237	0	ef4f261694f27da1a336936eb5b19e10003575c5623bd53bd91e084b0aa94960	488	kept_existing				/scratch/10992/liaorunlong93/casp16-leaderboard/data/msa_cache/store/ef/ef4f261694f27da1a336936eb5b19e10003575c5623bd53bd91e084b0aa94960/paired.5d4630c3c38bfa17bff6f703651c5b90829f60816169965c6c6fc93e8cd59a31.a3m	true	216794	/scratch/10992/liaorunlong93/casp16-leaderboard/data/msa_cache/store/ef/ef4f261694f27da1a336936eb5b19e10003575c5623bd53bd91e084b0aa94960/unpaired.85e02102866575572d9441ff6d947f00aa3b021ae9a40d58add317da2be56ce9.a3m	true	689920	input_already_has_existing_msa_paths
T0240	0	c6b13ec1eddd13849086c23f709676aa9a2af3f25af4c441a35be4d2dc2209c2	653	kept_existing				/scratch/10992/liaorunlong93/casp16-leaderboard/data/msa_cache/store/c6/c6b13ec1eddd13849086c23f709676aa9a2af3f25af4c441a35be4d2dc2209c2/paired.b22aeb853a5c7c79d378e356945599d23c0c0cb3462f4cd952f06afd1d4222ac.a3m	true	471272	/scratch/10992/liaorunlong93/casp16-leaderboard/data/msa_cache/store/c6/c6b13ec1eddd13849086c23f709676aa9a2af3f25af4c441a35be4d2dc2209c2/unpaired.616f2bfa0750144e4c0ff28fa0b67b8d4b65aeca102edced06fc282012a85047.a3m	true	1948374	input_already_has_existing_msa_paths
T0246	0	95e21154281236fde4c06a25f0acf6db285a09f5fb7ad88f3e8addabc65e0f45	168	kept_existing				/scratch/10992/liaorunlong93/casp16-leaderboard/data/msa_cache/store/95/95e21154281236fde4c06a25f0acf6db285a09f5fb7ad88f3e8addabc65e0f45/paired.8fb5fc6fd5151e2c7c524b1414ba784c2e1f5d218caa427f14ec71a89ee5af13.a3m	true	230729	/scratch/10992/liaorunlong93/casp16-leaderboard/data/msa_cache/store/95/95e21154281236fde4c06a25f0acf6db285a09f5fb7ad88f3e8addabc65e0f45/unpaired.bef383bb7b20da9e502bc866a9bf48f1c7c1beb5696c46133b5a9e08686dcd9f.a3m	true	800156	input_already_has_existing_msa_paths
T0257	0	5086eea92d9c9d2061ad6cc5cb457130be7e8c06e0e05fc2a3916232a3ff07af	1263	kept_existing				/scratch/10992/liaorunlong93/casp16-leaderboard/data/msa_cache/store/50/5086eea92d9c9d2061ad6cc5cb457130be7e8c06e0e05fc2a3916232a3ff07af/paired.a054188ae99be274954888c8522daf3c4aa49d235f793104a4aaf71e2ee5bace.a3m	true	262661	/scratch/10992/liaorunlong93/casp16-leaderboard/data/msa_cache/store/50/5086eea92d9c9d2061ad6cc5cb457130be7e8c06e0e05fc2a3916232a3ff07af/unpaired.c9dcc502d54ff1861b5ab82613468f314bbf94f27cdc3f984c3158469ea0ef67.a3m	true	1297448	input_already_has_existing_msa_paths
T0259	0	d731e42b2d04a71e9232375cd7e02f53221f63a4cebd24d61c77f63e651bfbf4	243	kept_existing				/scratch/10992/liaorunlong93/casp16-leaderboard/data/msa_cache/store/d7/d731e42b2d04a71e9232375cd7e02f53221f63a4cebd24d61c77f63e651bfbf4/paired.7b9442b02aae89500f75b7c6c2c02ff0073c35e76c7cd04339704fcc4cb1c6b8.a3m	true	490908	/scratch/10992/liaorunlong93/casp16-leaderboard/data/msa_cache/store/d7/d731e42b2d04a71e9232375cd7e02f53221f63a4cebd24d61c77f63e651bfbf4/unpaired.bfbbc72c4759703d489517e7d46450182382d188483b00f33c40afdd82a808a9.a3m	true	1664883	input_already_has_existing_msa_paths
T0270	0	d51351185cba94dcf1e0094d9e6eb5f73068054305f5b020e467a221ebedccba	437	kept_existing				/scratch/10992/liaorunlong93/casp16-leaderboard/data/msa_cache/store/d5/d51351185cba94dcf1e0094d9e6eb5f73068054305f5b020e467a221ebedccba/paired.01370c7b4f0b8ee1b1f79af432343c5071ed0c3c32b655da198bc56e32f2b715.a3m	true	4353330	/scratch/10992/liaorunlong93/casp16-leaderboard/data/msa_cache/store/d5/d51351185cba94dcf1e0094d9e6eb5f73068054305f5b020e467a221ebedccba/unpaired.08d1652d7d1ffb5259266757b900923eca2ed2c45c64e1a2b2af0f863a0bf284.a3m	true	5333200	input_already_has_existing_msa_paths
