task_name	chain_index	sequence_sha256	sequence_len	status	source_run_id	source_task_name	source_json	paired_msa_path	paired_msa_exists	paired_msa_size	unpaired_msa_path	unpaired_msa_exists	unpaired_msa_size	message
T0235O	0	60828aeb55d92f67cd0a5163963debca946a1960214b919cc0de99bcd0c0ba13	115	reused	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	T0235	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101/inputs/inputs-update-msa.json	/scratch/10992/liaorunlong93/casp16-leaderboard/data/msa_cache/store/60/60828aeb55d92f67cd0a5163963debca946a1960214b919cc0de99bcd0c0ba13/paired.916ec02d85caa54aa5d2b22859c5a9df570a75a8e56278eee3f3d22e568ee004.a3m	true	308	/scratch/10992/liaorunlong93/casp16-leaderboard/data/msa_cache/store/60/60828aeb55d92f67cd0a5163963debca946a1960214b919cc0de99bcd0c0ba13/unpaired.d536a2f9acc6465c577ba2060b395140e7c3c0ca0b01bf596977ecc233e769b1.a3m	true	3161	exact_sequence_match
H1225	0	75ab8f84ed0b168b539d68f17aba776825247684115c480b6669b9540bbbd99c	41	reused	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	H0222	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101/inputs/inputs-update-msa.json	/scratch/10992/liaorunlong93/casp16-leaderboard/data/msa_cache/store/75/75ab8f84ed0b168b539d68f17aba776825247684115c480b6669b9540bbbd99c/paired.7498fbe52cba67cb2dfa3c83eb9b6b41fafcd9fbbc45e7563c86aebe639024f2.a3m	true	14826	/scratch/10992/liaorunlong93/casp16-leaderboard/data/msa_cache/store/75/75ab8f84ed0b168b539d68f17aba776825247684115c480b6669b9540bbbd99c/unpaired.ca5e9b5384be4db85da2983f361a50dc98eac85465d2ce1041ea623ecd967a7b.a3m	true	1865	exact_sequence_match
H1225	1	54b9daaeab560c718b37965e1a451a261ba329d12c9f707ca1cf73766b47615a	124	reused	server_protenix_yang_antibody_fv_cleanup_seed101	H0225	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_protenix_yang_antibody_fv_cleanup_seed101/inputs/inputs-update-msa.json	/scratch/10992/liaorunlong93/casp16-leaderboard/data/msa_cache/store/54/54b9daaeab560c718b37965e1a451a261ba329d12c9f707ca1cf73766b47615a/paired.52d2589161027b6f44f2ad647786e53755150baea83a2021efe0a204e6f851fe.a3m	true	1839774	/scratch/10992/liaorunlong93/casp16-leaderboard/data/msa_cache/store/54/54b9daaeab560c718b37965e1a451a261ba329d12c9f707ca1cf73766b47615a/unpaired.8134ab177cafba0c36d8fb0c823dc2aea26c72da369710982cf6fb5756386717.a3m	true	214788	exact_sequence_match
H1225	2	4b2f9cde447534034eda03e1c1df6cc896dc37e0245a5afb89b49278d6076d0e	107	reused	server_protenix_yang_antibody_fv_cleanup_seed101	H0225	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_protenix_yang_antibody_fv_cleanup_seed101/inputs/inputs-update-msa.json	/scratch/10992/liaorunlong93/casp16-leaderboard/data/msa_cache/store/4b/4b2f9cde447534034eda03e1c1df6cc896dc37e0245a5afb89b49278d6076d0e/paired.1d1751573af5a8445b878ea4a341b9ad833792c7277b4d8cabafb28f734480f6.a3m	true	1692570	/scratch/10992/liaorunlong93/casp16-leaderboard/data/msa_cache/store/4b/4b2f9cde447534034eda03e1c1df6cc896dc37e0245a5afb89b49278d6076d0e/unpaired.fa273a62e456a9290268aa6b8ab437ab833cbea41b415e3fb2618db44e33aeaa.a3m	true	743141	exact_sequence_match
H1222	0	75ab8f84ed0b168b539d68f17aba776825247684115c480b6669b9540bbbd99c	41	reused	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	H0222	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101/inputs/inputs-update-msa.json	/scratch/10992/liaorunlong93/casp16-leaderboard/data/msa_cache/store/75/75ab8f84ed0b168b539d68f17aba776825247684115c480b6669b9540bbbd99c/paired.7498fbe52cba67cb2dfa3c83eb9b6b41fafcd9fbbc45e7563c86aebe639024f2.a3m	true	14826	/scratch/10992/liaorunlong93/casp16-leaderboard/data/msa_cache/store/75/75ab8f84ed0b168b539d68f17aba776825247684115c480b6669b9540bbbd99c/unpaired.ca5e9b5384be4db85da2983f361a50dc98eac85465d2ce1041ea623ecd967a7b.a3m	true	1865	exact_sequence_match
H1222	1	49fa8d9bb2fde2e64eb4f7f22c9470b2dda6fa20dff0c6ca4ed8971a22b465ff	121	reused	server_protenix_yang_antibody_fv_cleanup_seed101	H0222	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_protenix_yang_antibody_fv_cleanup_seed101/inputs/inputs-update-msa.json	/scratch/10992/liaorunlong93/casp16-leaderboard/data/msa_cache/store/49/49fa8d9bb2fde2e64eb4f7f22c9470b2dda6fa20dff0c6ca4ed8971a22b465ff/paired.37e63176c43ff94985dfd03f1d49bb5b61f2db72450c30a1c9e17c62c64e4df1.a3m	true	1759057	/scratch/10992/liaorunlong93/casp16-leaderboard/data/msa_cache/store/49/49fa8d9bb2fde2e64eb4f7f22c9470b2dda6fa20dff0c6ca4ed8971a22b465ff/unpaired.54f92c2e17a550badb97a4961758d605cebb853fd70d7f78698b832a3738a3e1.a3m	true	232581	exact_sequence_match
H1222	2	06af75f66d1b073fc39c7c079e21387c46994c1743a5a925839ed79da839a8b3	112	reused	server_protenix_yang_antibody_fv_cleanup_seed101	H0222	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_protenix_yang_antibody_fv_cleanup_seed101/inputs/inputs-update-msa.json	/scratch/10992/liaorunlong93/casp16-leaderboard/data/msa_cache/store/06/06af75f66d1b073fc39c7c079e21387c46994c1743a5a925839ed79da839a8b3/paired.503859b5b4d3f0a8943e64c83d9fd817e26433b2563f73259435f39ec47eaead.a3m	true	1532274	/scratch/10992/liaorunlong93/casp16-leaderboard/data/msa_cache/store/06/06af75f66d1b073fc39c7c079e21387c46994c1743a5a925839ed79da839a8b3/unpaired.a424b725e5a07e2beb605684be68d74295dfe647554f14f4a99b5525342411ba.a3m	true	507646	exact_sequence_match
H1233	0	570d3e1904da25045a83432e77416530f2033e20a68423e9ebd0d8ee834f6f69	219	reused	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	H0233	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101/inputs/inputs-update-msa.json	/scratch/10992/liaorunlong93/casp16-leaderboard/data/msa_cache/store/57/570d3e1904da25045a83432e77416530f2033e20a68423e9ebd0d8ee834f6f69/paired.cbe60148b8b3c54262e42551c9473489c41f6eed8b574c3fc3fd825595fd725d.a3m	true	24004	/scratch/10992/liaorunlong93/casp16-leaderboard/data/msa_cache/store/57/570d3e1904da25045a83432e77416530f2033e20a68423e9ebd0d8ee834f6f69/unpaired.8d76efff9d13664ecbfa46a5c8afb4de621453f3f6ba41166cad1edcca9eacb6.a3m	true	2837	exact_sequence_match
H1233	1	df593f092422c9aca6e21f22e67de3be61854fddf4700a2ddae6f7f0c79a4128	119	reused	server_protenix_yang_antibody_fv_cleanup_seed101	H0233	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_protenix_yang_antibody_fv_cleanup_seed101/inputs/inputs-update-msa.json	/scratch/10992/liaorunlong93/casp16-leaderboard/data/msa_cache/store/df/df593f092422c9aca6e21f22e67de3be61854fddf4700a2ddae6f7f0c79a4128/paired.5fc140ac4442d834793b7f988f3a32edfa84d3226052f4038ddab8d4a0536481.a3m	true	1344387	/scratch/10992/liaorunlong93/casp16-leaderboard/data/msa_cache/store/df/df593f092422c9aca6e21f22e67de3be61854fddf4700a2ddae6f7f0c79a4128/unpaired.1bd51cbfe6a86733655e5b172a5a5d37a5a8217e6252e21ff9247f0b55081c95.a3m	true	223051	exact_sequence_match
H1233	2	ff5e5a8c4722b865bbc3ab1e97354c2f8a9cb610379498444f86aad9ec89e1da	109	reused	server_protenix_yang_antibody_fv_cleanup_seed101	H0233	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_protenix_yang_antibody_fv_cleanup_seed101/inputs/inputs-update-msa.json	/scratch/10992/liaorunlong93/casp16-leaderboard/data/msa_cache/store/ff/ff5e5a8c4722b865bbc3ab1e97354c2f8a9cb610379498444f86aad9ec89e1da/paired.365d60e4901dc1187d5999c60fbedb653432fea8a15cbaac13e459b079c568df.a3m	true	1359231	/scratch/10992/liaorunlong93/casp16-leaderboard/data/msa_cache/store/ff/ff5e5a8c4722b865bbc3ab1e97354c2f8a9cb610379498444f86aad9ec89e1da/unpaired.d35347e81f16e921d3b5d1f9a7ea1017e324d465d9dc7f99ccb98e8411553f27.a3m	true	277327	exact_sequence_match
