priority	benchmark	target_id	track	blocker_class	current_probe_run	current_probe_status	has_current_prediction	prediction_match_type	prediction_match_alias	input_status	reference_status	sequence_lookup_id	oligo_state	entity_count	chain_count	total_len	domain_count	domain_ids	official_metric	official_scored_rows	server_group_count	server_best_score	description	next_action
1	casp16_server_protein_v2_aliasfix	T1276	protein_domain	prediction_waiting_on_reference	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_reference	true	exact	T1276	ok	no_reference_pdb	T1276	A1	1	1	40	1	T1276-D1	GDT_TS	366	29	0.982000	One domain of  A0A026WM60_OOCBI in complex with 33mer ssDNA	find_native_reference_then_score_existing_prediction
2	casp16_server_protein_v2_aliasfix	T1284	protein_domain	prediction_waiting_on_reference	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_reference	true	exact	T1284	ok	no_reference_pdb	T1284	A1	1	1	120	1	T1284-D1	GDT_TS	314	27	0.884400	gp62	find_native_reference_then_score_existing_prediction
3	casp16_server_protein_v2_aliasfix	T1228V1	protein_domain	prediction_waiting_on_reference	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_reference	true	exact	T1228V1	ok	no_reference_pdb	T1228V1	A1	1	1	121	4	T1228V1-D1,T1228V1-D2,T1228V1-D3,T1228V1-D4	GDT_TS	1352	28	0.964800	SPbeta_int_DNA   protein subunit of M1228v1	find_native_reference_then_score_existing_prediction
4	casp16_server_protein_v2_aliasfix	T1226	protein_domain	prediction_waiting_on_reference	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_reference	true	exact	T1226	ok	no_reference_pdb	T1226	A1	1	1	123	1	T1226-D1	GDT_TS	313	28	0.723400	TuAsV-2A3 (part of polyprotein)	find_native_reference_then_score_existing_prediction
5	casp16_server_protein_v2_aliasfix	T1231	protein_domain	prediction_waiting_on_reference	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_reference	true	exact	T1231	ok	no_reference_pdb	T1231	A1	1	1	142	1	T1231-D1	GDT_TS	326	28	0.982400	A0A0E4G3H6	find_native_reference_then_score_existing_prediction
6	casp16_server_protein_v2_aliasfix	T1207	protein_domain	prediction_waiting_on_reference	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_reference	true	exact	T1207	ok	no_reference_pdb	T1207	A1	1	1	144	1	T1207-D1	GDT_TS	336	29	0.856600	Q9YLS4, 2A protein part of viral polyprotein	find_native_reference_then_score_existing_prediction
7	casp16_server_protein_v2_aliasfix	T1274	protein_domain	prediction_waiting_on_reference	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_reference	true	exact	T1274	ok	no_reference_pdb	T1274	A1	1	1	167	1	T1274-D1	GDT_TS	314	28	0.997200	CAB14884.3	find_native_reference_then_score_existing_prediction
8	casp16_server_protein_v2_aliasfix	T0246	protein_domain	prediction_waiting_on_reference	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_reference	true	exact	T0246	ok	no_reference_pdb	T0246	UNK	1	1	168	1	T1246-D1	GDT_TS	361	33	0.976200	DcmC	find_native_reference_then_score_existing_prediction
9	casp16_server_protein_v2_aliasfix	T1246	protein_domain	prediction_waiting_on_reference	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_reference	true	exact	T1246	ok	no_reference_pdb	T1246	UNK	1	1	168	1	T1246-D1	GDT_TS	324	29	0.965800	DcmC	find_native_reference_then_score_existing_prediction
10	casp16_server_protein_v2_aliasfix	T1259	protein_domain	prediction_waiting_on_reference	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_reference	true	exact	T1259	ok	no_reference_pdb	T1259	UNK	1	1	243	1	T1259-D1	GDT_TS	420	33	0.979200	AZI86_00190	find_native_reference_then_score_existing_prediction
11	casp16_server_protein_v2_aliasfix	T0259	protein_domain	prediction_waiting_on_reference	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_reference	true	exact	T0259	ok	no_reference_pdb	T0259	UNK	1	1	243	1	T1259-D1	GDT_TS	341	31	0.976700	AZI86_00190	find_native_reference_then_score_existing_prediction
12	casp16_server_protein_v2_aliasfix	T1243	protein_domain	prediction_waiting_on_reference	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_reference	true	exact	T1243	ok	no_reference_pdb	T1243	A1	1	1	293	1	T1243-D1	GDT_TS	323	28	0.887200	MTMA3 (UNIPROT ID: P0CH91)	find_native_reference_then_score_existing_prediction
13	casp16_server_protein_v2_aliasfix	T1278	protein_domain	prediction_waiting_on_reference	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_reference	true	exact	T1278	ok	no_reference_pdb	T1278	A1	1	1	380	1	T1278-D1	GDT_TS	313	27	0.995600	Dehydrogenase	find_native_reference_then_score_existing_prediction
14	casp16_server_protein_v2_aliasfix	T1292	protein_domain	prediction_waiting_on_reference	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_reference	true	exact	T1292	ok	no_reference_pdb	T1292	A2	1	2	392	1	T1292-D1	GDT_TS	344	32	1.000000	isocyanide hydratase-like iron binding protein	find_native_reference_then_score_existing_prediction
15	casp16_server_protein_v2_aliasfix	T1294V1	protein_domain	prediction_waiting_on_reference	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_reference	true	exact	T1294V1	ok	no_reference_pdb	T1294V1	A2	1	2	428	1	T1294V1-D1	GDT_TS	338	30	0.994000	Isocyanide hydratase	find_native_reference_then_score_existing_prediction
16	casp16_server_protein_v2_aliasfix	T1279	protein_domain	prediction_waiting_on_reference	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_reference	true	exact	T1279	ok	no_reference_pdb	T1279	An	1	1	428	2	T1279-D1,T1279-D2	GDT_TS	564	26	0.991700	Bd1369	find_native_reference_then_score_existing_prediction
17	casp16_server_protein_v2_aliasfix	T0270	protein_domain	prediction_waiting_on_reference	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_reference	true	exact	T0270	ok	no_reference_pdb	T0270	UNK	1	1	437	2	T1270-D1,T1270-D2	GDT_TS	700	31	0.961900	HtrA	find_native_reference_then_score_existing_prediction
18	casp16_server_protein_v2_aliasfix	T1270	protein_domain	prediction_waiting_on_reference	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_reference	true	exact	T1270	ok	no_reference_pdb	T1270	UNK	1	1	437	2	T1270-D1,T1270-D2	GDT_TS	756	29	0.961900	HtrA	find_native_reference_then_score_existing_prediction
19	casp16_server_protein_v2_aliasfix	T0237	protein_domain	prediction_waiting_on_reference	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_reference	true	exact	T0237	ok	no_reference_pdb	T0237	UNK	1	1	488	1	T1237-D1	GDT_TS	342	31	0.944500	Bd3071	find_native_reference_then_score_existing_prediction
20	casp16_server_protein_v2_aliasfix	T1237	protein_domain	prediction_waiting_on_reference	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_reference	true	exact	T1237	ok	no_reference_pdb	T1237	UNK	1	1	488	1	T1237-D1	GDT_TS	389	30	0.932000	Bd3071	find_native_reference_then_score_existing_prediction
21	casp16_server_protein_v2_aliasfix	T0240	protein_domain	prediction_waiting_on_reference	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_reference	true	exact	T0240	ok	no_reference_pdb	T0240	UNK	1	1	653	2	T1240-D1,T1240-D2	GDT_TS	656	30	0.997600	Bd3442	find_native_reference_then_score_existing_prediction
22	casp16_server_protein_v2_aliasfix	T1240	protein_domain	prediction_waiting_on_reference	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_reference	true	exact	T1240	ok	no_reference_pdb	T1240	UNK	1	1	653	2	T1240-D1,T1240-D2	GDT_TS	758	30	0.997600	Bd3442	find_native_reference_then_score_existing_prediction
23	casp16_server_protein_v2_aliasfix	T1218	protein_domain	prediction_waiting_on_reference	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_reference	true	exact	T1218	ok	no_reference_pdb	T1218	UNK	1	1	1164	3	T1218-D1,T1218-D2,T1218-D3	GDT_TS	1146	29	0.959000	Cry26Aa	find_native_reference_then_score_existing_prediction
24	casp16_server_protein_v2_aliasfix	T0218	protein_domain	prediction_waiting_on_reference	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_reference	true	exact	T0218	ok	no_reference_pdb	T0218	UNK	1	1	1164	3	T1218-D1,T1218-D2,T1218-D3	GDT_TS	888	27	0.975800	Cry26Aa	find_native_reference_then_score_existing_prediction
25	casp16_server_protein_v2_aliasfix	T1257	protein_domain	prediction_waiting_on_reference	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_reference	true	exact	T1257	ok	no_reference_pdb	T1257	UNK	1	1	1263	1	T1257-D1	GDT_TS	329	28	0.893900	P13390	find_native_reference_then_score_existing_prediction
26	casp16_server_protein_v2_aliasfix	T0257	protein_domain	prediction_waiting_on_reference	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_reference	true	exact	T0257	ok	no_reference_pdb	T0257	UNK	1	1	1263	1	T1257-D1	GDT_TS	302	27	0.893900	P13390	find_native_reference_then_score_existing_prediction
27	casp16_server_protein_v2_aliasfix	T1259O	protein_oligo	prediction_waiting_on_reference	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_reference	true	sequence_lookup	T1259	ok	no_reference_pdb	T1259	UNK	1	1	243	1	T1259-D1	QSglob	372	29	0.557000	AZI86_00190	find_native_reference_then_score_existing_prediction
28	casp16_server_protein_v2_aliasfix	T0259O	protein_oligo	prediction_waiting_on_reference	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_reference	true	sequence_lookup	T0259	ok	no_reference_pdb	T0259	UNK	1	1	243	1	T1259-D1	QSglob	261	24	0.548000	AZI86_00190	find_native_reference_then_score_existing_prediction
29	casp16_server_protein_v2_aliasfix	T1292O	protein_oligo	prediction_waiting_on_reference	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_reference	true	sequence_lookup	T1292	ok	no_reference_pdb	T1292	A2	1	2	392	1	T1292-D1	QSglob	293	28	0.977000	isocyanide hydratase-like iron binding protein	find_native_reference_then_score_existing_prediction
30	casp16_server_protein_v2_aliasfix	T1294V1O	protein_oligo	prediction_waiting_on_reference	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_reference	true	sequence_lookup	T1294V1	ok	no_reference_pdb	T1294V1	A2	1	2	428	1	T1294V1-D1	QSglob	558	27	0.957000	Isocyanide hydratase	find_native_reference_then_score_existing_prediction
