target_id	pdb_ids	status	source	native_provenance	construct_coverage	chain_mapping	scoring_mapping	notes	source_path
T1228V1	9dxd	rejected	rcsb_exact_sequence_probe		target_sequence_contained_in_candidate_entity			partial_or_construct_variant_candidate_do_not_promote_without_mapping | 9DXD_1 | attLmm bound serine integrase and RDF complex in the pre-rotation state | 2026-01-21T00:00:00.000+00:00 | ELECTRON MICROSCOPY	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/rcsb_exact_sequence_probe_v2_candidates.tsv
T1228V1	9dxf	rejected	rcsb_exact_sequence_probe		target_sequence_contained_in_candidate_entity			partial_or_construct_variant_candidate_do_not_promote_without_mapping | 9DXF_1 | attLmm bound serine integrase and RDF complex in the post-rotation state | 2026-01-21T00:00:00.000+00:00 | ELECTRON MICROSCOPY	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/rcsb_exact_sequence_probe_v2_candidates.tsv
T1228V1	9dxg	rejected	rcsb_exact_sequence_probe		target_sequence_contained_in_candidate_entity			partial_or_construct_variant_candidate_do_not_promote_without_mapping | 9DXG_1 | attP bound large serine integrase and RDF complex in the dimeric state (cleaved) | 2026-01-21T00:00:00.000+00:00 | ELECTRON MICROSCOPY	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/rcsb_exact_sequence_probe_v2_candidates.tsv
T1228V1	9dxh	candidate	rcsb_exact_sequence_probe		full_construct_exact_sequence	candidate_entity=1; asym_ids=A,B,G,H; auth_asym_ids=A,C,I,K; verify_native_chain_choice	multi_domain_target=T1228V1-D1,T1228V1-D2,T1228V1-D3,T1228V1-D4; requires_explicit_domain_crop_mapping	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9DXH_1 | attPmm and attBmm bound serine integrase complex in the pre-rotation state | 2026-01-21T00:00:00.000+00:00 | ELECTRON MICROSCOPY	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/rcsb_exact_sequence_probe_v2_candidates.tsv
T1228V1	9dxj	candidate	rcsb_exact_sequence_probe		full_construct_exact_sequence	candidate_entity=1; asym_ids=A,B,G,H; auth_asym_ids=A,C,I,K; verify_native_chain_choice	multi_domain_target=T1228V1-D1,T1228V1-D2,T1228V1-D3,T1228V1-D4; requires_explicit_domain_crop_mapping	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9DXJ_1 | attPmm and attBmm bound serine integrase complex in the post-rotation state | 2026-01-21T00:00:00.000+00:00 | ELECTRON MICROSCOPY	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/rcsb_exact_sequence_probe_v2_candidates.tsv
T1228V1	9dxk	candidate	rcsb_exact_sequence_probe		full_construct_exact_sequence	candidate_entity=1; asym_ids=A,B,C,D; auth_asym_ids=A,C,I,K; verify_native_chain_choice	multi_domain_target=T1228V1-D1,T1228V1-D2,T1228V1-D3,T1228V1-D4; requires_explicit_domain_crop_mapping	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9DXK_1 | attPmm bound serine integrase complex in the tetrameric state | 2026-01-21T00:00:00.000+00:00 | ELECTRON MICROSCOPY	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/rcsb_exact_sequence_probe_v2_candidates.tsv
T1228V1	9y66	candidate	rcsb_exact_sequence_probe		full_construct_exact_sequence	candidate_entity=1; asym_ids=A,B; auth_asym_ids=A,C; verify_native_chain_choice	multi_domain_target=T1228V1-D1,T1228V1-D2,T1228V1-D3,T1228V1-D4; requires_explicit_domain_crop_mapping	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9Y66_1 | attLsym bound serine integrase complex in the dimeric state | 2026-02-04T00:00:00.000+00:00 | ELECTRON MICROSCOPY	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/rcsb_exact_sequence_probe_v2_candidates.tsv
T1228V1	9y6v	rejected	rcsb_exact_sequence_probe		target_sequence_contained_in_candidate_entity			partial_or_construct_variant_candidate_do_not_promote_without_mapping | 9Y6V_1 | attPsym bound large serine integrase and RDF complex in the dimeric state | 2026-02-04T00:00:00.000+00:00 | ELECTRON MICROSCOPY	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/rcsb_exact_sequence_probe_v2_candidates.tsv
T1278	9hav	candidate	rcsb_exact_sequence_probe		full_construct_exact_sequence	candidate_entity=1; asym_ids=A,B,C,D,E,F; auth_asym_ids=A,B,C,D,E,F; verify_native_chain_choice	candidate_domain=T1278-D1; residue_ranges=34-370; verify_chain_and_crop	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9HAV_1 | F420-dependent glucose-6-phosphate dehydrogenase from Thermomicrobium roseus with glucose | 2025-11-19T00:00:00.000+00:00 | X-RAY DIFFRACTION	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/rcsb_exact_sequence_probe_v2_candidates.tsv
T1278	9haw	candidate	rcsb_exact_sequence_probe		full_construct_exact_sequence	candidate_entity=1; asym_ids=A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R; auth_asym_ids=A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R; verify_native_chain_choice	candidate_domain=T1278-D1; residue_ranges=34-370; verify_chain_and_crop	full_construct_exact_candidate_needs_native_provenance_and_mapping | 9HAW_1 | F420-dependent glucose-6-phosphate dehydrogenase without ligand | 2025-11-19T00:00:00.000+00:00 | X-RAY DIFFRACTION	/scratch/10992/liaorunlong93/casp16-leaderboard/diagnostics/reference_gap/rcsb_exact_sequence_probe_v2_candidates.tsv
