track	target_id	reference_status	input_status	skip_reason	total_len	domain_count	domain_ids	oligo_state	server_best_score	candidate_rows	candidate_pdb_ids	candidate_statuses	oligo_audit_rows	oligo_assembly_matches	next_action
protein_domain	T1292	no_reference_pdb	ok	no_reference_pdb	392	1	T1292-D1	A2	1.000000	0			0	0	probe_or_manual_native_reference_search
protein_domain	T1294V2	no_reference_pdb	skipped	no_sequence_record	0	1	T1294V2-D1	A2	0.997600	0			0	0	repair_input_or_sequence_alias_before_reference
protein_domain	T0240	no_reference_pdb	ok	no_reference_pdb	1959	2	T1240-D1,T1240-D2	A3	0.997600	0			0	0	probe_or_manual_native_reference_search
protein_domain	T1240	no_reference_pdb	ok	no_reference_pdb	1959	2	T1240-D1,T1240-D2	A3	0.997600	0			0	0	probe_or_manual_native_reference_search
protein_domain	T2240	no_reference_pdb	ok	no_reference_pdb	1959	2	T1240-D1,T1240-D2	A3	0.997600	0			0	0	probe_or_manual_native_reference_search
protein_domain	T1274	no_reference_pdb	ok	no_reference_pdb	167	1	T1274-D1	A1	0.997200	0			0	0	probe_or_manual_native_reference_search
protein_domain	T2274	no_reference_pdb	ok	no_reference_pdb	167	1	T1274-D1	A1	0.997200	0			0	0	probe_or_manual_native_reference_search
protein_domain	T1294V1	no_reference_pdb	ok	no_reference_pdb	428	1	T1294V1-D1	A2	0.994000	0			0	0	probe_or_manual_native_reference_search
protein_domain	T1279	no_reference_pdb	ok	no_reference_pdb	428	2	T1279-D1,T1279-D2	An	0.991700	0			0	0	probe_or_manual_native_reference_search
protein_domain	T2279	no_reference_pdb	ok	no_reference_pdb	428	2	T1279-D1,T1279-D2	An	0.991700	0			0	0	probe_or_manual_native_reference_search
protein_domain	T1231	no_reference_pdb	ok	no_reference_pdb	142	1	T1231-D1	A1	0.982400	0			0	0	probe_or_manual_native_reference_search
protein_domain	T2231	no_reference_pdb	ok	no_reference_pdb	142	1	T1231-D1	A1	0.982400	0			0	0	probe_or_manual_native_reference_search
protein_domain	T1276	no_reference_pdb	ok	no_reference_pdb	40	1	T1276-D1	A1	0.982000	0			0	0	probe_or_manual_native_reference_search
protein_domain	T1259	no_reference_pdb	ok	no_reference_pdb	729	1	T1259-D1	A3	0.979200	0			0	0	probe_or_manual_native_reference_search
protein_domain	T2259	no_reference_pdb	ok	no_reference_pdb	729	1	T1259-D1	A3	0.979200	0			0	0	probe_or_manual_native_reference_search
protein_domain	T0259	no_reference_pdb	ok	no_reference_pdb	729	1	T1259-D1	A3	0.976700	0			0	0	probe_or_manual_native_reference_search
protein_domain	T0246	no_reference_pdb	ok	no_reference_pdb	168	1	T1246-D1	A1	0.976200	0			0	0	probe_or_manual_native_reference_search
protein_domain	T1228V2	no_reference_pdb	skipped	no_sequence_record	0	4	T1228V2-D1,T1228V2-D2,T1228V2-D3,T1228V2-D4	A1	0.975900	0			0	0	repair_input_or_sequence_alias_before_reference
protein_domain	T0218	no_reference_pdb	ok	no_reference_pdb	2328	3	T1218-D1,T1218-D2,T1218-D3	A2	0.975800	0			0	0	probe_or_manual_native_reference_search
protein_domain	T2276	no_reference_pdb	ok	no_reference_pdb	40	1	T1276-D1	A1	0.971700	0			0	0	probe_or_manual_native_reference_search
protein_domain	T1295	no_reference_pdb	ok	no_reference_pdb	3752	3	T1295-D1,T1295-D2,T1295-D3	A8	0.967400	0			0	0	probe_or_manual_native_reference_search
protein_domain	T1246	no_reference_pdb	ok	no_reference_pdb	168	1	T1246-D1	A1	0.965800	0			0	0	probe_or_manual_native_reference_search
protein_domain	T2246	no_reference_pdb	ok	no_reference_pdb	168	1	T1246-D1	A1	0.965800	0			0	0	probe_or_manual_native_reference_search
protein_domain	T1228V1	no_reference_pdb	ok	no_reference_pdb	121	4	T1228V1-D1,T1228V1-D2,T1228V1-D3,T1228V1-D4	A1	0.964800	4	9dxh,9dxj,9dxk,9y66	candidate	0	0	verify_native_provenance_plus_explicit_domain_crop_mapping
protein_domain	T0270	no_reference_pdb	ok	no_reference_pdb	2622	2	T1270-D1,T1270-D2	A6	0.961900	0			0	0	probe_or_manual_native_reference_search
protein_domain	T1270	no_reference_pdb	ok	no_reference_pdb	2622	2	T1270-D1,T1270-D2	A6	0.961900	0			0	0	probe_or_manual_native_reference_search
protein_domain	T2218	no_reference_pdb	ok	no_reference_pdb	2328	3	T1218-D1,T1218-D2,T1218-D3	A2	0.960800	0			0	0	probe_or_manual_native_reference_search
protein_domain	T2270	no_reference_pdb	ok	no_reference_pdb	2622	2	T1270-D1,T1270-D2	A6	0.960700	0			0	0	probe_or_manual_native_reference_search
protein_domain	T1218	no_reference_pdb	ok	no_reference_pdb	2328	3	T1218-D1,T1218-D2,T1218-D3	A2	0.959000	0			0	0	probe_or_manual_native_reference_search
protein_domain	T0237	no_reference_pdb	ok	no_reference_pdb	1952	1	T1237-D1	A4	0.944500	0			0	0	probe_or_manual_native_reference_search
protein_domain	T1237	no_reference_pdb	ok	no_reference_pdb	1952	1	T1237-D1	A4	0.932000	0			0	0	probe_or_manual_native_reference_search
protein_domain	T2237	no_reference_pdb	ok	no_reference_pdb	1952	1	T1237-D1	A4	0.932000	0			0	0	probe_or_manual_native_reference_search
protein_domain	T2284	no_reference_pdb	ok	no_reference_pdb	120	1	T1284-D1	A1	0.907600	0			0	0	probe_or_manual_native_reference_search
protein_domain	T0257	no_reference_pdb	ok	no_reference_pdb	3789	1	T1257-D1	A3	0.893900	0			0	0	probe_or_manual_native_reference_search
protein_domain	T1257	no_reference_pdb	ok	no_reference_pdb	3789	1	T1257-D1	A3	0.893900	0			0	0	probe_or_manual_native_reference_search
protein_domain	T2257	no_reference_pdb	ok	no_reference_pdb	3789	1	T1257-D1	A3	0.893900	0			0	0	probe_or_manual_native_reference_search
protein_domain	T1243	no_reference_pdb	ok	no_reference_pdb	293	1	T1243-D1	A1	0.887200	0			0	0	probe_or_manual_native_reference_search
protein_domain	T2243	no_reference_pdb	ok	no_reference_pdb	293	1	T1243-D1	A1	0.886300	0			0	0	probe_or_manual_native_reference_search
protein_domain	T1284	no_reference_pdb	ok	no_reference_pdb	120	1	T1284-D1	A1	0.884400	0			0	0	probe_or_manual_native_reference_search
protein_domain	T2207	no_reference_pdb	ok	no_reference_pdb	144	1	T1207-D1	A1	0.873000	0			0	0	probe_or_manual_native_reference_search
protein_domain	T1207	no_reference_pdb	ok	no_reference_pdb	144	1	T1207-D1	A1	0.856600	0			0	0	probe_or_manual_native_reference_search
protein_domain	T2226	no_reference_pdb	ok	no_reference_pdb	123	1	T1226-D1	A1	0.725400	0			0	0	probe_or_manual_native_reference_search
protein_domain	T1226	no_reference_pdb	ok	no_reference_pdb	123	1	T1226-D1	A1	0.723400	0			0	0	probe_or_manual_native_reference_search
