priority	lane	track	target_family	target_ids	missing_target_count	max_server_best_score	sum_server_best_score	score_cap_gain_if_perfect	winner_weighted_gain_proxy	candidate_pdb_ids	candidate_row_count	oligo_audit_row_count	oligo_assembly_match_count	input_statuses	blockers	next_action	promotion_requirement	decision	description
1	A_near_term_domain_candidate	protein_domain	domains:T1228V1-D1,T1228V1-D2,T1228V1-D3,T1228V1-D4	T1228V1	1	0.964800	0.964800	0.014085	0.013589	9dxh,9dxj,9dxk,9y66	4	0	0	ok	no_reference_pdb	verify_native_provenance_plus_explicit_domain_crop_mapping	native_state_provenance;D6a_input_kind_repair;explicit_chain_and_T1228V1-D1..D4_crop_mapping;cached_mmcif_hash	audit_first_not_accepted	SPbeta_int_DNA   protein subunit of M1228v1
2	D_domain_manual_native_search	protein_domain	domains:T1240-D1,T1240-D2	T0240,T1240,T2240	3	0.997600	2.992800	0.042254	0.042152		0	0	0	ok	no_reference_pdb	probe_or_manual_native_reference_search	native_reference_provenance;full_construct_or_variant_rationale;explicit_chain_and_domain_crop_mapping;cached_mmcif_hash	search_first_not_accepted	Bd3442
3	D_domain_manual_native_search	protein_domain	domains:T1259-D1	T0259,T1259,T2259	3	0.979200	2.935100	0.042254	0.041339		0	0	0	ok	no_reference_pdb	probe_or_manual_native_reference_search	native_reference_provenance;full_construct_or_variant_rationale;explicit_chain_and_domain_crop_mapping;cached_mmcif_hash	search_first_not_accepted	AZI86_00190
4	D_domain_manual_native_search	protein_domain	domains:T1246-D1	T0246,T1246,T2246	3	0.976200	2.907800	0.042254	0.040955		0	0	0	ok	no_reference_pdb	probe_or_manual_native_reference_search	native_reference_provenance;full_construct_or_variant_rationale;explicit_chain_and_domain_crop_mapping;cached_mmcif_hash	search_first_not_accepted	DcmC
5	D_domain_manual_native_search	protein_domain	domains:T1218-D1,T1218-D2,T1218-D3	T0218,T1218,T2218	3	0.975800	2.895600	0.042254	0.040783		0	0	0	ok	no_reference_pdb	probe_or_manual_native_reference_search	native_reference_provenance;full_construct_or_variant_rationale;explicit_chain_and_domain_crop_mapping;cached_mmcif_hash	search_first_not_accepted	Cry26Aa
6	D_domain_manual_native_search	protein_domain	domains:T1270-D1,T1270-D2	T0270,T1270,T2270	3	0.961900	2.884500	0.042254	0.040627		0	0	0	ok	no_reference_pdb	probe_or_manual_native_reference_search	native_reference_provenance;full_construct_or_variant_rationale;explicit_chain_and_domain_crop_mapping;cached_mmcif_hash	search_first_not_accepted	HtrA
7	D_domain_manual_native_search	protein_domain	domains:T1237-D1	T0237,T1237,T2237	3	0.944500	2.808500	0.042254	0.039556		0	0	0	ok	no_reference_pdb	probe_or_manual_native_reference_search	native_reference_provenance;full_construct_or_variant_rationale;explicit_chain_and_domain_crop_mapping;cached_mmcif_hash	search_first_not_accepted	Bd3071
8	D_domain_manual_native_search	protein_domain	domains:T1257-D1	T0257,T1257,T2257	3	0.893900	2.681700	0.042254	0.037770		0	0	0	ok	no_reference_pdb	probe_or_manual_native_reference_search	native_reference_provenance;full_construct_or_variant_rationale;explicit_chain_and_domain_crop_mapping;cached_mmcif_hash	search_first_not_accepted	P13390
9	D_domain_manual_native_search	protein_domain	domains:T1274-D1	T1274,T2274	2	0.997200	1.994400	0.028169	0.028090		0	0	0	ok	no_reference_pdb	probe_or_manual_native_reference_search	native_reference_provenance;full_construct_or_variant_rationale;explicit_chain_and_domain_crop_mapping;cached_mmcif_hash	search_first_not_accepted	CAB14884.3
10	D_domain_manual_native_search	protein_domain	domains:T1279-D1,T1279-D2	T1279,T2279	2	0.991700	1.983400	0.028169	0.027935		0	0	0	ok	no_reference_pdb	probe_or_manual_native_reference_search	native_reference_provenance;full_construct_or_variant_rationale;explicit_chain_and_domain_crop_mapping;cached_mmcif_hash	search_first_not_accepted	Bd1369
11	D_domain_manual_native_search	protein_domain	domains:T1231-D1	T1231,T2231	2	0.982400	1.964800	0.028169	0.027673		0	0	0	ok	no_reference_pdb	probe_or_manual_native_reference_search	native_reference_provenance;full_construct_or_variant_rationale;explicit_chain_and_domain_crop_mapping;cached_mmcif_hash	search_first_not_accepted	A0A0E4G3H6
