priority	target_id	track	blocker_class	sequence_lookup_id	source_alias	sequence_kind	length	hit_count	hits
1	T1276	protein_domain	prediction_waiting_on_reference	T1276	T1276	dnaSequence	196	0	no_hits
2	T1284	protein_domain	prediction_waiting_on_reference	T1284	T1284	proteinChain	120	0	no_hits
3	T1228V1	protein_domain	prediction_waiting_on_reference	T1228V1	T1228V1	dnaSequence	545	8	9DXD_1,9DXF_1,9DXG_1,9DXH_1,9DXJ_1,9DXK_1,9Y66_1,9Y6V_1
4	T1226	protein_domain	prediction_waiting_on_reference	T1226	T1226	proteinChain	123	0	no_hits
5	T1231	protein_domain	prediction_waiting_on_reference	T1231	T1231	proteinChain	142	0	no_hits
6	T1207	protein_domain	prediction_waiting_on_reference	T1207	T1207	proteinChain	144	0	no_hits
7	T1274	protein_domain	prediction_waiting_on_reference	T1274	T1274	proteinChain	167	0	no_hits
8	T0246	protein_domain	prediction_waiting_on_reference	T0246	T0246	proteinChain	168	0	no_hits
9	T1246	protein_domain	prediction_waiting_on_reference	T1246	T1246	proteinChain	168	0	no_hits
10	T1259	protein_domain	prediction_waiting_on_reference	T1259	T1259	proteinChain	243	0	no_hits
11	T0259	protein_domain	prediction_waiting_on_reference	T0259	T0259	proteinChain	243	0	no_hits
12	T1243	protein_domain	prediction_waiting_on_reference	T1243	T1243	proteinChain	293	0	no_hits
13	T1278	protein_domain	prediction_waiting_on_reference	T1278	T1278	proteinChain	380	25	9HAV_1,9HAW_1,9HAX_1,9HAY_1,13MI_1,13MJ_1,13MK_1,13ML_1,13MM_1,13MN_1,13MO_1,13MP_1,13MQ_1,13MR_1,13MS_1,13MT_1,13MU_1,13MV_1,13MW_1,13MX_1,13MY_1,13MZ_1,13NA_1,13NB_1,13NC_1
14	T1292	protein_domain	prediction_waiting_on_reference	T1292	T1292	proteinChain	196	0	no_hits
15	T1294V1	protein_domain	prediction_waiting_on_reference	T1294V1	T1294V1	proteinChain	214	0	no_hits
16	T1279	protein_domain	prediction_waiting_on_reference	T1279	T1279	proteinChain	428	0	no_hits
17	T0270	protein_domain	prediction_waiting_on_reference	T0270	T0270	proteinChain	437	1	10BR_1
18	T1270	protein_domain	prediction_waiting_on_reference	T1270	T1270	proteinChain	437	1	10BR_1
19	T0237	protein_domain	prediction_waiting_on_reference	T0237	T0237	proteinChain	488	0	no_hits
20	T1237	protein_domain	prediction_waiting_on_reference	T1237	T1237	proteinChain	488	0	no_hits
21	T0240	protein_domain	prediction_waiting_on_reference	T0240	T0240	proteinChain	653	0	no_hits
22	T1240	protein_domain	prediction_waiting_on_reference	T1240	T1240	proteinChain	653	0	no_hits
23	T1218	protein_domain	prediction_waiting_on_reference	T1218	T1218	proteinChain	1164	0	no_hits
24	T0218	protein_domain	prediction_waiting_on_reference	T0218	T0218	proteinChain	1164	0	no_hits
25	T1257	protein_domain	prediction_waiting_on_reference	T1257	T1257	proteinChain	1263	0	no_hits
26	T0257	protein_domain	prediction_waiting_on_reference	T0257	T0257	proteinChain	1263	0	no_hits
27	T1259O	protein_oligo	prediction_waiting_on_reference	T1259	T1259	proteinChain	243	0	no_hits
28	T0259O	protein_oligo	prediction_waiting_on_reference	T0259	T0259	proteinChain	243	0	no_hits
29	T1292O	protein_oligo	prediction_waiting_on_reference	T1292	T1292	proteinChain	196	0	no_hits
30	T1294V1O	protein_oligo	prediction_waiting_on_reference	T1294V1	T1294V1	proteinChain	214	0	no_hits
31	T1270O	protein_oligo	prediction_waiting_on_reference	T1270	T1270	proteinChain	437	1	10BR_1
32	T0270O	protein_oligo	prediction_waiting_on_reference	T0270	T0270	proteinChain	437	1	10BR_1
33	T1237O	protein_oligo	prediction_waiting_on_reference	T1237	T1237	proteinChain	488	0	no_hits
34	T0237O	protein_oligo	prediction_waiting_on_reference	T0237	T0237	proteinChain	488	0	no_hits
35	T1240O	protein_oligo	prediction_waiting_on_reference	T1240	T1240	proteinChain	653	0	no_hits
36	T0240O	protein_oligo	prediction_waiting_on_reference	T0240	T0240	proteinChain	653	0	no_hits
37	T1218O	protein_oligo	prediction_waiting_on_reference	T1218	T1218	proteinChain	1164	0	no_hits
38	T0218O	protein_oligo	prediction_waiting_on_reference	T0218	T0218	proteinChain	1164	0	no_hits
39	T1257O	protein_oligo	prediction_waiting_on_reference	T1257	T1257	proteinChain	1263	0	no_hits
40	T0257O	protein_oligo	prediction_waiting_on_reference	T0257	T0257	proteinChain	1263	0	no_hits
41	T2276	protein_domain	reference_registry_gap	T2276	T2276	dnaSequence	196	0	no_hits
42	T2284	protein_domain	reference_registry_gap	T2284	T2284	proteinChain	120	0	no_hits
43	T2226	protein_domain	reference_registry_gap	T2226	T2226	proteinChain	123	0	no_hits
44	T2231	protein_domain	reference_registry_gap	T2231	T2231	proteinChain	142	0	no_hits
45	T2207	protein_domain	reference_registry_gap	T2207	T2207	proteinChain	144	0	no_hits
46	T2274	protein_domain	reference_registry_gap	T2274	T2274	proteinChain	167	0	no_hits
47	T2246	protein_domain	reference_registry_gap	T2246	T2246	proteinChain	168	0	no_hits
48	T2259	protein_domain	reference_registry_gap	T2259	T2259	proteinChain	243	0	no_hits
49	T2243	protein_domain	reference_registry_gap	T2243	T2243	proteinChain	293	0	no_hits
50	T2278	protein_domain	reference_registry_gap	T2278	T2278	proteinChain	380	25	9HAV_1,9HAW_1,9HAX_1,9HAY_1,13MI_1,13MJ_1,13MK_1,13ML_1,13MM_1,13MN_1,13MO_1,13MP_1,13MQ_1,13MR_1,13MS_1,13MT_1,13MU_1,13MV_1,13MW_1,13MX_1,13MY_1,13MZ_1,13NA_1,13NB_1,13NC_1
51	T2279	protein_domain	reference_registry_gap	T2279	T2279	proteinChain	428	0	no_hits
52	T2270	protein_domain	reference_registry_gap	T2270	T2270	proteinChain	437	1	10BR_1
53	T2237	protein_domain	reference_registry_gap	T2237	T2237	proteinChain	488	0	no_hits
54	T2240	protein_domain	reference_registry_gap	T2240	T2240	proteinChain	653	0	no_hits
55	T2218	protein_domain	reference_registry_gap	T2218	T2218	proteinChain	1164	0	no_hits
56	T2257	protein_domain	reference_registry_gap	T2257	T2257	proteinChain	1263	0	no_hits
57	T1295	protein_domain	reference_registry_gap	T1295	T1295	proteinChain	469	25	1KLF_2,1QUN_2,4J3O_2,4XO9_1,4XOA_2,4XOB_1,5MTS_1,6E14_1,6E15_5,6YHW_1,9BOG_4,9FY9_5,9ME4_1,9ME5_1,9ME6_1,9ME7_1,9PTM_1,3MCY_1,3BVE_1,3BVF_1,3BVI_1,3BVK_1,3BVL_1,3EGM_1,4CSS_1
58	T2259O	protein_oligo	reference_registry_gap	T2259	T2259	proteinChain	243	0	no_hits
59	H0265	protein_oligo	reference_registry_gap	H0265	H0265	proteinChain	150	0	no_hits
