priority	target_id	track	blocker_class	sequence_lookup_id	source_alias	sequence_kind	length	hit_count	hits
8	T0246	protein_domain	prediction_waiting_on_reference	T0246	T0246	proteinChain	168	0	no_hits
9	T1246	protein_domain	prediction_waiting_on_reference	T1246	T1246	proteinChain	168	0	no_hits
10	T1259	protein_domain	prediction_waiting_on_reference	T1259	T1259	proteinChain	243	0	no_hits
11	T0259	protein_domain	prediction_waiting_on_reference	T0259	T0259	proteinChain	243	0	no_hits
16	T1279	protein_domain	prediction_waiting_on_reference	T1279	T1279	proteinChain	428	0	no_hits
19	T0237	protein_domain	prediction_waiting_on_reference	T0237	T0237	proteinChain	488	0	no_hits
20	T1237	protein_domain	prediction_waiting_on_reference	T1237	T1237	proteinChain	488	0	no_hits
21	T0240	protein_domain	prediction_waiting_on_reference	T0240	T0240	proteinChain	653	0	no_hits
22	T1240	protein_domain	prediction_waiting_on_reference	T1240	T1240	proteinChain	653	0	no_hits
23	T1218	protein_domain	prediction_waiting_on_reference	T1218	T1218	proteinChain	1164	0	no_hits
24	T0218	protein_domain	prediction_waiting_on_reference	T0218	T0218	proteinChain	1164	0	no_hits
47	T2246	protein_domain	reference_registry_gap	T2246	T2246	proteinChain	168	0	no_hits
48	T2259	protein_domain	reference_registry_gap	T2259	T2259	proteinChain	243	0	no_hits
51	T2279	protein_domain	reference_registry_gap	T2279	T2279	proteinChain	428	0	no_hits
53	T2237	protein_domain	reference_registry_gap	T2237	T2237	proteinChain	488	0	no_hits
54	T2240	protein_domain	reference_registry_gap	T2240	T2240	proteinChain	653	0	no_hits
55	T2218	protein_domain	reference_registry_gap	T2218	T2218	proteinChain	1164	0	no_hits
