priority	benchmark	target_id	track	blocker_class	current_probe_run	current_probe_status	has_current_prediction	prediction_match_type	prediction_match_alias	input_status	reference_status	sequence_lookup_id	oligo_state	entity_count	chain_count	total_len	domain_count	domain_ids	official_metric	official_scored_rows	server_group_count	server_best_score	description	next_action
33	casp16_server_protein_v2_aliasfix	T1237O	protein_oligo	prediction_waiting_on_reference	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_reference	true	sequence_lookup	T1237	ok	no_reference_pdb	T1237	UNK	1	1	488	1	T1237-D1	QSglob	344	26	0.831000	Bd3071	find_native_reference_then_score_existing_prediction
34	casp16_server_protein_v2_aliasfix	T0237O	protein_oligo	prediction_waiting_on_reference	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_reference	true	sequence_lookup	T0237	ok	no_reference_pdb	T0237	UNK	1	1	488	1	T1237-D1	QSglob	257	24	0.825000	Bd3071	find_native_reference_then_score_existing_prediction
39	casp16_server_protein_v2_aliasfix	T1257O	protein_oligo	prediction_waiting_on_reference	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_reference	true	sequence_lookup	T1257	ok	no_reference_pdb	T1257	UNK	1	1	1263	1	T1257-D1	QSglob	301	25	0.937000	P13390	find_native_reference_then_score_existing_prediction
40	casp16_server_protein_v2_aliasfix	T0257O	protein_oligo	prediction_waiting_on_reference	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_reference	true	sequence_lookup	T0257	ok	no_reference_pdb	T0257	UNK	1	1	1263	1	T1257-D1	QSglob	229	21	0.937000	P13390	find_native_reference_then_score_existing_prediction
62	casp16_server_protein_v2_aliasfix	H1245	protein_oligo	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	H1245	UNK	2	2	317	0		QSglob	372	29	0.946000	FUNcomplex	find_native_complex_assembly_and_chain_map_for_qsglob
63	casp16_server_protein_v2_aliasfix	H0245	protein_oligo	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	H0245	UNK	2	2	317	0		QSglob	309	27	0.940000	FUNcomplex	find_native_complex_assembly_and_chain_map_for_qsglob
64	casp16_server_protein_v2_aliasfix	H2245	protein_oligo	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	H2245	UNK	2	2	317	0		QSglob	303	20	0.946000	FUNcomplex	find_native_complex_assembly_and_chain_map_for_qsglob
72	casp16_server_protein_v2_aliasfix	T2237O	protein_oligo	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	T2237	UNK	1	1	488	1	T1237-D1	QSglob	299	21	0.821000	Bd3071	find_native_complex_assembly_and_chain_map_for_qsglob
73	casp16_server_protein_v2_aliasfix	H1208	protein_oligo	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	H1208	UNK	2	2	646	0		QSglob	370	28	0.894000	dahAB	find_native_complex_assembly_and_chain_map_for_qsglob
74	casp16_server_protein_v2_aliasfix	H0208	protein_oligo	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	H0208	UNK	2	2	646	0		QSglob	315	27	0.897000	dahAB	find_native_complex_assembly_and_chain_map_for_qsglob
75	casp16_server_protein_v2_aliasfix	H2208	protein_oligo	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	H2208	UNK	2	2	646	0		QSglob	311	23	0.905000	dahAB	find_native_complex_assembly_and_chain_map_for_qsglob
80	casp16_server_protein_v2_aliasfix	H1230	protein_oligo	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	H1230	UNK	2	2	984	0		QSglob	370	29	0.885000	ORF61/A3B	find_native_complex_assembly_and_chain_map_for_qsglob
81	casp16_server_protein_v2_aliasfix	H0230	protein_oligo	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	H0230	UNK	2	2	984	0		QSglob	293	27	0.892000	ORF61/A3B	find_native_complex_assembly_and_chain_map_for_qsglob
82	casp16_server_protein_v2_aliasfix	H2230	protein_oligo	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	H2230	UNK	2	2	984	0		QSglob	297	20	0.885000	ORF61/A3B	find_native_complex_assembly_and_chain_map_for_qsglob
87	casp16_server_protein_v2_aliasfix	T2257O	protein_oligo	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	T2257	UNK	1	1	1263	1	T1257-D1	QSglob	270	19	0.937000	P13390	find_native_complex_assembly_and_chain_map_for_qsglob
