priority	benchmark	target_id	track	blocker_class	current_probe_run	current_probe_status	has_current_prediction	prediction_match_type	prediction_match_alias	input_status	reference_status	sequence_lookup_id	oligo_state	entity_count	chain_count	total_len	domain_count	domain_ids	official_metric	official_scored_rows	server_group_count	server_best_score	description	next_action
27	casp16_server_protein_v2_aliasfix	T1259O	protein_oligo	prediction_waiting_on_reference	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_reference	true	sequence_lookup	T1259	ok	no_reference_pdb	T1259	UNK	1	1	243	1	T1259-D1	QSglob	372	29	0.557000	AZI86_00190	find_native_reference_then_score_existing_prediction
28	casp16_server_protein_v2_aliasfix	T0259O	protein_oligo	prediction_waiting_on_reference	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_reference	true	sequence_lookup	T0259	ok	no_reference_pdb	T0259	UNK	1	1	243	1	T1259-D1	QSglob	261	24	0.548000	AZI86_00190	find_native_reference_then_score_existing_prediction
37	casp16_server_protein_v2_aliasfix	T1218O	protein_oligo	prediction_waiting_on_reference	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_reference	true	sequence_lookup	T1218	ok	no_reference_pdb	T1218	UNK	1	1	1164	3	T1218-D1,T1218-D2,T1218-D3	QSglob	337	25	0.714000	Cry26Aa	find_native_reference_then_score_existing_prediction
38	casp16_server_protein_v2_aliasfix	T0218O	protein_oligo	prediction_waiting_on_reference	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_reference	true	sequence_lookup	T0218	ok	no_reference_pdb	T0218	UNK	1	1	1164	3	T1218-D1,T1218-D2,T1218-D3	QSglob	200	18	0.570000	Cry26Aa	find_native_reference_then_score_existing_prediction
58	casp16_server_protein_v2_aliasfix	T2259O	protein_oligo	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	T2259	UNK	1	1	243	1	T1259-D1	QSglob	277	19	0.557000	AZI86_00190	find_native_complex_assembly_and_chain_map_for_qsglob
59	casp16_server_protein_v2_aliasfix	H0265	protein_oligo	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	H0265	UNK	2	2	293	0		QSglob	307	27	0.098000	TLR4 TIR domain (O00206) : MAL TIR domain (P58753) complex	find_native_complex_assembly_and_chain_map_for_qsglob
60	casp16_server_protein_v2_aliasfix	H1265	protein_oligo	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	H1265	UNK	2	2	293	0		QSglob	299	26	0.488000	TLR4 TIR domain (O00206) : MAL TIR domain (P58753) complex	find_native_complex_assembly_and_chain_map_for_qsglob
61	casp16_server_protein_v2_aliasfix	H2265	protein_oligo	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	H2265	UNK	2	2	293	0		QSglob	233	17	0.465000	TLR4 TIR domain (O00206) : MAL TIR domain (P58753) complex	find_native_complex_assembly_and_chain_map_for_qsglob
68	casp16_server_protein_v2_aliasfix	H0244	protein_oligo	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	H0244	UNK	3	3	425	0		QSglob	287	26	0.763000	BJCNb48	find_native_complex_assembly_and_chain_map_for_qsglob
69	casp16_server_protein_v2_aliasfix	H1244	protein_oligo	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	H1244	UNK	3	3	425	0		QSglob	360	26	0.768000	BJCNb48	find_native_complex_assembly_and_chain_map_for_qsglob
70	casp16_server_protein_v2_aliasfix	H2244	protein_oligo	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	H2244	UNK	3	3	425	0		QSglob	298	20	0.745000	BJCNb48	find_native_complex_assembly_and_chain_map_for_qsglob
83	casp16_server_protein_v2_aliasfix	H1229	protein_oligo	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	H1229	UNK	2	2	987	0		QSglob	358	29	0.783000	ORF61/A3A	find_native_complex_assembly_and_chain_map_for_qsglob
84	casp16_server_protein_v2_aliasfix	H0229	protein_oligo	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	H0229	UNK	2	2	987	0		QSglob	298	27	0.739000	ORF61/A3A	find_native_complex_assembly_and_chain_map_for_qsglob
85	casp16_server_protein_v2_aliasfix	H2229	protein_oligo	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	H2229	UNK	2	2	987	0		QSglob	298	20	0.783000	ORF61/A3A	find_native_complex_assembly_and_chain_map_for_qsglob
86	casp16_server_protein_v2_aliasfix	T2218O	protein_oligo	reference_registry_gap	server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	missing_prediction	false			ok	no_reference_pdb	T2218	UNK	1	1	1164	3	T1218-D1,T1218-D2,T1218-D3	QSglob	301	22	0.707000	Cry26Aa	find_native_complex_assembly_and_chain_map_for_qsglob
