shard_run_id	status	input_json	output_dir	task_count	complete_task_count	incomplete_task_count	expected_candidate_count	observed_candidate_count	missing_candidate_count	missing_tasks
server_v2_attack_scoreable_size_balanced_shard01_msa_reuse_protenix5_seed101_105	pending	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard01_msa_reuse_protenix5_seed101_105/inputs/scoreable_size_balanced_01.inputs.msa-reuse.json	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard01_msa_reuse_protenix5_seed101_105/predictions/protenix-v2	13	0	13	5	0	65	T0235O:0/5,H2225:0/5,H2223:0/5,H1204:0/5,H1232:0/5,H0236:0/5,H0258:0/5,T1206:0/5,T1210:0/5,T1235:0/5,T1266:0/5,T2234:0/5,T2269:0/5
server_v2_attack_scoreable_size_balanced_shard01_msa_reuse_protenix25_seed106_110	deferred:await_protenix5_score	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard01_msa_reuse_protenix25_seed106_110/inputs/scoreable_size_balanced_01.inputs.msa-reuse.json	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard01_msa_reuse_protenix25_seed106_110/predictions/protenix-v2	13	0	13	5	0	65	T0235O:0/5,H2225:0/5,H2223:0/5,H1204:0/5,H1232:0/5,H0236:0/5,H0258:0/5,T1206:0/5,T1210:0/5,T1235:0/5,T1266:0/5,T2234:0/5,T2269:0/5
server_v2_attack_scoreable_size_balanced_shard01_msa_reuse_protenix25_seed111_115	deferred:await_protenix5_score	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard01_msa_reuse_protenix25_seed111_115/inputs/scoreable_size_balanced_01.inputs.msa-reuse.json	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard01_msa_reuse_protenix25_seed111_115/predictions/protenix-v2	13	0	13	5	0	65	T0235O:0/5,H2225:0/5,H2223:0/5,H1204:0/5,H1232:0/5,H0236:0/5,H0258:0/5,T1206:0/5,T1210:0/5,T1235:0/5,T1266:0/5,T2234:0/5,T2269:0/5
server_v2_attack_scoreable_size_balanced_shard01_msa_reuse_protenix25_seed116_120	deferred:await_protenix5_score	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard01_msa_reuse_protenix25_seed116_120/inputs/scoreable_size_balanced_01.inputs.msa-reuse.json	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard01_msa_reuse_protenix25_seed116_120/predictions/protenix-v2	13	0	13	5	0	65	T0235O:0/5,H2225:0/5,H2223:0/5,H1204:0/5,H1232:0/5,H0236:0/5,H0258:0/5,T1206:0/5,T1210:0/5,T1235:0/5,T1266:0/5,T2234:0/5,T2269:0/5
server_v2_attack_scoreable_size_balanced_shard01_msa_reuse_protenix25_seed121_125	deferred:await_protenix5_score	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard01_msa_reuse_protenix25_seed121_125/inputs/scoreable_size_balanced_01.inputs.msa-reuse.json	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard01_msa_reuse_protenix25_seed121_125/predictions/protenix-v2	13	0	13	5	0	65	T0235O:0/5,H2225:0/5,H2223:0/5,H1204:0/5,H1232:0/5,H0236:0/5,H0258:0/5,T1206:0/5,T1210:0/5,T1235:0/5,T1266:0/5,T2234:0/5,T2269:0/5
server_v2_attack_scoreable_size_balanced_shard02_msa_reuse_protenix5_seed101_105	pending	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard02_msa_reuse_protenix5_seed101_105/inputs/scoreable_size_balanced_02.inputs.msa-reuse.json	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard02_msa_reuse_protenix5_seed101_105/predictions/protenix-v2	12	0	12	5	0	60	T2235O:0/5,H1202:0/5,H1225:0/5,H0223:0/5,H1223:0/5,H2227:0/5,H1213:0/5,H1236:0/5,H1258:0/5,T1234:0/5,T2206:0/5,T2210:0/5
server_v2_attack_scoreable_size_balanced_shard02_msa_reuse_protenix25_seed106_110	deferred:await_protenix5_score	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard02_msa_reuse_protenix25_seed106_110/inputs/scoreable_size_balanced_02.inputs.msa-reuse.json	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard02_msa_reuse_protenix25_seed106_110/predictions/protenix-v2	12	0	12	5	0	60	T2235O:0/5,H1202:0/5,H1225:0/5,H0223:0/5,H1223:0/5,H2227:0/5,H1213:0/5,H1236:0/5,H1258:0/5,T1234:0/5,T2206:0/5,T2210:0/5
server_v2_attack_scoreable_size_balanced_shard02_msa_reuse_protenix25_seed111_115	deferred:await_protenix5_score	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard02_msa_reuse_protenix25_seed111_115/inputs/scoreable_size_balanced_02.inputs.msa-reuse.json	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard02_msa_reuse_protenix25_seed111_115/predictions/protenix-v2	12	0	12	5	0	60	T2235O:0/5,H1202:0/5,H1225:0/5,H0223:0/5,H1223:0/5,H2227:0/5,H1213:0/5,H1236:0/5,H1258:0/5,T1234:0/5,T2206:0/5,T2210:0/5
server_v2_attack_scoreable_size_balanced_shard02_msa_reuse_protenix25_seed116_120	deferred:await_protenix5_score	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard02_msa_reuse_protenix25_seed116_120/inputs/scoreable_size_balanced_02.inputs.msa-reuse.json	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard02_msa_reuse_protenix25_seed116_120/predictions/protenix-v2	12	0	12	5	0	60	T2235O:0/5,H1202:0/5,H1225:0/5,H0223:0/5,H1223:0/5,H2227:0/5,H1213:0/5,H1236:0/5,H1258:0/5,T1234:0/5,T2206:0/5,T2210:0/5
server_v2_attack_scoreable_size_balanced_shard02_msa_reuse_protenix25_seed121_125	deferred:await_protenix5_score	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard02_msa_reuse_protenix25_seed121_125/inputs/scoreable_size_balanced_02.inputs.msa-reuse.json	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard02_msa_reuse_protenix25_seed121_125/predictions/protenix-v2	12	0	12	5	0	60	T2235O:0/5,H1202:0/5,H1225:0/5,H0223:0/5,H1223:0/5,H2227:0/5,H1213:0/5,H1236:0/5,H1258:0/5,T1234:0/5,T2206:0/5,T2210:0/5
