rank,run_id,track,rank_status,mean_score,eligible_targets,ok_targets,missing_targets,failed_targets,metric_unavailable_targets,artifact_path
1,opendde_v1_t1299_no_msa,protein_domain,ranked,0.018325,16,1,15,0,0,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/opendde_v1_t1299_no_msa/predictions/opendde_v1/T1299
,opendde_v1_full_msa_template_bf16_directrelp_torchtrimul_h1220_t1220s1_corrected_protein_skipconf,protein_domain,unranked:run_not_rank_eligible,0.273625,16,16,0,0,0,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/opendde_v1_full_msa_template_bf16_directrelp_torchtrimul_h1220_t1220s1_corrected_protein_skipconf/predictions/opendde_v1/T1201
,opendde_v1_full_msa_template_bf16_directrelp_torchtrimul_h1258_chunk128_attnlowmem_nocontig_diffamp_pairprojchunk_bf16z_skipconf,protein_domain,unranked:run_not_rank_eligible,0.235344,16,15,1,0,0,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/opendde_v1_full_msa_template_bf16_directrelp_torchtrimul_h1258_chunk128_attnlowmem_nocontig_diffamp_pairprojchunk_bf16z_skipconf/predictions/opendde_v1/T1201
,opendde_v1_full_msa_template_bf16_directrelp_torchtrimul_more,protein_domain,unranked:run_not_rank_eligible,0.235344,16,15,1,0,0,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/opendde_v1_full_msa_template_bf16_directrelp_torchtrimul_more/predictions/opendde_v1/T1201
,opendde_v1_full_msa_template,protein_domain,unranked:run_not_rank_eligible,0.177875,16,13,3,0,0,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/opendde_v1_full_msa_template/predictions/opendde_v1/T1201
,opendde_v1_t1299_msa,protein_domain,unranked:run_not_rank_eligible,0.059338,16,1,15,0,0,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/opendde_v1_t1299_msa/predictions/opendde_v1/T1299
,baseline_no_msa,protein_domain,pending:no_scored_targets,0.000000,16,0,16,0,0,
,opendde_v1_full_msa_template_bf16_directrelp_torchtrimul_h1220_t1220s1_corrected_protein_skipconf,protein_oligo,unranked:run_not_rank_eligible,0.340000,23,18,4,1,0,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/opendde_v1_full_msa_template_bf16_directrelp_torchtrimul_h1220_t1220s1_corrected_protein_skipconf/predictions/opendde_v1/H1202
,opendde_v1_full_msa_template_bf16_directrelp_torchtrimul_h1258_chunk128_attnlowmem_nocontig_diffamp_pairprojchunk_bf16z_skipconf,protein_oligo,unranked:run_not_rank_eligible,0.238609,23,11,12,0,0,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/opendde_v1_full_msa_template_bf16_directrelp_torchtrimul_h1258_chunk128_attnlowmem_nocontig_diffamp_pairprojchunk_bf16z_skipconf/predictions/opendde_v1/H1202
,opendde_v1_full_msa_template_bf16_directrelp_torchtrimul_more,protein_oligo,unranked:run_not_rank_eligible,0.225739,23,10,13,0,0,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/opendde_v1_full_msa_template_bf16_directrelp_torchtrimul_more/predictions/opendde_v1/H1202
,opendde_v1_full_msa_template,protein_oligo,unranked:run_not_rank_eligible,0.145522,23,7,16,0,0,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/opendde_v1_full_msa_template/predictions/opendde_v1/H1202
,baseline_no_msa,protein_oligo,pending:no_scored_targets,0.000000,23,0,23,0,0,
,opendde_v1_t1299_msa,protein_oligo,unranked:run_not_rank_eligible,0.000000,23,0,23,0,0,
,opendde_v1_t1299_no_msa,protein_oligo,pending:no_scored_targets,0.000000,23,0,23,0,0,
