category,rank,group,group_type,eligible_target_count,submitted_target_count,missing_target_count,mean_fixed_score,mean_submitted_score,best_score,primary_metric
prot_domains,1,022,all,71,71,0,0.926510,0.926510,0.997400,GDT_TS
prot_domains,2,110s,all,71,71,0,0.923321,0.923321,0.998700,GDT_TS
prot_domains,3,462,all,71,71,0,0.920294,0.920294,0.998700,GDT_TS
prot_domains,4,051,all,71,71,0,0.914807,0.914807,0.998700,GDT_TS
prot_domains,5,345,all,71,71,0,0.914108,0.914108,0.998700,GDT_TS
prot_domains,6,294,all,71,71,0,0.913749,0.913749,0.998700,GDT_TS
prot_domains,7,019s,all,71,71,0,0.908993,0.908993,0.998700,GDT_TS
prot_domains,8,147s,all,71,71,0,0.907055,0.907055,0.998700,GDT_TS
prot_domains,9,419,all,71,71,0,0.902913,0.902913,0.997600,GDT_TS
prot_domains,10,148s,all,71,71,0,0.902406,0.902406,0.997200,GDT_TS
prot_domains,11,456s,all,71,69,2,0.901276,0.927400,0.997200,GDT_TS
prot_domains,12,221,all,71,71,0,0.899077,0.899077,0.997600,GDT_TS
prot_domains,13,164,all,71,71,0,0.898524,0.898524,0.997200,GDT_TS
prot_domains,14,015,all,71,70,1,0.897290,0.910109,0.997200,GDT_TS
prot_domains,15,052s,all,71,69,2,0.894359,0.920283,0.997400,GDT_TS
prot_domains,16,304s,all,71,71,0,0.893820,0.893820,0.997600,GDT_TS
prot_domains,17,241,all,71,71,0,0.891330,0.891330,0.997400,GDT_TS
prot_domains,18,163s,all,71,71,0,0.890034,0.890034,0.997600,GDT_TS
prot_domains,19,286,all,71,71,0,0.885386,0.885386,0.997200,GDT_TS
prot_domains,20,059,all,71,71,0,0.884303,0.884303,0.997200,GDT_TS
prot_domains,21,293,all,71,71,0,0.882110,0.882110,0.997400,GDT_TS
prot_domains,22,079s,all,71,71,0,0.882039,0.882039,0.997400,GDT_TS
prot_domains,23,264,all,71,70,1,0.879003,0.891560,0.997200,GDT_TS
prot_domains,24,312s,all,71,69,2,0.878790,0.904262,0.997200,GDT_TS
prot_domains,25,388s,all,71,71,0,0.873655,0.873655,0.997200,GDT_TS
prot_domains,26,267s,all,71,70,1,0.870510,0.882946,0.998700,GDT_TS
prot_domains,27,301,all,71,70,1,0.867652,0.880047,0.997200,GDT_TS
prot_domains,28,208s,all,71,70,1,0.866685,0.879066,0.997800,GDT_TS
prot_domains,29,075s,all,71,70,1,0.864008,0.876351,0.997200,GDT_TS
prot_domains,30,284s,all,71,70,1,0.863672,0.876010,0.997200,GDT_TS
prot_domains,31,122s,all,71,69,2,0.860699,0.885646,0.997200,GDT_TS
prot_domains,32,014,all,71,70,1,0.857820,0.870074,0.997200,GDT_TS
prot_domains,33,139,all,71,71,0,0.857510,0.857510,0.993500,GDT_TS
prot_domains,34,269s,all,71,70,1,0.856485,0.868720,0.997200,GDT_TS
prot_domains,35,196,all,71,69,2,0.849286,0.873903,0.998700,GDT_TS
prot_domains,36,475s,all,71,69,2,0.849089,0.873700,0.997200,GDT_TS
prot_domains,37,298,all,71,67,4,0.843000,0.893328,0.998700,GDT_TS
prot_domains,38,235,all,71,68,3,0.842300,0.879460,0.997200,GDT_TS
prot_domains,39,212,all,71,71,0,0.830003,0.830003,0.997400,GDT_TS
prot_domains,40,272,all,71,66,5,0.811113,0.872561,0.997400,GDT_TS
prot_domains,41,314s,all,71,65,6,0.799139,0.872906,0.997200,GDT_TS
prot_domains,42,287,all,71,61,10,0.754761,0.878492,0.997800,GDT_TS
prot_domains,43,465,all,71,60,11,0.754651,0.893003,0.997200,GDT_TS
prot_domains,44,261,all,71,66,5,0.736310,0.792091,0.995300,GDT_TS
prot_domains,45,145s,all,71,59,12,0.729477,0.877846,1.000000,GDT_TS
prot_domains,46,369,all,71,58,13,0.723776,0.886002,0.997200,GDT_TS
prot_domains,47,423s,all,71,60,11,0.720177,0.852210,0.997200,GDT_TS
prot_domains,48,198s,all,71,59,12,0.719087,0.865342,1.000000,GDT_TS
prot_domains,49,375s,all,71,55,16,0.689632,0.890253,0.997600,GDT_TS
prot_domains,50,017,all,71,57,14,0.686514,0.855132,0.998700,GDT_TS
prot_domains,51,112,all,71,57,14,0.684879,0.853095,0.998700,GDT_TS
prot_domains,52,450s,all,71,58,13,0.658134,0.805647,0.997600,GDT_TS
prot_domains,53,361s,all,71,66,5,0.645696,0.694612,0.906000,GDT_TS
prot_domains,54,028s,all,71,48,23,0.644593,0.953460,0.992400,GDT_TS
prot_domains,55,120,all,71,62,9,0.638756,0.731479,0.908000,GDT_TS
prot_domains,56,311,all,71,52,19,0.628600,0.858281,0.997200,GDT_TS
prot_domains,57,040,all,71,56,15,0.599294,0.759820,0.988000,GDT_TS
prot_domains,58,425s,all,71,46,25,0.588914,0.908976,0.997600,GDT_TS
prot_domains,59,319s,all,71,46,25,0.587639,0.907009,0.998700,GDT_TS
prot_domains,60,331s,all,71,46,25,0.586689,0.905541,0.998700,GDT_TS
prot_domains,61,262,all,71,42,29,0.547808,0.926057,0.997600,GDT_TS
