rank,run_id,track,rank_status,selected_model_policy,mean_score,eligible_targets,ok_targets,missing_targets,failed_targets,metric_unavailable_targets,artifact_path
1,server_protenix_yang_terminal_tag_cleanup_seed101,protein_domain,ranked,first_output_only,0.066908,71,15,30,26,0,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_protenix_yang_terminal_tag_cleanup_seed101/predictions/protenix-v2/T0206
2,server_protenix_yang_oversize_domain_monomer_fallback_seed101,protein_domain,ranked,first_output_only,0.065114,71,15,29,27,0,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_protenix_yang_oversize_domain_monomer_fallback_seed101/predictions/protenix-v2/T0206
3,server_protenix_full_msa_template_seed101,protein_domain,ranked,first_output_only,0.063962,71,15,30,26,0,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_protenix_full_msa_template_seed101/predictions/protenix-v2/T0206
4,server_protenix_yang_antibody_fv_cleanup_seed101,protein_domain,ranked,first_output_only,0.060677,71,15,30,26,0,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_protenix_yang_antibody_fv_cleanup_seed101/predictions/protenix-v2/T0206
,server_eval_opendde_v1_full_msa_template_bf16_h1220_t1220s1,protein_domain,unranked:run_not_rank_eligible,first_output_only,0.036428,71,9,62,0,0,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/opendde_v1_full_msa_template_bf16_directrelp_torchtrimul_h1220_t1220s1_corrected_protein_skipconf/predictions/opendde_v1/T1201
,server_attack_protenix_terminal_tag_seed101_105,protein_domain,pending:no_scored_targets,protenix_confidence_v1,0.000000,71,0,71,0,0,
,server_protenix_yang_epitope_tag_cleanup_seed101,protein_domain,pending:no_scored_targets,first_output_only,0.000000,71,0,71,0,0,
,server_protenix_yang_large_target_split_or_fallback_seed101,protein_domain,pending:no_scored_targets,first_output_only,0.000000,71,0,71,0,0,
,server_protenix_yang_sequence_recovery_large_target_fallback_seed101,protein_domain,pending:no_scored_targets,first_output_only,0.000000,71,0,71,0,0,
,server_protenix_yang_sequence_recovery_seed101,protein_domain,pending:no_scored_targets,first_output_only,0.000000,71,0,71,0,0,
,server_protenix_yang_terminal_tag_antibody_fv_cleanup_seed101,protein_domain,pending:no_scored_targets,first_output_only,0.000000,71,0,71,0,0,
,server_attack_protenix_terminal_tag_seed101_105,protein_oligo,pending:no_scored_targets,protenix_confidence_v1,0.000000,104,0,104,0,0,
,server_eval_opendde_v1_full_msa_template_bf16_h1220_t1220s1,protein_oligo,unranked:run_not_rank_eligible,first_output_only,0.000000,104,0,85,0,19,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/opendde_v1_full_msa_template_bf16_directrelp_torchtrimul_h1220_t1220s1_corrected_protein_skipconf/predictions/opendde_v1/H0220
,server_protenix_full_msa_template_seed101,protein_oligo,unranked:metric_unavailable,first_output_only,0.000000,104,0,47,30,27,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_protenix_full_msa_template_seed101/predictions/protenix-v2/H0208
,server_protenix_yang_antibody_fv_cleanup_seed101,protein_oligo,unranked:metric_unavailable,first_output_only,0.000000,104,0,47,30,27,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_protenix_yang_antibody_fv_cleanup_seed101/predictions/protenix-v2/H0208
,server_protenix_yang_epitope_tag_cleanup_seed101,protein_oligo,pending:no_scored_targets,first_output_only,0.000000,104,0,104,0,0,
,server_protenix_yang_large_target_split_or_fallback_seed101,protein_oligo,pending:no_scored_targets,first_output_only,0.000000,104,0,104,0,0,
,server_protenix_yang_oversize_domain_monomer_fallback_seed101,protein_oligo,unranked:metric_unavailable,first_output_only,0.000000,104,0,47,30,27,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_protenix_yang_oversize_domain_monomer_fallback_seed101/predictions/protenix-v2/H0208
,server_protenix_yang_sequence_recovery_large_target_fallback_seed101,protein_oligo,pending:no_scored_targets,first_output_only,0.000000,104,0,104,0,0,
,server_protenix_yang_sequence_recovery_seed101,protein_oligo,pending:no_scored_targets,first_output_only,0.000000,104,0,104,0,0,
,server_protenix_yang_terminal_tag_antibody_fv_cleanup_seed101,protein_oligo,pending:no_scored_targets,first_output_only,0.000000,104,0,104,0,0,
,server_protenix_yang_terminal_tag_cleanup_seed101,protein_oligo,unranked:metric_unavailable,first_output_only,0.000000,104,0,47,30,27,/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_protenix_yang_terminal_tag_cleanup_seed101/predictions/protenix-v2/H0208
