category,rank,group,group_type,eligible_target_count,submitted_target_count,missing_target_count,mean_fixed_score,mean_submitted_score,best_score,primary_metric
prot_domains,1,110s,server,71,71,0,0.923321,0.923321,0.998700,GDT_TS
prot_domains,2,019s,server,71,71,0,0.908993,0.908993,0.998700,GDT_TS
prot_domains,3,147s,server,71,71,0,0.907055,0.907055,0.998700,GDT_TS
prot_domains,4,148s,server,71,71,0,0.902406,0.902406,0.997200,GDT_TS
prot_domains,5,456s,server,71,69,2,0.901276,0.927400,0.997200,GDT_TS
prot_domains,6,052s,server,71,69,2,0.894359,0.920283,0.997400,GDT_TS
prot_domains,7,304s,server,71,71,0,0.893820,0.893820,0.997600,GDT_TS
prot_domains,8,163s,server,71,71,0,0.890034,0.890034,0.997600,GDT_TS
prot_domains,9,079s,server,71,71,0,0.882039,0.882039,0.997400,GDT_TS
prot_domains,10,312s,server,71,69,2,0.878790,0.904262,0.997200,GDT_TS
prot_domains,11,388s,server,71,71,0,0.873655,0.873655,0.997200,GDT_TS
prot_domains,12,267s,server,71,70,1,0.870510,0.882946,0.998700,GDT_TS
prot_domains,13,208s,server,71,70,1,0.866685,0.879066,0.997800,GDT_TS
prot_domains,14,075s,server,71,70,1,0.864008,0.876351,0.997200,GDT_TS
prot_domains,15,284s,server,71,70,1,0.863672,0.876010,0.997200,GDT_TS
prot_domains,16,122s,server,71,69,2,0.860699,0.885646,0.997200,GDT_TS
prot_domains,17,269s,server,71,70,1,0.856485,0.868720,0.997200,GDT_TS
prot_domains,18,475s,server,71,69,2,0.849089,0.873700,0.997200,GDT_TS
prot_domains,19,314s,server,71,65,6,0.799139,0.872906,0.997200,GDT_TS
prot_domains,20,145s,server,71,59,12,0.729477,0.877846,1.000000,GDT_TS
prot_domains,21,423s,server,71,60,11,0.720177,0.852210,0.997200,GDT_TS
prot_domains,22,198s,server,71,59,12,0.719087,0.865342,1.000000,GDT_TS
prot_domains,23,375s,server,71,55,16,0.689632,0.890253,0.997600,GDT_TS
prot_domains,24,450s,server,71,58,13,0.658134,0.805647,0.997600,GDT_TS
prot_domains,25,361s,server,71,66,5,0.645696,0.694612,0.906000,GDT_TS
prot_domains,26,028s,server,71,48,23,0.644593,0.953460,0.992400,GDT_TS
prot_domains,27,425s,server,71,46,25,0.588914,0.908976,0.997600,GDT_TS
prot_domains,28,319s,server,71,46,25,0.587639,0.907009,0.998700,GDT_TS
prot_domains,29,331s,server,71,46,25,0.586689,0.905541,0.998700,GDT_TS
prot_domains,30,219s,server,71,28,43,0.361700,0.917168,0.990900,GDT_TS
prot_domains,31,337s,server,71,17,54,0.166332,0.694682,0.957100,GDT_TS
prot_domains,32,114s,server,71,17,54,0.164675,0.687759,0.958100,GDT_TS
prot_domains,33,300s,server,71,17,54,0.164294,0.686171,0.968900,GDT_TS
prot_domains,34,132s,server,71,7,64,0.043361,0.439800,0.754600,GDT_TS
prot_domains,35,174s,server,71,1,70,0.012968,0.920700,0.920700,GDT_TS
prot_domains,36,471s,server,71,1,70,0.011713,0.831600,0.831600,GDT_TS
prot_oligo,1,456s,server,104,102,2,0.582615,0.594039,0.972000,QSglob
prot_oligo,2,052s,server,104,102,2,0.581712,0.593118,0.972000,QSglob
prot_oligo,3,110s,server,104,104,0,0.543327,0.543327,0.972000,QSglob
prot_oligo,4,028s,server,104,104,0,0.537240,0.537240,0.971000,QSglob
prot_oligo,5,147s,server,104,104,0,0.531269,0.531269,0.972000,QSglob
prot_oligo,6,304s,server,104,101,3,0.504221,0.519198,0.971000,QSglob
prot_oligo,7,312s,server,104,100,4,0.504221,0.524390,0.970000,QSglob
prot_oligo,8,148s,server,104,101,3,0.503625,0.518584,0.968000,QSglob
prot_oligo,9,163s,server,104,103,1,0.489000,0.493748,0.974000,QSglob
prot_oligo,10,388s,server,104,100,4,0.487971,0.507490,0.969000,QSglob
prot_oligo,11,284s,server,104,101,3,0.487019,0.501485,0.971000,QSglob
prot_oligo,12,075s,server,104,101,3,0.481231,0.495525,0.971000,QSglob
prot_oligo,13,475s,server,104,99,5,0.475567,0.499586,0.969000,QSglob
prot_oligo,14,122s,server,104,98,6,0.471615,0.500490,0.971000,QSglob
prot_oligo,15,267s,server,104,92,12,0.446971,0.505272,0.972000,QSglob
prot_oligo,16,375s,server,104,92,12,0.416663,0.471011,0.970000,QSglob
prot_oligo,17,208s,server,104,93,11,0.416240,0.465473,0.972000,QSglob
prot_oligo,18,079s,server,104,92,12,0.409462,0.462870,0.974000,QSglob
prot_oligo,19,331s,server,104,70,34,0.390577,0.580286,0.977000,QSglob
prot_oligo,20,319s,server,104,70,34,0.390308,0.579886,0.975000,QSglob
prot_oligo,21,425s,server,104,70,34,0.381010,0.566071,0.972000,QSglob
prot_oligo,22,219s,server,104,80,24,0.378173,0.491625,0.968000,QSglob
prot_oligo,23,145s,server,104,72,32,0.352567,0.509264,0.973000,QSglob
prot_oligo,24,198s,server,104,72,32,0.346231,0.500111,0.973000,QSglob
prot_oligo,25,450s,server,104,77,27,0.343538,0.464000,0.972000,QSglob
prot_oligo,26,423s,server,104,74,30,0.328740,0.462014,0.969000,QSglob
prot_oligo,27,300s,server,104,45,59,0.091029,0.210378,0.880000,QSglob
prot_oligo,28,114s,server,104,44,60,0.086231,0.203818,0.880000,QSglob
prot_oligo,29,337s,server,104,45,59,0.085221,0.196956,0.879000,QSglob
prot_oligo,30,174s,server,104,3,101,0.021798,0.755667,0.923000,QSglob
prot_oligo,31,314s,server,104,3,101,0.013029,0.451667,0.770000,QSglob
prot_oligo,32,132s,server,104,3,101,0.004192,0.145333,0.412000,QSglob
prot_oligo,33,019s,server,104,1,103,0.000163,0.017000,0.017000,QSglob
