category,rank,group,target_count,mean_primary_score,median_primary_score,best_primary_score,primary_metric
hybrid,1,063,4,0.710500,0.941000,0.959000,QSglob
hybrid,2,325,12,0.541750,0.466500,0.967000,QSglob
hybrid,3,159,13,0.496846,0.441000,0.967000,QSglob
hybrid,4,400,2,0.484000,0.484000,0.968000,QSglob
hybrid,5,044s,2,0.480000,0.480000,0.793000,QSglob
hybrid,6,183,2,0.470500,0.470500,0.941000,QSglob
hybrid,7,417,2,0.470500,0.470500,0.941000,QSglob
hybrid,8,317,2,0.470500,0.470500,0.941000,QSglob
hybrid,9,110s,20,0.456150,0.386000,0.970000,QSglob
hybrid,10,091,14,0.449714,0.418500,0.929000,QSglob
hybrid,11,051,9,0.439667,0.352000,0.963000,QSglob
hybrid,12,345,9,0.439333,0.377000,0.944000,QSglob
hybrid,13,462,20,0.435000,0.341000,0.938000,QSglob
hybrid,14,189,9,0.431667,0.371000,0.937000,QSglob
hybrid,15,208s,16,0.427312,0.355500,0.934000,QSglob
hybrid,16,369,16,0.424750,0.340500,0.937000,QSglob
hybrid,17,294,20,0.422650,0.433500,0.964000,QSglob
hybrid,18,143,10,0.412100,0.314000,0.920000,QSglob
hybrid,19,262,20,0.411400,0.388000,0.933000,QSglob
hybrid,20,286,20,0.403650,0.355500,0.964000,QSglob
hybrid,21,338,15,0.402000,0.382000,0.973000,QSglob
hybrid,22,006,5,0.401800,0.655000,0.675000,QSglob
hybrid,23,033,17,0.397294,0.440000,0.965000,QSglob
hybrid,24,225,2,0.396500,0.396500,0.793000,QSglob
hybrid,25,481,20,0.394350,0.341000,0.967000,QSglob
hybrid,26,028s,20,0.385150,0.329000,0.940000,QSglob
hybrid,27,489,7,0.380571,0.407000,0.568000,QSglob
hybrid,28,231,17,0.378529,0.292000,0.970000,QSglob
hybrid,29,241,20,0.374150,0.277000,0.963000,QSglob
hybrid,30,272,15,0.360200,0.280000,0.970000,QSglob
hybrid,31,235,10,0.358100,0.312500,0.964000,QSglob
hybrid,32,304s,20,0.349200,0.202500,0.964000,QSglob
hybrid,33,448,3,0.341667,0.105000,0.920000,QSglob
hybrid,34,425s,9,0.337222,0.242000,0.932000,QSglob
hybrid,35,319s,9,0.337222,0.242000,0.932000,QSglob
hybrid,36,331s,9,0.333444,0.237000,0.932000,QSglob
hybrid,37,450s,17,0.329824,0.264000,0.958000,QSglob
hybrid,38,167,19,0.302579,0.175000,0.937000,QSglob
hybrid,39,022,3,0.286000,0.211000,0.460000,QSglob
hybrid,40,204,5,0.278400,0.328000,0.538000,QSglob
hybrid,41,014,19,0.266526,0.189000,0.877000,QSglob
hybrid,42,147s,1,0.204000,0.204000,0.204000,QSglob
hybrid,43,267s,12,0.202000,0.000000,0.822000,QSglob
hybrid,44,456s,2,0.193000,0.193000,0.204000,QSglob
hybrid,45,494,2,0.191500,0.191500,0.202000,QSglob
hybrid,46,471s,1,0.182000,0.182000,0.182000,QSglob
hybrid,47,052s,3,0.164667,0.186000,0.212000,QSglob
hybrid,48,163s,1,0.158000,0.158000,0.158000,QSglob
hybrid,49,301,1,0.147000,0.147000,0.147000,QSglob
hybrid,50,284s,1,0.147000,0.147000,0.147000,QSglob
hybrid,51,075s,1,0.147000,0.147000,0.147000,QSglob
hybrid,52,375s,1,0.147000,0.147000,0.147000,QSglob
hybrid,53,475s,1,0.147000,0.147000,0.147000,QSglob
hybrid,54,274,3,0.127667,0.181000,0.202000,QSglob
hybrid,55,164,1,0.119000,0.119000,0.119000,QSglob
hybrid,56,323,2,0.102000,0.102000,0.119000,QSglob
hybrid,57,015,1,0.086000,0.086000,0.086000,QSglob
prot_domains,1,189,2,97.555000,97.555000,98.070000,GDT_TS
prot_domains,2,386,1,96.730000,96.730000,96.730000,GDT_TS
prot_domains,3,276,2,96.565000,96.565000,96.650000,GDT_TS
prot_domains,4,218,17,95.873529,96.150000,100.000000,GDT_TS
prot_domains,5,481,7,95.640000,95.930000,97.040000,GDT_TS
prot_domains,6,204,26,95.593846,96.740000,100.000000,GDT_TS
prot_domains,7,028s,49,95.428980,96.520000,99.410000,GDT_TS
prot_domains,8,290,21,94.923810,96.070000,100.000000,GDT_TS
prot_domains,9,033,6,93.823333,95.925000,97.220000,GDT_TS
prot_domains,10,231,6,93.480000,95.035000,97.590000,GDT_TS
prot_domains,11,171,20,93.250500,95.890000,99.760000,GDT_TS
prot_domains,12,494,35,93.197143,96.190000,99.710000,GDT_TS
