run_id	benchmark	status	backend	strategy	model_name	seeds	sample	candidate_count	budget_tier	selected_model_policy	fixed_budget	rank_eligible	msa_reuse_coverage_fraction	msa_reuse_missing_source	run_dir
baseline_no_msa	casp16_protein_v1	pending	protenix	baseline_no_msa	protenix-v2	101	1	1	dev_fixed	first_output_only	True	True			/scratch/10992/liaorunlong93/casp16-leaderboard/runs/baseline_no_msa
opendde_v1_full_msa_template	casp16_protein_v1	failed:aborted_query_only_msa	opendde	full_msa_template	opendde_v1	101	1	1	diagnostic	first_output_only	False	False			/scratch/10992/liaorunlong93/casp16-leaderboard/runs/opendde_v1_full_msa_template
opendde_v1_t1299_msa	casp16_protein_v1	ok	opendde	msa_single_target_t1299	opendde_v1	101	1	1	diagnostic	first_output_only	False	False			/scratch/10992/liaorunlong93/casp16-leaderboard/runs/opendde_v1_t1299_msa
opendde_v1_t1299_no_msa	casp16_protein_v1	ok	opendde	no_msa_single_target_t1299	opendde_v1	101	1	1	dev_fixed	first_output_only	True	True			/scratch/10992/liaorunlong93/casp16-leaderboard/runs/opendde_v1_t1299_no_msa
opendde_v1_full_msa_template_bf16_directrelp_torchtrimul_more	casp16_protein_v1	ok	opendde	full_msa_template_bf16_direct_relp_torch_trimul_more	opendde_v1	101	1	1	diagnostic	first_output_only	False	False			/scratch/10992/liaorunlong93/casp16-leaderboard/runs/opendde_v1_full_msa_template_bf16_directrelp_torchtrimul_more
opendde_v1_full_msa_template_bf16_directrelp_torchtrimul_h1258_chunk128_attnlowmem_nocontig_diffamp_pairprojchunk_bf16z_skipconf	casp16_protein_v1	ok	opendde	full_msa_template_bf16_direct_relp_torch_trimul_h1258_chunk128_attnlowmem_nocontig_diffamp_pairprojchunk_bf16z_skipconf	opendde_v1	101	1	1	diagnostic	first_output_only	False	False			/scratch/10992/liaorunlong93/casp16-leaderboard/runs/opendde_v1_full_msa_template_bf16_directrelp_torchtrimul_h1258_chunk128_attnlowmem_nocontig_diffamp_pairprojchunk_bf16z_skipconf
opendde_v1_full_msa_template_bf16_directrelp_torchtrimul_h1220_t1220s1_corrected_protein_skipconf	casp16_protein_v1	ok	opendde	full_msa_template_bf16_direct_relp_torch_trimul_h1220_t1220s1_corrected_protein_skipconf	opendde_v1	101	1	1	diagnostic	first_output_only	False	False			/scratch/10992/liaorunlong93/casp16-leaderboard/runs/opendde_v1_full_msa_template_bf16_directrelp_torchtrimul_h1220_t1220s1_corrected_protein_skipconf
server_eval_opendde_v1_full_msa_template_bf16_h1220_t1220s1	casp16_server_protein_v1	ok	opendde	diagnostic_reuse_local_v1_predictions	opendde_v1	101	1	1	diagnostic	first_output_only	False	False			/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_eval_opendde_v1_full_msa_template_bf16_h1220_t1220s1
server_protenix_full_msa_template_seed101	casp16_server_protein_v1	ok	protenix	full_server_msa_template_seed101	protenix-v2	101	1	1	dev_fixed	first_output_only	True	True			/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_protenix_full_msa_template_seed101
server_protenix_yang_terminal_tag_cleanup_seed101	casp16_server_protein_v1	ok	protenix	yang_terminal_tag_cleanup_v1	protenix-v2	101	1	1	dev_fixed	first_output_only	True	True			/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_protenix_yang_terminal_tag_cleanup_seed101
server_protenix_yang_oversize_domain_monomer_fallback_seed101	casp16_server_protein_v1	ok	protenix	yang_oversize_domain_monomer_fallback_v1	protenix-v2	101	1	1	dev_fixed	first_output_only	True	True			/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_protenix_yang_oversize_domain_monomer_fallback_seed101
server_protenix_yang_antibody_fv_cleanup_seed101	casp16_server_protein_v1	ok	protenix	yang_antibody_fv_cleanup_v1	protenix-v2	101	1	1	dev_fixed	first_output_only	True	True			/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_protenix_yang_antibody_fv_cleanup_seed101
server_protenix_yang_terminal_tag_antibody_fv_cleanup_seed101	casp16_server_protein_v1	deferred:needs_qsglob_or_positive_antibody_signal	protenix	yang_terminal_tag_antibody_fv_cleanup_v1	protenix-v2	101	1	1	dev_fixed	first_output_only	True	True			/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_protenix_yang_terminal_tag_antibody_fv_cleanup_seed101
server_protenix_yang_epitope_tag_cleanup_seed101	casp16_server_protein_v1	deferred:needs_predeclared_split_policy	protenix	yang_epitope_tag_cleanup_v1	protenix-v2	101	1	1	dev_fixed	first_output_only	True	True			/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_protenix_yang_epitope_tag_cleanup_seed101
server_attack_protenix_terminal_tag_seed101_105	casp16_server_protein_v1	cancelled:weak_partial_reallocate_gpu	protenix	yang_terminal_tag_cleanup_v1_server_attack	protenix-v2	101,102,103,104,105	1	5	server_attack	protenix_confidence_v1	True	True			/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_attack_protenix_terminal_tag_seed101_105
server_protenix_yang_large_target_split_or_fallback_seed101	casp16_server_protein_v1	pending	protenix	yang_large_target_split_or_fallback_v1	protenix-v2	101	1	1	dev_fixed	first_output_only	True	True			/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_protenix_yang_large_target_split_or_fallback_seed101
server_protenix_yang_sequence_recovery_seed101	casp16_server_protein_v1	pending	protenix	yang_sequence_recovery_v1	protenix-v2	101	1	1	dev_fixed	first_output_only	True	True			/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_protenix_yang_sequence_recovery_seed101
server_protenix_yang_sequence_recovery_large_target_fallback_seed101	casp16_server_protein_v1	pending	protenix	yang_sequence_recovery_large_target_fallback_v1	protenix-v2	101	1	1	dev_fixed	first_output_only	True	True			/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_protenix_yang_sequence_recovery_large_target_fallback_seed101
server_protenix_yang_oligo_stoichiometry_token_safe_seed101	casp16_server_protein_v1	pending	protenix	yang_oligo_stoichiometry_token_safe_v1	protenix-v2	101	1	1	dev_fixed	first_output_only	True	True			/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_protenix_yang_oligo_stoichiometry_token_safe_seed101
server_attack_protenix_coverage_stoich_seed101_105	casp16_server_protein_v1	superseded:msa_reuse_successor	protenix	yang_coverage_stoich_token_safe_v1_server_attack	protenix-v2	101,102,103,104,105	1	5	server_attack	protenix_confidence_v1	True	True			/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_attack_protenix_coverage_stoich_seed101_105
server_v2_protenix_yang_coverage_stoich_seed101	casp16_server_protein_v2_aliasfix	superseded:oligo_recovery_nofail	protenix	yang_oligo_stoichiometry_token_safe_v1	protenix-v2	101	1	1	dev_fixed	first_output_only	True	True			/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_protenix_yang_coverage_stoich_seed101
server_v2_protenix_yang_coverage_stoich_low_complexity_seed101	casp16_server_protein_v2_aliasfix	superseded:oligo_recovery_nofail	protenix	yang_coverage_stoich_low_complexity_v1	protenix-v2	101	1	1	dev_fixed	first_output_only	True	True			/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_protenix_yang_coverage_stoich_low_complexity_seed101
server_v2_protenix_yang_coverage_stoich_low_complexity_large_fallback_seed101	casp16_server_protein_v2_aliasfix	superseded:oligo_recovery_nofail	protenix	yang_coverage_stoich_low_complexity_large_fallback_v1	protenix-v2	101	1	1	dev_fixed	first_output_only	True	True			/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_protenix_yang_coverage_stoich_low_complexity_large_fallback_seed101
server_v2_attack_nofail_protenix5_seed101_105	casp16_server_protein_v2_aliasfix	superseded:oligo_recovery_nofail	protenix	yang_coverage_stoich_low_complexity_large_fallback_v1_server_attack_protenix5	protenix-v2	101,102,103,104,105	1	5	server_attack	protenix_confidence_v1	True	True			/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_nofail_protenix5_seed101_105
server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101	casp16_server_protein_v2_aliasfix	cancelled:scoreable_subset_attack	protenix	yang_oligo_sequence_stoich_low_complexity_large_fallback_v1	protenix-v2	101	1	1	dev_fixed	first_output_only	True	True			/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_protenix_yang_oligo_sequence_stoich_low_complexity_large_fallback_seed101
server_v2_attack_oligo_recovery_nofail_protenix5_seed101_105	casp16_server_protein_v2_aliasfix	superseded:msa_reuse_attack	protenix	yang_oligo_sequence_stoich_low_complexity_large_fallback_v1_server_attack_protenix5	protenix-v2	101,102,103,104,105	1	5	server_attack	protenix_confidence_v1	True	True			/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_oligo_recovery_nofail_protenix5_seed101_105
server_v2_attack_oligo_recovery_nofail_msa_reuse_protenix5_seed101_105	casp16_server_protein_v2_aliasfix	superseded:scoreable_subset_attack	protenix	yang_oligo_sequence_stoich_low_complexity_large_fallback_v1_msa_reuse_server_attack_protenix5	protenix-v2	101,102,103,104,105	1	5	server_attack	protenix_confidence_v1	True	True			/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_oligo_recovery_nofail_msa_reuse_protenix5_seed101_105
server_v2_protenix_yang_oligo_sequence_stoich_hydrophobic_leader_nofail_msa_reuse_seed101	casp16_server_protein_v2_aliasfix	deferred:slurm_wrapper_cancelled	protenix	yang_oligo_sequence_stoich_low_complexity_hydrophobic_leader_large_fallback_v1_msa_reuse	protenix-v2	101	1	1	dev_fixed	first_output_only	True	True			/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_protenix_yang_oligo_sequence_stoich_hydrophobic_leader_nofail_msa_reuse_seed101
server_v2_attack_scoreable_oligo_recovery_msa_reuse_protenix5_seed101_105	casp16_server_protein_v2_aliasfix	cancelled:target_sharded_replacement	protenix	scoreable_target_subset_v1_oligo_recovery_nofail_server_attack_protenix5	protenix-v2	101,102,103,104,105	1	5	server_attack	protenix_confidence_v1	True	True	1.0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_oligo_recovery_msa_reuse_protenix5_seed101_105
targetlab_protenix_yang_antibody_fv_seed101	target_lab	ok	protenix	yang_antibody_fv_fragment_inputs_v1	protenix-v2	101	1	1	diagnostic	first_output_only	False	False			/scratch/10992/liaorunlong93/casp16-leaderboard/runs/targetlab_protenix_yang_antibody_fv_seed101
server_attack_protenix_coverage_stoich_msa_reuse_seed101_105	casp16_server_protein_v1	pending	protenix	yang_coverage_stoich_token_safe_v1_server_attack_msa_reuse	protenix-v2	101,102,103,104,105	1	5	server_attack	protenix_confidence_v1	True	True	0.9183673469387755	16	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_attack_protenix_coverage_stoich_msa_reuse_seed101_105
server_v2_attack_scoreable_oligo_first_msa_reuse_protenix5_seed101_105	casp16_server_protein_v2_aliasfix	superseded:phase_alias_oligo_state_fix	protenix	scoreable_target_subset_oligo_first_v1_oligo_recovery_nofail_server_attack_protenix5	protenix-v2	101,102,103,104,105	1	5	server_attack	protenix_confidence_v1	True	True	1.0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_oligo_first_msa_reuse_protenix5_seed101_105
server_v2_domain_sequence_recovery_oligo_nofail_msa_reuse_seed101	casp16_server_protein_v2_aliasfix	deferred:behind_phase_alias_attack	protenix	yang_domain_sequence_recovery_oligo_nofail_v1	protenix-v2	101	1	1	dev_fixed	first_output_only	True	True	0.9746376811594203	7	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_domain_sequence_recovery_oligo_nofail_msa_reuse_seed101
server_v2_scoreable_attack_seed101_partial_diagnostic_20260707	casp16_server_protein_v2_aliasfix	ok	protenix	scoreable_attack_seed101_partial_diagnostic	protenix-v2	101	1	1	diagnostic	first_output_only	False	False			/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_scoreable_attack_seed101_partial_diagnostic_20260707
server_v2_attack_scoreable_oligo_first_phase_alias_msa_reuse_protenix5_seed101_105	casp16_server_protein_v2_aliasfix	superseded:oligo_size_first_successor	protenix	scoreable_target_subset_oligo_first_phase_alias_v1_nofail_server_attack_protenix5	protenix-v2	101,102,103,104,105	1	5	server_attack	protenix_confidence_v1	True	True	1.0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_oligo_first_phase_alias_msa_reuse_protenix5_seed101_105
server_v2_attack_scoreable_oligo_size_first_phase_alias_msa_reuse_protenix5_seed101_105	casp16_server_protein_v2_aliasfix	superseded:target_sharded_replacement	protenix	scoreable_target_subset_oligo_size_first_phase_alias_v1_nofail_server_attack_protenix5	protenix-v2	101,102,103,104,105	1	5	server_attack	protenix_confidence_v1	True	True	1.0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_oligo_size_first_phase_alias_msa_reuse_protenix5_seed101_105
server_v2_attack_scoreable_antibody_fv_oligo_size_first_phase_alias_msa_reuse_protenix5_seed101_105	casp16_server_protein_v2_aliasfix	deferred:target_shards_first	protenix	scoreable_antibody_fv_oligo_size_first_phase_alias_v1_server_attack_protenix5	protenix-v2	101,102,103,104,105	1	5	server_attack	protenix_confidence_v1	True	True	1.0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_antibody_fv_oligo_size_first_phase_alias_msa_reuse_protenix5_seed101_105
server_v2_scoreable_attack_seed101_partial_diagnostic_20260706_2027cdt	casp16_server_protein_v2_aliasfix	ok	protenix	scoreable_attack_seed101_partial_diagnostic_20260706_2027cdt	protenix-v2	101	1	1	diagnostic	first_output_only	False	False			/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_scoreable_attack_seed101_partial_diagnostic_20260706_2027cdt
server_v2_attack_scoreable_size_balanced_shard01_msa_reuse_protenix5_seed101_105	casp16_server_protein_v2_aliasfix	ok	protenix	target_shards_scoreable_size_balanced_v1_server_attack_protenix5	protenix-v2	101,102,103,104,105	1	5	server_attack	protenix_confidence_v1	True	False	1.0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard01_msa_reuse_protenix5_seed101_105
server_v2_attack_scoreable_size_balanced_shard02_msa_reuse_protenix5_seed101_105	casp16_server_protein_v2_aliasfix	ok	protenix	target_shards_scoreable_size_balanced_v1_server_attack_protenix5	protenix-v2	101,102,103,104,105	1	5	server_attack	protenix_confidence_v1	True	False	1.0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard02_msa_reuse_protenix5_seed101_105
server_v2_attack_scoreable_size_balanced_shard03_msa_reuse_protenix5_seed101_105	casp16_server_protein_v2_aliasfix	ok	protenix	target_shards_scoreable_size_balanced_v1_server_attack_protenix5	protenix-v2	101,102,103,104,105	1	5	server_attack	protenix_confidence_v1	True	False	1.0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard03_msa_reuse_protenix5_seed101_105
server_v2_attack_scoreable_size_balanced_shard04_msa_reuse_protenix5_seed101_105	casp16_server_protein_v2_aliasfix	ok	protenix	target_shards_scoreable_size_balanced_v1_server_attack_protenix5	protenix-v2	101,102,103,104,105	1	5	server_attack	protenix_confidence_v1	True	False	1.0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard04_msa_reuse_protenix5_seed101_105
server_v2_attack_scoreable_size_balanced_shard05_msa_reuse_protenix5_seed101_105	casp16_server_protein_v2_aliasfix	ok	protenix	target_shards_scoreable_size_balanced_v1_server_attack_protenix5	protenix-v2	101,102,103,104,105	1	5	server_attack	protenix_confidence_v1	True	False	1.0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard05_msa_reuse_protenix5_seed101_105
server_v2_attack_scoreable_size_balanced_shard06_msa_reuse_protenix5_seed101_105	casp16_server_protein_v2_aliasfix	ok	protenix	target_shards_scoreable_size_balanced_v1_server_attack_protenix5	protenix-v2	101,102,103,104,105	1	5	server_attack	protenix_confidence_v1	True	False	1.0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard06_msa_reuse_protenix5_seed101_105
server_v2_attack_scoreable_antibody_fv_size_balanced_shard01_msa_reuse_protenix5_seed101_105	casp16_server_protein_v2_aliasfix	deferred:base_target_shards_first	protenix	target_shards_scoreable_antibody_fv_size_balanced_v1_server_attack_protenix5	protenix-v2	101,102,103,104,105	1	5	server_attack	protenix_confidence_v1	True	False	1.0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_antibody_fv_size_balanced_shard01_msa_reuse_protenix5_seed101_105
server_v2_attack_scoreable_antibody_fv_size_balanced_shard02_msa_reuse_protenix5_seed101_105	casp16_server_protein_v2_aliasfix	deferred:base_target_shards_first	protenix	target_shards_scoreable_antibody_fv_size_balanced_v1_server_attack_protenix5	protenix-v2	101,102,103,104,105	1	5	server_attack	protenix_confidence_v1	True	False	1.0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_antibody_fv_size_balanced_shard02_msa_reuse_protenix5_seed101_105
server_v2_attack_scoreable_antibody_fv_size_balanced_shard03_msa_reuse_protenix5_seed101_105	casp16_server_protein_v2_aliasfix	deferred:base_target_shards_first	protenix	target_shards_scoreable_antibody_fv_size_balanced_v1_server_attack_protenix5	protenix-v2	101,102,103,104,105	1	5	server_attack	protenix_confidence_v1	True	False	1.0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_antibody_fv_size_balanced_shard03_msa_reuse_protenix5_seed101_105
server_v2_attack_scoreable_antibody_fv_size_balanced_shard04_msa_reuse_protenix5_seed101_105	casp16_server_protein_v2_aliasfix	deferred:base_target_shards_first	protenix	target_shards_scoreable_antibody_fv_size_balanced_v1_server_attack_protenix5	protenix-v2	101,102,103,104,105	1	5	server_attack	protenix_confidence_v1	True	False	1.0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_antibody_fv_size_balanced_shard04_msa_reuse_protenix5_seed101_105
server_v2_attack_scoreable_antibody_fv_size_balanced_shard05_msa_reuse_protenix5_seed101_105	casp16_server_protein_v2_aliasfix	deferred:base_target_shards_first	protenix	target_shards_scoreable_antibody_fv_size_balanced_v1_server_attack_protenix5	protenix-v2	101,102,103,104,105	1	5	server_attack	protenix_confidence_v1	True	False	1.0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_antibody_fv_size_balanced_shard05_msa_reuse_protenix5_seed101_105
server_v2_attack_scoreable_antibody_fv_size_balanced_shard06_msa_reuse_protenix5_seed101_105	casp16_server_protein_v2_aliasfix	deferred:base_target_shards_first	protenix	target_shards_scoreable_antibody_fv_size_balanced_v1_server_attack_protenix5	protenix-v2	101,102,103,104,105	1	5	server_attack	protenix_confidence_v1	True	False	1.0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_antibody_fv_size_balanced_shard06_msa_reuse_protenix5_seed101_105
server_v2_attack_scoreable_size_balanced_shard01_msa_reuse_protenix25_seed106_110	casp16_server_protein_v2_aliasfix	deferred:await_protenix5_score	protenix	target_shards_scoreable_size_balanced_v1_server_attack_protenix25	protenix-v2	106,107,108,109,110	1	5	server_attack	protenix_confidence_v1	True	False	1.0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard01_msa_reuse_protenix25_seed106_110
server_v2_attack_scoreable_size_balanced_shard01_msa_reuse_protenix25_seed111_115	casp16_server_protein_v2_aliasfix	deferred:await_protenix5_score	protenix	target_shards_scoreable_size_balanced_v1_server_attack_protenix25	protenix-v2	111,112,113,114,115	1	5	server_attack	protenix_confidence_v1	True	False	1.0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard01_msa_reuse_protenix25_seed111_115
server_v2_attack_scoreable_size_balanced_shard01_msa_reuse_protenix25_seed116_120	casp16_server_protein_v2_aliasfix	deferred:await_protenix5_score	protenix	target_shards_scoreable_size_balanced_v1_server_attack_protenix25	protenix-v2	116,117,118,119,120	1	5	server_attack	protenix_confidence_v1	True	False	1.0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard01_msa_reuse_protenix25_seed116_120
server_v2_attack_scoreable_size_balanced_shard01_msa_reuse_protenix25_seed121_125	casp16_server_protein_v2_aliasfix	deferred:await_protenix5_score	protenix	target_shards_scoreable_size_balanced_v1_server_attack_protenix25	protenix-v2	121,122,123,124,125	1	5	server_attack	protenix_confidence_v1	True	False	1.0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard01_msa_reuse_protenix25_seed121_125
server_v2_attack_scoreable_size_balanced_shard02_msa_reuse_protenix25_seed106_110	casp16_server_protein_v2_aliasfix	deferred:await_protenix5_score	protenix	target_shards_scoreable_size_balanced_v1_server_attack_protenix25	protenix-v2	106,107,108,109,110	1	5	server_attack	protenix_confidence_v1	True	False	1.0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard02_msa_reuse_protenix25_seed106_110
server_v2_attack_scoreable_size_balanced_shard02_msa_reuse_protenix25_seed111_115	casp16_server_protein_v2_aliasfix	deferred:await_protenix5_score	protenix	target_shards_scoreable_size_balanced_v1_server_attack_protenix25	protenix-v2	111,112,113,114,115	1	5	server_attack	protenix_confidence_v1	True	False	1.0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard02_msa_reuse_protenix25_seed111_115
server_v2_attack_scoreable_size_balanced_shard02_msa_reuse_protenix25_seed116_120	casp16_server_protein_v2_aliasfix	deferred:await_protenix5_score	protenix	target_shards_scoreable_size_balanced_v1_server_attack_protenix25	protenix-v2	116,117,118,119,120	1	5	server_attack	protenix_confidence_v1	True	False	1.0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard02_msa_reuse_protenix25_seed116_120
server_v2_attack_scoreable_size_balanced_shard02_msa_reuse_protenix25_seed121_125	casp16_server_protein_v2_aliasfix	deferred:await_protenix5_score	protenix	target_shards_scoreable_size_balanced_v1_server_attack_protenix25	protenix-v2	121,122,123,124,125	1	5	server_attack	protenix_confidence_v1	True	False	1.0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard02_msa_reuse_protenix25_seed121_125
server_v2_attack_scoreable_size_balanced_shard03_msa_reuse_protenix25_seed106_110	casp16_server_protein_v2_aliasfix	deferred:await_protenix5_score	protenix	target_shards_scoreable_size_balanced_v1_server_attack_protenix25	protenix-v2	106,107,108,109,110	1	5	server_attack	protenix_confidence_v1	True	False	1.0	0	/scratch/10992/liaorunlong93/casp16-leaderboard/runs/server_v2_attack_scoreable_size_balanced_shard03_msa_reuse_protenix25_seed106_110
