job_name	status	kept_for_targets	skipped_target_refs	rules
T0235O	kept	T0235,T0235O,T1235,T2235		has_available_reference,priority:exact_oligo_size_first
T1235O	kept	T0235,T1235,T1235O,T2235		has_available_reference,priority:exact_oligo_size_first
T2235O	kept	T0235,T1235,T2235,T2235O		has_available_reference,priority:exact_oligo_size_first
T0206O	kept	T0206,T0206O,T1206,T2206		has_available_reference,priority:exact_oligo_size_first
T1206O	kept	T0206,T1206,T1206O,T2206		has_available_reference,priority:exact_oligo_size_first
T2206O	kept	T0206,T1206,T2206,T2206O		has_available_reference,priority:exact_oligo_size_first
H1202	kept	H1202,H2202		has_available_reference,priority:exact_oligo_size_first
H2202	kept	H1202,H2202		has_available_reference,priority:exact_oligo_size_first
T1201O	kept	T1201,T1201O,T2201		has_available_reference,priority:exact_oligo_size_first
T2201O	kept	T1201,T2201,T2201O		has_available_reference,priority:exact_oligo_size_first
T0234O	kept	T0234,T0234O,T1234,T2234		has_available_reference,priority:exact_oligo_size_first
T1234O	kept	T0234,T1234,T1234O,T2234		has_available_reference,priority:exact_oligo_size_first
T2234O	kept	T0234,T1234,T2234,T2234O		has_available_reference,priority:exact_oligo_size_first
H0225	kept	H0225,H1225,H2225		has_available_reference,priority:exact_oligo_size_first
H1225	kept	H0225,H1225,H2225		has_available_reference,priority:exact_oligo_size_first
H2225	kept	H0225,H1225,H2225		has_available_reference,priority:exact_oligo_size_first
H0222	kept	H0222,H1222,H2222		has_available_reference,priority:exact_oligo_size_first
H1222	kept	H0222,H1222,H2222		has_available_reference,priority:exact_oligo_size_first
H2222	kept	H0222,H1222,H2222		has_available_reference,priority:exact_oligo_size_first
H0223	kept	H0223,H1223,H2223		has_available_reference,priority:exact_oligo_size_first
H1223	kept	H0223,H1223,H2223		has_available_reference,priority:exact_oligo_size_first
H2223	kept	H0223,H1223,H2223		has_available_reference,priority:exact_oligo_size_first
T1298O	kept	T1298,T1298O		has_available_reference,priority:exact_oligo_size_first
H1204	kept	H1204,H2204		has_available_reference,priority:exact_oligo_size_first
H2204	kept	H1204,H2204		has_available_reference,priority:exact_oligo_size_first
H0232	kept	H0232,H1232,H2232		has_available_reference,priority:exact_oligo_size_first
H1232	kept	H0232,H1232,H2232		has_available_reference,priority:exact_oligo_size_first
H2232	kept	H0232,H1232,H2232		has_available_reference,priority:exact_oligo_size_first
H0227	kept	H0227,H1227,H2227		has_available_reference,priority:exact_oligo_size_first
H1227	kept	H0227,H1227,H2227		has_available_reference,priority:exact_oligo_size_first
H2227	kept	H0227,H1227,H2227		has_available_reference,priority:exact_oligo_size_first
H0233	kept	H0233,H1233,H2233		has_available_reference,priority:exact_oligo_size_first
H1233	kept	H0233,H1233,H2233		has_available_reference,priority:exact_oligo_size_first
H2233	kept	H0233,H1233,H2233		has_available_reference,priority:exact_oligo_size_first
H1213	kept	H1213,H2213		has_available_reference,priority:exact_oligo_size_first
H2213	kept	H1213,H2213		has_available_reference,priority:exact_oligo_size_first
T1249V1O	kept	T1249V1,T1249V1O,T2249V1		has_available_reference,priority:exact_oligo_size_first
T2249V1O	kept	T1249V1,T2249V1,T2249V1O		has_available_reference,priority:exact_oligo_size_first
H0236	kept	H0236,H1236,H2236		has_available_reference,priority:exact_oligo_size_first
H1236	kept	H0236,H1236,H2236		has_available_reference,priority:exact_oligo_size_first
H2236	kept	H0236,H1236,H2236		has_available_reference,priority:exact_oligo_size_first
H0272	kept	H0272,H1272,H2272		has_available_reference,priority:exact_oligo_size_first
H1272	kept	H0272,H1272,H2272		has_available_reference,priority:exact_oligo_size_first
H2272	kept	H0272,H1272,H2272		has_available_reference,priority:exact_oligo_size_first
H0220	kept	H0220,H1220,H2220		has_available_reference,priority:exact_oligo_size_first
H1220	kept	H0220,H1220,H2220		has_available_reference,priority:exact_oligo_size_first
H2220	kept	H0220,H1220,H2220		has_available_reference,priority:exact_oligo_size_first
H0258	kept	H0258,H1258,H2258		has_available_reference,priority:exact_oligo_size_first
H1258	kept	H0258,H1258,H2258		has_available_reference,priority:exact_oligo_size_first
