target_id	sequence_index	chain_ids	changed	original_len	optimized_len	removed_n	removed_c	rules
T0235O	0	A	false	115	115	0	0	none
T1235O	0	A	false	115	115	0	0	none
T2235O	0	A	false	115	115	0	0	none
T0206O	0	A	false	237	237	0	0	none
T1206O	0	A	false	237	237	0	0	none
T2206O	0	A	false	237	237	0	0	none
H1202	0	A,B	false	69	69	0	0	none
H1202	1	C,D	false	121	121	0	0	none
H2202	0	A,B	false	69	69	0	0	none
H2202	1	C,D	false	121	121	0	0	none
T1201O	0	A,B	false	204	204	0	0	none
T2201O	0	A,B	false	204	204	0	0	none
T0234O	0	A	false	413	413	0	0	none
T1234O	0	A	false	413	413	0	0	none
T2234O	0	A	false	413	413	0	0	none
H0225	0	A	false	41	41	0	0	none
H0225	1	B	true	227	124	0	103	trim_c_antibody_constant:124
H0225	2	C	true	215	107	0	108	trim_c_antibody_constant:107
H1225	0	A	false	41	41	0	0	none
H1225	1	B	true	227	124	0	103	trim_c_antibody_constant:124
H1225	2	C	true	215	107	0	108	trim_c_antibody_constant:107
H2225	0	A	false	41	41	0	0	none
H2225	1	B	true	227	124	0	103	trim_c_antibody_constant:124
H2225	2	C	true	215	107	0	108	trim_c_antibody_constant:107
H0222	0	A	false	41	41	0	0	none
H0222	1	B	true	224	121	0	103	trim_c_antibody_constant:121
H0222	2	C	true	220	112	0	108	trim_c_antibody_constant:112
H1222	0	A	false	41	41	0	0	none
H1222	1	B	true	224	121	0	103	trim_c_antibody_constant:121
H1222	2	C	true	220	112	0	108	trim_c_antibody_constant:112
H2222	0	A	false	41	41	0	0	none
H2222	1	B	true	224	121	0	103	trim_c_antibody_constant:121
H2222	2	C	true	220	112	0	108	trim_c_antibody_constant:112
H0223	0	A	false	41	41	0	0	none
H0223	1	B	true	229	124	0	105	trim_c_antibody_constant:124
H0223	2	C	true	216	108	0	108	trim_c_antibody_constant:108
H1223	0	A	false	41	41	0	0	none
H1223	1	B	true	229	124	0	105	trim_c_antibody_constant:124
H1223	2	C	true	216	108	0	108	trim_c_antibody_constant:108
H2223	0	A	false	41	41	0	0	none
H2223	1	B	true	229	124	0	105	trim_c_antibody_constant:124
