target_id	track	status	skip_reason	source_lookup_id	source_record_ids	source_target_ids	oligo_state	entity_count	chain_count	total_len	rules
T0206	protein_domain	already_covered	none	none	none	none	UNK	1	1	237	existing_input_covers_scoreable_target
T0234	protein_domain	already_covered	none	none	none	none	UNK	1	1	413	existing_input_covers_scoreable_target
T0235	protein_domain	already_covered	none	none	none	none	UNK	1	1	115	existing_input_covers_scoreable_target
T1201	protein_domain	already_covered	none	none	none	none	A2	1	2	408	existing_input_covers_scoreable_target
T1206	protein_domain	already_covered	none	none	none	none	UNK	1	1	237	existing_input_covers_scoreable_target
T1210	protein_domain	already_covered	none	none	none	none	A1	1	1	1770	existing_input_covers_scoreable_target
T1212	protein_domain	added	none	T1212	T1212s1	M1212,T1212,T1212S1	A1	1	1	466	scoreable_input_repair
T1234	protein_domain	already_covered	none	none	none	none	UNK	1	1	413	existing_input_covers_scoreable_target
T1235	protein_domain	already_covered	none	none	none	none	UNK	1	1	115	existing_input_covers_scoreable_target
T1239V1	protein_domain	already_covered	none	none	none	none	A1	1	1	141	existing_input_covers_scoreable_target
T1239V2	protein_domain	added	none	T1239V1	T1239v1	T1239V1	A1	1	1	620	scoreable_input_repair,recast_sequence_kind:dnaSequence,alias_fallback:T1239V1
T1249V1	protein_domain	already_covered	none	none	none	none	A3	1	3	1464	existing_input_covers_scoreable_target
T1266	protein_domain	already_covered	none	none	none	none	A1	1	1	316	existing_input_covers_scoreable_target
T1269	protein_domain	already_covered	none	none	none	none	A1	1	1	1410	existing_input_covers_scoreable_target
T1280	protein_domain	already_covered	none	none	none	none	A1	1	1	237	existing_input_covers_scoreable_target
T1298	protein_domain	already_covered	none	none	none	none	A2	1	2	684	existing_input_covers_scoreable_target
T1299	protein_domain	already_covered	none	none	none	none	A1	1	1	168	existing_input_covers_scoreable_target
T2201	protein_domain	already_covered	none	none	none	none	A2	1	2	408	existing_input_covers_scoreable_target
T2206	protein_domain	already_covered	none	none	none	none	UNK	1	1	237	existing_input_covers_scoreable_target
T2210	protein_domain	already_covered	none	none	none	none	A1	1	1	1770	existing_input_covers_scoreable_target
T2234	protein_domain	already_covered	none	none	none	none	UNK	1	1	413	existing_input_covers_scoreable_target
T2235	protein_domain	already_covered	none	none	none	none	UNK	1	1	115	existing_input_covers_scoreable_target
T2249V1	protein_domain	already_covered	none	none	none	none	A3	1	3	1464	existing_input_covers_scoreable_target
T2266	protein_domain	already_covered	none	none	none	none	A1	1	1	316	existing_input_covers_scoreable_target
T2269	protein_domain	already_covered	none	none	none	none	A1	1	1	1410	existing_input_covers_scoreable_target
T2280	protein_domain	already_covered	none	none	none	none	A1	1	1	237	existing_input_covers_scoreable_target
H0220	protein_oligo	already_covered	none	none	none	none	UNK	2	5	2515	existing_input_covers_scoreable_target
H0222	protein_oligo	already_covered	none	none	none	none	UNK	3	3	485	existing_input_covers_scoreable_target
H0223	protein_oligo	already_covered	none	none	none	none	UNK	3	3	486	existing_input_covers_scoreable_target
H0225	protein_oligo	already_covered	none	none	none	none	UNK	3	3	483	existing_input_covers_scoreable_target
H0227	protein_oligo	already_covered	none	none	none	none	UNK	2	2	1304	existing_input_covers_scoreable_target
H0232	protein_oligo	already_covered	none	none	none	none	UNK	2	4	924	existing_input_covers_scoreable_target
H0233	protein_oligo	already_covered	none	none	none	none	UNK	3	6	1316	existing_input_covers_scoreable_target
H0236	protein_oligo	already_covered	none	none	none	none	UNK	2	9	1929	existing_input_covers_scoreable_target
H0258	protein_oligo	already_covered	none	none	none	none	UNK	1	1	2535	existing_input_covers_scoreable_target
H0272	protein_oligo	already_covered	none	none	none	none	UNK	7	7	2285	existing_input_covers_scoreable_target
H1202	protein_oligo	already_covered	none	none	none	none	A2B2	2	4	380	existing_input_covers_scoreable_target
H1204	protein_oligo	already_covered	none	none	none	none	A2B2C2	3	6	846	existing_input_covers_scoreable_target
H1213	protein_oligo	already_covered	none	none	none	none	UNK	5	5	1373	existing_input_covers_scoreable_target
H1220	protein_oligo	already_covered	none	none	none	none	UNK	2	5	2515	existing_input_covers_scoreable_target
H1222	protein_oligo	already_covered	none	none	none	none	UNK	3	3	485	existing_input_covers_scoreable_target
