job_name	status	kept_for_targets	skipped_target_refs	rules
T0206	kept	T0206,T0206O,T1206,T1206O,T2206,T2206O		has_available_reference,priority:original_order_after_exact_oligo_targets
T0218	skipped		T0218,T1218,T2218,T0218O	no_available_reference_for_job_aliases
T0234	kept	T0234,T0234O,T1234,T1234O,T2234,T2234O		has_available_reference,priority:original_order_after_exact_oligo_targets
T0235	kept	T0235,T0235O,T1235,T1235O,T2235,T2235O		has_available_reference,priority:original_order_after_exact_oligo_targets
T0237	skipped		T0237,T2237,T1237,T0237O	no_available_reference_for_job_aliases
T0240	skipped		T0240,T2240,T1240,T0240O	no_available_reference_for_job_aliases
T0246	skipped		T0246,T1246,T2246,T0246O	no_available_reference_for_job_aliases
T0257	skipped		T0257,T2257,T1257,T0257O	no_available_reference_for_job_aliases
T0259	skipped		T0259,T2259,T1259,T0259O	no_available_reference_for_job_aliases
T0270	skipped		T0270,T1270,T2270,T0270O	no_available_reference_for_job_aliases
T1201	kept	T1201,T1201O,T2201,T2201O		has_available_reference,priority:original_order_after_exact_oligo_targets
T1206	kept	T0206,T0206O,T1206,T1206O,T2206,T2206O		has_available_reference,priority:original_order_after_exact_oligo_targets
T1207	skipped		T1207,T2207,T0207,T1207O	no_available_reference_for_job_aliases
T1210	kept	T1210,T2210		has_available_reference,priority:original_order_after_exact_oligo_targets
T1218	skipped		T1218,T2218,T0218,T1218O	no_available_reference_for_job_aliases
T1226	skipped		T1226,T0226,T2226,T1226O	no_available_reference_for_job_aliases
T1228V1	skipped		T1228V1,T2228V1,T0228V1,T1228V1O	no_available_reference_for_job_aliases
T1231	skipped		T1231,T2231,T0231,T1231O	no_available_reference_for_job_aliases
T1234	kept	T0234,T0234O,T1234,T1234O,T2234,T2234O		has_available_reference,priority:original_order_after_exact_oligo_targets
T1235	kept	T0235,T0235O,T1235,T1235O,T2235,T2235O		has_available_reference,priority:original_order_after_exact_oligo_targets
T1237	skipped		T1237,T2237,T0237,T1237O	no_available_reference_for_job_aliases
T1239V1	kept	T1239V1		has_available_reference,priority:original_order_after_exact_oligo_targets
T1240	skipped		T1240,T2240,T0240,T1240O	no_available_reference_for_job_aliases
T1243	skipped		T1243,T0243,T2243,T1243O	no_available_reference_for_job_aliases
T1246	skipped		T1246,T0246,T2246,T1246O	no_available_reference_for_job_aliases
T1249V1	kept	T1249V1,T1249V1O,T2249V1,T2249V1O		has_available_reference,priority:original_order_after_exact_oligo_targets
T1257	skipped		T1257,T2257,T0257,T1257O	no_available_reference_for_job_aliases
T1259	skipped		T1259,T2259,T0259,T1259O	no_available_reference_for_job_aliases
T1266	kept	T1266,T2266		has_available_reference,priority:original_order_after_exact_oligo_targets
T1269	kept	T1269,T2269		has_available_reference,priority:original_order_after_exact_oligo_targets
T1270	skipped		T1270,T0270,T2270,T1270O	no_available_reference_for_job_aliases
T1274	skipped		T1274,T2274,T0274,T1274O	no_available_reference_for_job_aliases
T1276	skipped		T1276,T2276,T0276,T1276O	no_available_reference_for_job_aliases
T1278	kept	T1278,T2278		has_available_reference,priority:original_order_after_exact_oligo_targets
T1279	skipped		T1279,T2279,T0279,T1279O	no_available_reference_for_job_aliases
T1280	kept	T1280,T2280		has_available_reference,priority:original_order_after_exact_oligo_targets
T1284	skipped		T1284,T2284,T0284,T1284O	no_available_reference_for_job_aliases
T1292	skipped		T1292,T0292,T2292,T1292O	no_available_reference_for_job_aliases
T1294V1	skipped		T1294V1,T2294V1,T0294V1,T1294V1O	no_available_reference_for_job_aliases
T1295	skipped		T1295,T2295,T0295,T1295O	no_available_reference_for_job_aliases
T1298	kept	T1298,T1298O		has_available_reference,priority:original_order_after_exact_oligo_targets
T1299	kept	T1299		has_available_reference,priority:original_order_after_exact_oligo_targets
T2201	kept	T1201,T1201O,T2201,T2201O		has_available_reference,priority:original_order_after_exact_oligo_targets
T2206	kept	T0206,T0206O,T1206,T1206O,T2206,T2206O		has_available_reference,priority:original_order_after_exact_oligo_targets
T2207	skipped		T2207,T0207,T1207,T2207O	no_available_reference_for_job_aliases
T2210	kept	T1210,T2210		has_available_reference,priority:original_order_after_exact_oligo_targets
T2218	skipped		T2218,T0218,T1218,T2218O	no_available_reference_for_job_aliases
T2226	skipped		T2226,T0226,T1226,T2226O	no_available_reference_for_job_aliases
T2231	skipped		T2231,T1231,T0231,T2231O	no_available_reference_for_job_aliases
T2234	kept	T0234,T0234O,T1234,T1234O,T2234,T2234O		has_available_reference,priority:original_order_after_exact_oligo_targets
T2235	kept	T0235,T0235O,T1235,T1235O,T2235,T2235O		has_available_reference,priority:original_order_after_exact_oligo_targets
T2237	skipped		T2237,T0237,T1237,T2237O	no_available_reference_for_job_aliases
T2240	skipped		T2240,T1240,T0240,T2240O	no_available_reference_for_job_aliases
T2243	skipped		T2243,T0243,T1243,T2243O	no_available_reference_for_job_aliases
T2246	skipped		T2246,T1246,T0246,T2246O	no_available_reference_for_job_aliases
T2249V1	kept	T1249V1,T1249V1O,T2249V1,T2249V1O		has_available_reference,priority:original_order_after_exact_oligo_targets
T2257	skipped		T2257,T0257,T1257,T2257O	no_available_reference_for_job_aliases
T2259	skipped		T2259,T1259,T0259,T2259O	no_available_reference_for_job_aliases
T2266	kept	T1266,T2266		has_available_reference,priority:original_order_after_exact_oligo_targets
T2269	kept	T1269,T2269		has_available_reference,priority:original_order_after_exact_oligo_targets
T2270	skipped		T2270,T0270,T1270,T2270O	no_available_reference_for_job_aliases
T2274	skipped		T2274,T0274,T1274,T2274O	no_available_reference_for_job_aliases
T2276	skipped		T2276,T1276,T0276,T2276O	no_available_reference_for_job_aliases
T2278	kept	T1278,T2278		has_available_reference,priority:original_order_after_exact_oligo_targets
T2279	skipped		T2279,T0279,T1279,T2279O	no_available_reference_for_job_aliases
T2280	kept	T1280,T2280		has_available_reference,priority:original_order_after_exact_oligo_targets
T2284	skipped		T2284,T1284,T0284,T2284O	no_available_reference_for_job_aliases
H0208	skipped		H0208,H2208,H1208,H0208O	no_available_reference_for_job_aliases
H0215	skipped		H0215,H2215,H1215,H0215O	no_available_reference_for_job_aliases
H0217	skipped		H0217,H1217,H2217,H0217O	no_available_reference_for_job_aliases
H0220	kept	H0220,H1220,H2220		has_available_reference,priority:exact_oligo_size_first
H0222	kept	H0222,H1222,H2222		has_available_reference,priority:exact_oligo_size_first
H0223	kept	H0223,H1223,H2223		has_available_reference,priority:exact_oligo_size_first
H0225	kept	H0225,H1225,H2225		has_available_reference,priority:exact_oligo_size_first
H0227	kept	H0227,H1227,H2227		has_available_reference,priority:exact_oligo_size_first
H0229	skipped		H0229,H1229,H2229,H0229O	no_available_reference_for_job_aliases
H0230	skipped		H0230,H2230,H1230,H0230O	no_available_reference_for_job_aliases
H0232	kept	H0232,H1232,H2232		has_available_reference,priority:exact_oligo_size_first
H0233	kept	H0233,H1233,H2233		has_available_reference,priority:exact_oligo_size_first
H0236	kept	H0236,H1236,H2236		has_available_reference,priority:exact_oligo_size_first
H0244	skipped		H0244,H1244,H2244,H0244O	no_available_reference_for_job_aliases
H0245	skipped		H0245,H2245,H1245,H0245O	no_available_reference_for_job_aliases
H0258	kept	H0258,H1258,H2258		has_available_reference,priority:exact_oligo_size_first
H0265	skipped		H0265,H2265,H1265,H0265O	no_available_reference_for_job_aliases
H0267	skipped		H0267,H2267,H1267,H0267O	no_available_reference_for_job_aliases
H0272	kept	H0272,H1272,H2272		has_available_reference,priority:exact_oligo_size_first
H1202	kept	H1202,H2202		has_available_reference,priority:exact_oligo_size_first
H1204	kept	H1204,H2204		has_available_reference,priority:exact_oligo_size_first
H1208	skipped		H1208,H0208,H2208,H1208O	no_available_reference_for_job_aliases
H1213	kept	H1213,H2213		has_available_reference,priority:exact_oligo_size_first
H1215	skipped		H1215,H0215,H2215,H1215O	no_available_reference_for_job_aliases
H1217	skipped		H1217,H2217,H0217,H1217O	no_available_reference_for_job_aliases
H1220	kept	H0220,H1220,H2220		has_available_reference,priority:exact_oligo_size_first
H1222	kept	H0222,H1222,H2222		has_available_reference,priority:exact_oligo_size_first
H1223	kept	H0223,H1223,H2223		has_available_reference,priority:exact_oligo_size_first
H1225	kept	H0225,H1225,H2225		has_available_reference,priority:exact_oligo_size_first
H1227	kept	H0227,H1227,H2227		has_available_reference,priority:exact_oligo_size_first
H1229	skipped		H1229,H0229,H2229,H1229O	no_available_reference_for_job_aliases
H1230	skipped		H1230,H0230,H2230,H1230O	no_available_reference_for_job_aliases
H1232	kept	H0232,H1232,H2232		has_available_reference,priority:exact_oligo_size_first
H1233	kept	H0233,H1233,H2233		has_available_reference,priority:exact_oligo_size_first
H1236	kept	H0236,H1236,H2236		has_available_reference,priority:exact_oligo_size_first
H1244	skipped		H1244,H2244,H0244,H1244O	no_available_reference_for_job_aliases
H1245	skipped		H1245,H2245,H0245,H1245O	no_available_reference_for_job_aliases
H1258	kept	H0258,H1258,H2258		has_available_reference,priority:exact_oligo_size_first
H1265	skipped		H1265,H2265,H0265,H1265O	no_available_reference_for_job_aliases
H1267	skipped		H1267,H2267,H0267,H1267O	no_available_reference_for_job_aliases
H1272	kept	H0272,H1272,H2272		has_available_reference,priority:exact_oligo_size_first
H2202	kept	H1202,H2202		has_available_reference,priority:exact_oligo_size_first
H2204	kept	H1204,H2204		has_available_reference,priority:exact_oligo_size_first
H2208	skipped		H2208,H0208,H1208,H2208O	no_available_reference_for_job_aliases
H2213	kept	H1213,H2213		has_available_reference,priority:exact_oligo_size_first
H2215	skipped		H2215,H0215,H1215,H2215O	no_available_reference_for_job_aliases
H2217	skipped		H2217,H1217,H0217,H2217O	no_available_reference_for_job_aliases
H2220	kept	H0220,H1220,H2220		has_available_reference,priority:exact_oligo_size_first
H2222	kept	H0222,H1222,H2222		has_available_reference,priority:exact_oligo_size_first
H2223	kept	H0223,H1223,H2223		has_available_reference,priority:exact_oligo_size_first
H2225	kept	H0225,H1225,H2225		has_available_reference,priority:exact_oligo_size_first
H2227	kept	H0227,H1227,H2227		has_available_reference,priority:exact_oligo_size_first
H2229	skipped		H2229,H1229,H0229,H2229O	no_available_reference_for_job_aliases
H2230	skipped		H2230,H1230,H0230,H2230O	no_available_reference_for_job_aliases
H2232	kept	H0232,H1232,H2232		has_available_reference,priority:exact_oligo_size_first
H2233	kept	H0233,H1233,H2233		has_available_reference,priority:exact_oligo_size_first
H2236	kept	H0236,H1236,H2236		has_available_reference,priority:exact_oligo_size_first
H2244	skipped		H2244,H1244,H0244,H2244O	no_available_reference_for_job_aliases
H2245	skipped		H2245,H0245,H1245,H2245O	no_available_reference_for_job_aliases
H2258	kept	H0258,H1258,H2258		has_available_reference,priority:exact_oligo_size_first
H2265	skipped		H2265,H1265,H0265,H2265O	no_available_reference_for_job_aliases
H2267	skipped		H2267,H1267,H0267,H2267O	no_available_reference_for_job_aliases
H2272	kept	H0272,H1272,H2272		has_available_reference,priority:exact_oligo_size_first
T0206O	kept	T0206,T0206O,T1206,T2206		has_available_reference,priority:exact_oligo_size_first
T0218O	skipped		T0218O,T0218	no_available_reference_for_job_aliases
T0234O	kept	T0234,T0234O,T1234,T2234		has_available_reference,priority:exact_oligo_size_first
T0235O	kept	T0235,T0235O,T1235,T2235		has_available_reference,priority:exact_oligo_size_first
T0237O	skipped		T0237O,T0237	no_available_reference_for_job_aliases
T0240O	skipped		T0240O,T0240	no_available_reference_for_job_aliases
T0257O	skipped		T0257O,T0257	no_available_reference_for_job_aliases
T0259O	skipped		T0259O,T0259	no_available_reference_for_job_aliases
T0270O	skipped		T0270O,T0270	no_available_reference_for_job_aliases
T1201O	kept	T1201,T1201O,T2201		has_available_reference,priority:exact_oligo_size_first
T1206O	kept	T0206,T1206,T1206O,T2206		has_available_reference,priority:exact_oligo_size_first
T1218O	skipped		T1218O,T1218	no_available_reference_for_job_aliases
T1234O	kept	T0234,T1234,T1234O,T2234		has_available_reference,priority:exact_oligo_size_first
T1235O	kept	T0235,T1235,T1235O,T2235		has_available_reference,priority:exact_oligo_size_first
T1237O	skipped		T1237O,T1237	no_available_reference_for_job_aliases
T1240O	skipped		T1240O,T1240	no_available_reference_for_job_aliases
T1249V1O	kept	T1249V1,T1249V1O,T2249V1		has_available_reference,priority:exact_oligo_size_first
T1257O	skipped		T1257O,T1257	no_available_reference_for_job_aliases
T1259O	skipped		T1259O,T1259	no_available_reference_for_job_aliases
T1270O	skipped		T1270O,T1270	no_available_reference_for_job_aliases
T1292O	skipped		T1292O,T1292	no_available_reference_for_job_aliases
T1294V1O	skipped		T1294V1O,T1294V1	no_available_reference_for_job_aliases
T1295O	skipped		T1295O,T1295	no_available_reference_for_job_aliases
T1298O	kept	T1298,T1298O		has_available_reference,priority:exact_oligo_size_first
T2201O	kept	T1201,T2201,T2201O		has_available_reference,priority:exact_oligo_size_first
T2206O	kept	T0206,T1206,T2206,T2206O		has_available_reference,priority:exact_oligo_size_first
T2218O	skipped		T2218O,T2218	no_available_reference_for_job_aliases
T2234O	kept	T0234,T1234,T2234,T2234O		has_available_reference,priority:exact_oligo_size_first
T2235O	kept	T0235,T1235,T2235,T2235O		has_available_reference,priority:exact_oligo_size_first
T2237O	skipped		T2237O,T2237	no_available_reference_for_job_aliases
T2240O	skipped		T2240O,T2240	no_available_reference_for_job_aliases
T2249V1O	kept	T1249V1,T2249V1,T2249V1O		has_available_reference,priority:exact_oligo_size_first
T2257O	skipped		T2257O,T2257	no_available_reference_for_job_aliases
T2259O	skipped		T2259O,T2259	no_available_reference_for_job_aliases
T2270O	skipped		T2270O,T2270	no_available_reference_for_job_aliases
