shard_id	task_index	source_index	task_name	token_estimate	chain_count	entity_count
scoreable_antibody_fv_size_balanced_01	1	0	T0235O	115	1	1
scoreable_antibody_fv_size_balanced_01	2	7	H1225	272	3	3
scoreable_antibody_fv_size_balanced_01	3	13	H1222	274	3	3
scoreable_antibody_fv_size_balanced_01	4	26	H1233	894	6	3
scoreable_antibody_fv_size_balanced_01	5	38	H0236	1929	9	2
scoreable_antibody_fv_size_balanced_01	6	47	H0258	2535	1	1
scoreable_antibody_fv_size_balanced_01	7	51	T0234	413	1	1
scoreable_antibody_fv_size_balanced_01	8	54	T1206	237	1	1
scoreable_antibody_fv_size_balanced_01	9	55	T1210	1770	1	1
scoreable_antibody_fv_size_balanced_01	10	63	T1298	684	2	1
scoreable_antibody_fv_size_balanced_01	11	65	T2201	408	2	1
scoreable_antibody_fv_size_balanced_01	12	69	T2235	115	1	1
scoreable_antibody_fv_size_balanced_01	13	72	T2269	1410	1	1
scoreable_antibody_fv_size_balanced_02	1	4	T1206O	237	1	1
scoreable_antibody_fv_size_balanced_02	2	10	H1223	273	3	3
scoreable_antibody_fv_size_balanced_02	3	16	H2202	380	4	2
scoreable_antibody_fv_size_balanced_02	4	24	H2204	846	6	3
scoreable_antibody_fv_size_balanced_02	5	30	H2232	924	4	2
scoreable_antibody_fv_size_balanced_02	6	34	H1213	1373	5	5
scoreable_antibody_fv_size_balanced_02	7	39	H1236	1929	9	2
scoreable_antibody_fv_size_balanced_02	8	48	H1258	2535	1	1
scoreable_antibody_fv_size_balanced_02	9	57	T1235	115	1	1
scoreable_antibody_fv_size_balanced_02	10	67	T2210	1770	1	1
scoreable_antibody_fv_size_balanced_02	11	68	T2234	413	1	1
scoreable_antibody_fv_size_balanced_02	12	73	T2280	237	1	1
scoreable_antibody_fv_size_balanced_03	1	1	T1235O	115	1	1
scoreable_antibody_fv_size_balanced_03	2	5	T2206O	237	1	1
scoreable_antibody_fv_size_balanced_03	3	11	H2223	273	3	3
scoreable_antibody_fv_size_balanced_03	4	18	T2201O	408	2	1
scoreable_antibody_fv_size_balanced_03	5	19	T0234O	413	1	1
scoreable_antibody_fv_size_balanced_03	6	20	T1234O	413	1	1
scoreable_antibody_fv_size_balanced_03	7	33	H2227	1304	2	2
scoreable_antibody_fv_size_balanced_03	8	36	T1249V1O	1464	3	1
scoreable_antibody_fv_size_balanced_03	9	40	H2236	1929	9	2
scoreable_antibody_fv_size_balanced_03	10	49	H2258	2535	1	1
scoreable_antibody_fv_size_balanced_03	11	61	T1269	1410	1	1
scoreable_antibody_fv_size_balanced_03	12	64	T1299	168	1	1
scoreable_antibody_fv_size_balanced_03	13	71	T2266	316	1	1
scoreable_antibody_fv_size_balanced_04	1	6	H0225	272	3	3
scoreable_antibody_fv_size_balanced_04	2	12	H0222	274	3	3
scoreable_antibody_fv_size_balanced_04	3	21	T2234O	413	1	1
scoreable_antibody_fv_size_balanced_04	4	22	T1298O	684	2	1
scoreable_antibody_fv_size_balanced_04	5	25	H0233	894	6	3
scoreable_antibody_fv_size_balanced_04	6	35	H2213	1373	5	5
scoreable_antibody_fv_size_balanced_04	7	37	T2249V1O	1464	3	1
scoreable_antibody_fv_size_balanced_04	8	41	H0272	2285	7	7
scoreable_antibody_fv_size_balanced_04	9	44	H0220	2515	5	2
scoreable_antibody_fv_size_balanced_04	10	50	T0206	237	1	1
scoreable_antibody_fv_size_balanced_04	11	53	T1201	408	2	1
scoreable_antibody_fv_size_balanced_04	12	58	T1239V1	141	1	1
scoreable_antibody_fv_size_balanced_05	1	8	H2225	272	3	3
scoreable_antibody_fv_size_balanced_05	2	14	H2222	274	3	3
scoreable_antibody_fv_size_balanced_05	3	17	T1201O	408	2	1
scoreable_antibody_fv_size_balanced_05	4	27	H2233	894	6	3
scoreable_antibody_fv_size_balanced_05	5	28	H0232	924	4	2
scoreable_antibody_fv_size_balanced_05	6	31	H0227	1304	2	2
scoreable_antibody_fv_size_balanced_05	7	42	H1272	2285	7	7
scoreable_antibody_fv_size_balanced_05	8	45	H1220	2515	5	2
scoreable_antibody_fv_size_balanced_05	9	52	T0235	115	1	1
scoreable_antibody_fv_size_balanced_05	10	59	T1249V1	1464	3	1
scoreable_antibody_fv_size_balanced_05	11	60	T1266	316	1	1
scoreable_antibody_fv_size_balanced_05	12	66	T2206	237	1	1
scoreable_antibody_fv_size_balanced_06	1	2	T2235O	115	1	1
scoreable_antibody_fv_size_balanced_06	2	3	T0206O	237	1	1
scoreable_antibody_fv_size_balanced_06	3	9	H0223	273	3	3
scoreable_antibody_fv_size_balanced_06	4	15	H1202	380	4	2
scoreable_antibody_fv_size_balanced_06	5	23	H1204	846	6	3
scoreable_antibody_fv_size_balanced_06	6	29	H1232	924	4	2
scoreable_antibody_fv_size_balanced_06	7	32	H1227	1304	2	2
scoreable_antibody_fv_size_balanced_06	8	43	H2272	2285	7	7
scoreable_antibody_fv_size_balanced_06	9	46	H2220	2515	5	2
scoreable_antibody_fv_size_balanced_06	10	56	T1234	413	1	1
scoreable_antibody_fv_size_balanced_06	11	62	T1280	237	1	1
scoreable_antibody_fv_size_balanced_06	12	70	T2249V1	1464	3	1
