shard_id	task_index	source_index	task_name	token_estimate	chain_count	entity_count
scoreable_size_balanced_01	1	12	H2222	485	3	3
scoreable_size_balanced_01	2	16	T1298O	684	2	1
scoreable_size_balanced_01	3	17	T0235O	690	6	1
scoreable_size_balanced_01	4	25	T0234O	1239	3	1
scoreable_size_balanced_01	5	35	H0236	1929	9	2
scoreable_size_balanced_01	6	38	H0227	2181	3	2
scoreable_size_balanced_01	7	47	H0258	2535	1	1
scoreable_size_balanced_01	8	50	T0206	474	2	1
scoreable_size_balanced_01	9	51	T0234	1239	3	1
scoreable_size_balanced_01	10	61	T1269	1410	1	1
scoreable_size_balanced_01	11	65	T1299	168	1	1
scoreable_size_balanced_01	12	66	T2201	408	2	1
scoreable_size_balanced_01	13	72	T2266	316	1	1
scoreable_size_balanced_02	1	6	T2206O	474	2	1
scoreable_size_balanced_02	2	7	H0225	483	3	3
scoreable_size_balanced_02	3	18	T1235O	690	6	1
scoreable_size_balanced_02	4	26	T1234O	1239	3	1
scoreable_size_balanced_02	5	36	H1236	1929	9	2
scoreable_size_balanced_02	6	39	H1227	2181	3	2
scoreable_size_balanced_02	7	48	H1258	2535	1	1
scoreable_size_balanced_02	8	53	T1201	408	2	1
scoreable_size_balanced_02	9	56	T1234	1239	3	1
scoreable_size_balanced_02	10	60	T1266	316	1	1
scoreable_size_balanced_02	11	64	T1298	684	2	1
scoreable_size_balanced_02	12	73	T2269	1410	1	1
scoreable_size_balanced_02	13	75	T2280	237	1	1
scoreable_size_balanced_03	1	0	H1202	380	4	2
scoreable_size_balanced_03	2	8	H1225	483	3	3
scoreable_size_balanced_03	3	13	H0223	486	3	3
scoreable_size_balanced_03	4	14	H1223	486	3	3
scoreable_size_balanced_03	5	19	T2235O	690	6	1
scoreable_size_balanced_03	6	28	H0233	1316	6	3
scoreable_size_balanced_03	7	31	H1213	1373	5	5
scoreable_size_balanced_03	8	37	H2236	1929	9	2
scoreable_size_balanced_03	9	40	H2227	2181	3	2
scoreable_size_balanced_03	10	49	H2258	2535	1	1
scoreable_size_balanced_03	11	54	T1206	474	2	1
scoreable_size_balanced_03	12	63	T1280	237	1	1
scoreable_size_balanced_03	13	69	T2234	1239	3	1
scoreable_size_balanced_04	1	3	T2201O	408	2	1
scoreable_size_balanced_04	2	5	T1206O	474	2	1
scoreable_size_balanced_04	3	11	H1222	485	3	3
scoreable_size_balanced_04	4	22	H0232	924	4	2
scoreable_size_balanced_04	5	24	H2232	924	4	2
scoreable_size_balanced_04	6	29	H1233	1316	6	3
scoreable_size_balanced_04	7	41	H0272	2285	7	7
scoreable_size_balanced_04	8	44	H0220	2515	5	2
scoreable_size_balanced_04	9	55	T1210	1770	1	1
scoreable_size_balanced_04	10	59	T1249V1	1464	3	1
scoreable_size_balanced_04	11	70	T2235	690	6	1
scoreable_size_balanced_04	12	74	T2278	360	1	1
scoreable_size_balanced_05	1	9	H2225	483	3	3
scoreable_size_balanced_05	2	15	H2223	486	3	3
scoreable_size_balanced_05	3	20	H1204	846	6	3
scoreable_size_balanced_05	4	23	H1232	924	4	2
scoreable_size_balanced_05	5	30	H2233	1316	6	3
scoreable_size_balanced_05	6	42	H1272	2285	7	7
scoreable_size_balanced_05	7	45	H1220	2515	5	2
scoreable_size_balanced_05	8	52	T0235	690	6	1
scoreable_size_balanced_05	9	58	T1239V1	141	1	1
scoreable_size_balanced_05	10	62	T1278	360	1	1
scoreable_size_balanced_05	11	67	T2206	474	2	1
scoreable_size_balanced_05	12	68	T2210	1770	1	1
scoreable_size_balanced_05	13	71	T2249V1	1464	3	1
scoreable_size_balanced_06	1	1	H2202	380	4	2
scoreable_size_balanced_06	2	2	T1201O	408	2	1
scoreable_size_balanced_06	3	4	T0206O	474	2	1
scoreable_size_balanced_06	4	10	H0222	485	3	3
scoreable_size_balanced_06	5	21	H2204	846	6	3
scoreable_size_balanced_06	6	27	T2234O	1239	3	1
scoreable_size_balanced_06	7	32	H2213	1373	5	5
scoreable_size_balanced_06	8	33	T1249V1O	1464	3	1
scoreable_size_balanced_06	9	34	T2249V1O	1464	3	1
scoreable_size_balanced_06	10	43	H2272	2285	7	7
scoreable_size_balanced_06	11	46	H2220	2515	5	2
scoreable_size_balanced_06	12	57	T1235	690	6	1
