target_id	fv_job_id	sequence_index	chain_ids	status	original_len	optimized_len	removed_c	rules
H0222	H0222__fv	0	A	unchanged	41	41	0	none
H0222	H0222__fv	1	B	trimmed	224	121	103	trim_c_antibody_constant:121
H0222	H0222__fv	2	C	trimmed	220	112	108	trim_c_antibody_constant:112
H0223	H0223__fv	0	A	unchanged	41	41	0	none
H0223	H0223__fv	1	B	trimmed	229	124	105	trim_c_antibody_constant:124
H0223	H0223__fv	2	C	trimmed	216	108	108	trim_c_antibody_constant:108
H0225	H0225__fv	0	A	unchanged	41	41	0	none
H0225	H0225__fv	1	B	trimmed	227	124	103	trim_c_antibody_constant:124
H0225	H0225__fv	2	C	trimmed	215	107	108	trim_c_antibody_constant:107
H0233	H0233__fv	0	A	unchanged	219	219	0	none
H0233	H0233__fv	1	B	trimmed	222	119	103	trim_c_antibody_constant:119
H0233	H0233__fv	2	C	trimmed	217	109	108	trim_c_antibody_constant:109
H1222	H1222__fv	0	A	unchanged	41	41	0	none
H1222	H1222__fv	1	B	trimmed	224	121	103	trim_c_antibody_constant:121
H1222	H1222__fv	2	C	trimmed	220	112	108	trim_c_antibody_constant:112
H1223	H1223__fv	0	A	unchanged	41	41	0	none
H1223	H1223__fv	1	B	trimmed	229	124	105	trim_c_antibody_constant:124
H1223	H1223__fv	2	C	trimmed	216	108	108	trim_c_antibody_constant:108
H1225	H1225__fv	0	A	unchanged	41	41	0	none
H1225	H1225__fv	1	B	trimmed	227	124	103	trim_c_antibody_constant:124
H1225	H1225__fv	2	C	trimmed	215	107	108	trim_c_antibody_constant:107
H1233	H1233__fv	0	A	unchanged	219	219	0	none
H1233	H1233__fv	1	B	trimmed	222	119	103	trim_c_antibody_constant:119
H1233	H1233__fv	2	C	trimmed	217	109	108	trim_c_antibody_constant:109
