target_id	sequence_index	chain_ids	changed	original_len	optimized_len	removed_n	removed_c	rules
T0206	0	A	false	237	237	0	0	none
T0218	0	A	false	1164	1164	0	0	none
T0234	0	A	false	413	413	0	0	none
T0235	0	A	false	115	115	0	0	none
T0237	0	A	false	488	488	0	0	none
T0240	0	A	true	653	624	29	0	trim_n_hydrophobic_leader:29
T0246	0	A	false	168	168	0	0	none
T0257	0	A	false	1263	1263	0	0	none
T0259	0	A	false	243	243	0	0	none
T0270	0	A	false	437	437	0	0	none
T1201	0	A,B	true	210	204	0	6	trim_c:HHHHHH
T1206	0	A	false	237	237	0	0	none
T1207	0	A	false	144	144	0	0	none
T1210	0	A	true	1770	1755	15	0	trim_n_hydrophobic_leader:15
T1218	0	A	false	1164	1164	0	0	none
T1226	0	A	false	123	123	0	0	none
T1231	0	A	false	142	142	0	0	none
T1234	0	A	false	413	413	0	0	none
T1235	0	A	false	115	115	0	0	none
T1237	0	A	false	488	488	0	0	none
T1240	0	A	true	653	624	29	0	trim_n_hydrophobic_leader:29
T1243	0	A	false	293	293	0	0	none
T1246	0	A	false	168	168	0	0	none
T1249V1	0	A,B,C	false	488	488	0	0	none
T1257	0	A	false	1263	1263	0	0	none
T1259	0	A	false	243	243	0	0	none
T1266	0	A	true	336	316	20	0	trim_n:MGSSHHHHHHSSGLVPRGSH
T1269	0	A	false	1410	1410	0	0	none
T1270	0	A	false	437	437	0	0	none
T1274	0	A	false	167	167	0	0	none
T1278	0	A	true	380	360	20	0	trim_n:MGSSHHHHHHSSGLVPRGSH
T1279	0	A	false	428	428	0	0	none
T1280	0	A	false	237	237	0	0	none
T1284	0	A	false	120	120	0	0	none
T1292	0	A,B	true	196	190	0	6	trim_c:HHHHHH
T1294V1	0	A,B	false	214	214	0	0	none
T1295	0	A,B,C,D,E,F,G,H	false	469	469	0	0	none
T1298	0	A,B	false	342	342	0	0	none
T1299	0	A	false	168	168	0	0	none
H0208	0	A	false	328	328	0	0	none
H0208	1	B	false	318	318	0	0	none
H0215	0	A	false	131	131	0	0	none
H0215	1	B	false	238	238	0	0	none
H0217	0	A	false	305	305	0	0	none
H0217	1	B	false	351	351	0	0	none
H0217	2	C	false	452	452	0	0	none
H0217	3	D	false	523	523	0	0	none
H0217	4	E	true	721	681	40	0	trim_n_low_complexity:40
H0217	5	F	false	587	587	0	0	none
H0222	0	A	false	41	41	0	0	none
H0222	1	B	false	224	224	0	0	none
H0222	2	C	false	220	220	0	0	none
H0223	0	A	false	41	41	0	0	none
H0223	1	B	false	229	229	0	0	none
H0223	2	C	false	216	216	0	0	none
H0225	0	A	false	41	41	0	0	none
