target_id	track	status	skip_reason	original_total_len	cleaned_total_len	optimized_total_len	original_entity_count	optimized_entity_count	original_chain_ids	optimized_chain_ids	dropped_chain_ids	rules
T0206	protein_domain	unchanged	within_token_limit	237	237	237	1	1	A	A	none	none
T0218	protein_domain	unchanged	within_token_limit	1164	1164	1164	1	1	A	A	none	none
T0234	protein_domain	unchanged	within_token_limit	413	413	413	1	1	A	A	none	none
T0235	protein_domain	unchanged	within_token_limit	115	115	115	1	1	A	A	none	none
T0237	protein_domain	unchanged	within_token_limit	488	488	488	1	1	A	A	none	none
T0240	protein_domain	unchanged	within_token_limit	653	653	653	1	1	A	A	none	none
T0246	protein_domain	unchanged	within_token_limit	168	168	168	1	1	A	A	none	none
T0257	protein_domain	unchanged	within_token_limit	1263	1263	1263	1	1	A	A	none	none
T0259	protein_domain	unchanged	within_token_limit	243	243	243	1	1	A	A	none	none
T0270	protein_domain	unchanged	within_token_limit	437	437	437	1	1	A	A	none	none
T1201	protein_domain	unchanged	within_token_limit	408	408	408	1	1	A,B	A,B	none	none
T1206	protein_domain	unchanged	within_token_limit	237	237	237	1	1	A	A	none	none
T1207	protein_domain	unchanged	within_token_limit	144	144	144	1	1	A	A	none	none
T1210	protein_domain	unchanged	within_token_limit	1770	1770	1770	1	1	A	A	none	none
T1218	protein_domain	unchanged	within_token_limit	1164	1164	1164	1	1	A	A	none	none
T1226	protein_domain	unchanged	within_token_limit	123	123	123	1	1	A	A	none	none
T1228V1	protein_domain	unchanged	requires_protein_only_job	0	0	0	0	1	none	none	none	none
T1231	protein_domain	unchanged	within_token_limit	142	142	142	1	1	A	A	none	none
T1234	protein_domain	unchanged	within_token_limit	413	413	413	1	1	A	A	none	none
T1235	protein_domain	unchanged	within_token_limit	115	115	115	1	1	A	A	none	none
T1237	protein_domain	unchanged	within_token_limit	488	488	488	1	1	A	A	none	none
T1239V1	protein_domain	unchanged	requires_protein_only_job	0	0	0	0	1	none	none	none	none
T1240	protein_domain	unchanged	within_token_limit	653	653	653	1	1	A	A	none	none
T1243	protein_domain	unchanged	within_token_limit	293	293	293	1	1	A	A	none	none
T1246	protein_domain	unchanged	within_token_limit	168	168	168	1	1	A	A	none	none
T1249V1	protein_domain	unchanged	within_token_limit	1464	1464	1464	1	1	A,B,C	A,B,C	none	none
T1257	protein_domain	unchanged	within_token_limit	1263	1263	1263	1	1	A	A	none	none
T1259	protein_domain	unchanged	within_token_limit	243	243	243	1	1	A	A	none	none
T1266	protein_domain	unchanged	within_token_limit	316	316	316	1	1	A	A	none	none
T1269	protein_domain	unchanged	within_token_limit	1410	1410	1410	1	1	A	A	none	none
T1270	protein_domain	unchanged	within_token_limit	437	437	437	1	1	A	A	none	none
T1274	protein_domain	unchanged	within_token_limit	167	167	167	1	1	A	A	none	none
T1276	protein_domain	unchanged	requires_protein_only_job	0	0	0	0	1	none	none	none	none
T1278	protein_domain	unchanged	within_token_limit	360	360	360	1	1	A	A	none	none
T1279	protein_domain	unchanged	within_token_limit	428	428	428	1	1	A	A	none	none
T1280	protein_domain	unchanged	within_token_limit	237	237	237	1	1	A	A	none	none
T1284	protein_domain	unchanged	within_token_limit	120	120	120	1	1	A	A	none	none
T1292	protein_domain	unchanged	within_token_limit	380	380	380	1	1	A,B	A,B	none	none
T1294V1	protein_domain	unchanged	within_token_limit	428	428	428	1	1	A,B	A,B	none	none
T1295	protein_domain	changed	none	3752	3752	2345	1	1	A,B,C,D,E,F,G,H	A,B,C,D,E	F,G,H	oversize_prefix_budget:2560,dropped_chains:3
T1298	protein_domain	unchanged	within_token_limit	684	684	684	1	1	A,B	A,B	none	none
T1299	protein_domain	unchanged	within_token_limit	168	168	168	1	1	A	A	none	none
T2201	protein_domain	unchanged	within_token_limit	408	408	408	1	1	A,B	A,B	none	none
T2206	protein_domain	unchanged	within_token_limit	237	237	237	1	1	A	A	none	none
T2207	protein_domain	unchanged	within_token_limit	144	144	144	1	1	A	A	none	none
T2210	protein_domain	unchanged	within_token_limit	1770	1770	1770	1	1	A	A	none	none
T2218	protein_domain	unchanged	within_token_limit	1164	1164	1164	1	1	A	A	none	none
T2226	protein_domain	unchanged	within_token_limit	123	123	123	1	1	A	A	none	none
T2231	protein_domain	unchanged	within_token_limit	142	142	142	1	1	A	A	none	none
T2234	protein_domain	unchanged	within_token_limit	413	413	413	1	1	A	A	none	none
T2235	protein_domain	unchanged	within_token_limit	115	115	115	1	1	A	A	none	none
T2237	protein_domain	unchanged	within_token_limit	488	488	488	1	1	A	A	none	none
T2240	protein_domain	unchanged	within_token_limit	653	653	653	1	1	A	A	none	none
T2243	protein_domain	unchanged	within_token_limit	293	293	293	1	1	A	A	none	none
T2246	protein_domain	unchanged	within_token_limit	168	168	168	1	1	A	A	none	none
T2249V1	protein_domain	unchanged	within_token_limit	1464	1464	1464	1	1	A,B,C	A,B,C	none	none
T2257	protein_domain	unchanged	within_token_limit	1263	1263	1263	1	1	A	A	none	none
T2259	protein_domain	unchanged	within_token_limit	243	243	243	1	1	A	A	none	none
T2266	protein_domain	unchanged	within_token_limit	316	316	316	1	1	A	A	none	none
T2269	protein_domain	unchanged	within_token_limit	1410	1410	1410	1	1	A	A	none	none
T2270	protein_domain	unchanged	within_token_limit	437	437	437	1	1	A	A	none	none
T2274	protein_domain	unchanged	within_token_limit	167	167	167	1	1	A	A	none	none
T2276	protein_domain	unchanged	requires_protein_only_job	0	0	0	0	1	none	none	none	none
T2278	protein_domain	unchanged	within_token_limit	360	360	360	1	1	A	A	none	none
T2279	protein_domain	unchanged	within_token_limit	428	428	428	1	1	A	A	none	none
T2280	protein_domain	unchanged	within_token_limit	237	237	237	1	1	A	A	none	none
T2284	protein_domain	unchanged	within_token_limit	120	120	120	1	1	A	A	none	none
H0208	protein_oligo	unchanged	within_token_limit	646	646	646	2	2	A,B	A,B	none	none
H0215	protein_oligo	unchanged	within_token_limit	369	369	369	2	2	A,B	A,B	none	none
H0217	protein_oligo	changed	none	2899	2899	2312	6	5	A,B,C,D,E,F	A,B,C,D,E	F	oversize_prefix_budget:2560,dropped_chains:1
H0220	protein_oligo	unchanged	within_token_limit	2515	2515	2515	2	2	A,B,C,D,E	A,B,C,D,E	none	none
H0222	protein_oligo	unchanged	within_token_limit	485	485	485	3	3	A,B,C	A,B,C	none	none
H0223	protein_oligo	unchanged	within_token_limit	486	486	486	3	3	A,B,C	A,B,C	none	none
H0225	protein_oligo	unchanged	within_token_limit	483	483	483	3	3	A,B,C	A,B,C	none	none
H0227	protein_oligo	unchanged	within_token_limit	1304	1304	1304	2	2	A,B	A,B	none	none
H0229	protein_oligo	unchanged	within_token_limit	987	987	987	2	2	A,B	A,B	none	none
H0230	protein_oligo	unchanged	within_token_limit	984	984	984	2	2	A,B	A,B	none	none
H0232	protein_oligo	unchanged	within_token_limit	924	924	924	2	2	A,B,C,D	A,B,C,D	none	none
H0233	protein_oligo	unchanged	within_token_limit	1316	1316	1316	3	3	A,B,C,D,E,F	A,B,C,D,E,F	none	none
H0236	protein_oligo	unchanged	within_token_limit	1929	1929	1929	2	2	A,B,C,D,E,F,G,H,I	A,B,C,D,E,F,G,H,I	none	none
H0244	protein_oligo	unchanged	within_token_limit	850	850	850	3	3	A,B,C,D,E,F	A,B,C,D,E,F	none	none
H0245	protein_oligo	unchanged	within_token_limit	317	317	317	2	2	A,B	A,B	none	none
H0258	protein_oligo	changed	none	2782	2782	2535	2	1	A,B	A	B	oversize_prefix_budget:2560,dropped_chains:1
H0265	protein_oligo	unchanged	within_token_limit	293	293	293	2	2	A,B	A,B	none	none
H0267	protein_oligo	unchanged	within_token_limit	1852	1852	1852	2	2	A,B,C,D	A,B,C,D	none	none
H0272	protein_oligo	changed	none	6799	6799	2285	9	7	A,B,C,D,E,F,G,H,I	B,C,D,E,F,G,I	A,H	oversize_prefix_budget:2560,dropped_chains:2
H1202	protein_oligo	unchanged	within_token_limit	380	380	380	2	2	A,B,C,D	A,B,C,D	none	none
H1204	protein_oligo	unchanged	within_token_limit	846	846	846	3	3	A,B,C,D,E,F	A,B,C,D,E,F	none	none
H1208	protein_oligo	unchanged	within_token_limit	646	646	646	2	2	A,B	A,B	none	none
H1215	protein_oligo	unchanged	within_token_limit	369	369	369	2	2	A,B	A,B	none	none
H1217	protein_oligo	changed	none	2899	2899	2312	6	5	A,B,C,D,E,F	A,B,C,D,E	F	oversize_prefix_budget:2560,dropped_chains:1
H1220	protein_oligo	unchanged	within_token_limit	2515	2515	2515	2	2	A,B,C,D,E	A,B,C,D,E	none	none
H1222	protein_oligo	unchanged	within_token_limit	485	485	485	3	3	A,B,C	A,B,C	none	none
H1223	protein_oligo	unchanged	within_token_limit	486	486	486	3	3	A,B,C	A,B,C	none	none
H1225	protein_oligo	unchanged	within_token_limit	483	483	483	3	3	A,B,C	A,B,C	none	none
H1227	protein_oligo	unchanged	within_token_limit	1304	1304	1304	2	2	A,B	A,B	none	none
H1229	protein_oligo	unchanged	within_token_limit	987	987	987	2	2	A,B	A,B	none	none
H1230	protein_oligo	unchanged	within_token_limit	984	984	984	2	2	A,B	A,B	none	none
H1232	protein_oligo	unchanged	within_token_limit	924	924	924	2	2	A,B,C,D	A,B,C,D	none	none
H1233	protein_oligo	unchanged	within_token_limit	1316	1316	1316	3	3	A,B,C,D,E,F	A,B,C,D,E,F	none	none
