target_id	track	status	skip_reason	benchmark_oligo_state	official_oligo_state	original_counts	optimized_counts	original_chain_ids	optimized_chain_ids	original_total_len	optimized_total_len	rules
T0206	protein_domain	unchanged	not_protein_oligo	UNK	UNK	1	1	A	A	237	237	none
T0218	protein_domain	unchanged	not_protein_oligo	UNK	UNK	1	1	A	A	1164	1164	none
T0234	protein_domain	unchanged	not_protein_oligo	UNK	UNK	1	1	A	A	413	413	none
T0235	protein_domain	unchanged	not_protein_oligo	UNK	UNK	1	1	A	A	115	115	none
T0237	protein_domain	unchanged	not_protein_oligo	UNK	UNK	1	1	A	A	488	488	none
T0240	protein_domain	unchanged	not_protein_oligo	UNK	UNK	1	1	A	A	653	653	none
T0246	protein_domain	unchanged	not_protein_oligo	UNK	UNK	1	1	A	A	168	168	none
T0257	protein_domain	unchanged	not_protein_oligo	UNK	UNK	1	1	A	A	1263	1263	none
T0259	protein_domain	unchanged	not_protein_oligo	UNK	UNK	1	1	A	A	243	243	none
T0270	protein_domain	unchanged	not_protein_oligo	UNK	UNK	1	1	A	A	437	437	none
T1201	protein_domain	unchanged	not_protein_oligo	A2	A2	2	2	A,B	A,B	408	408	none
T1206	protein_domain	unchanged	not_protein_oligo	UNK	A2	1	1	A	A	237	237	none
T1207	protein_domain	unchanged	not_protein_oligo	A1	A1	1	1	A	A	144	144	none
T1210	protein_domain	unchanged	not_protein_oligo	A1	A1	1	1	A	A	1770	1770	none
T1218	protein_domain	unchanged	not_protein_oligo	UNK	A2	1	1	A	A	1164	1164	none
T1226	protein_domain	unchanged	not_protein_oligo	A1	A1	1	1	A	A	123	123	none
T1228V1	protein_domain	unchanged	not_protein_oligo	A1	none	1	1	A	A	545	545	none
T1231	protein_domain	unchanged	not_protein_oligo	A1	A1	1	1	A	A	142	142	none
T1234	protein_domain	unchanged	not_protein_oligo	UNK	A3	1	1	A	A	413	413	none
T1235	protein_domain	unchanged	not_protein_oligo	UNK	A6	1	1	A	A	115	115	none
T1237	protein_domain	unchanged	not_protein_oligo	UNK	A4	1	1	A	A	488	488	none
T1239V1	protein_domain	unchanged	not_protein_oligo	A1	none	1	1	A	A	620	620	none
T1240	protein_domain	unchanged	not_protein_oligo	UNK	A3	1	1	A	A	653	653	none
T1243	protein_domain	unchanged	not_protein_oligo	A1	A1	1	1	A	A	293	293	none
T1246	protein_domain	unchanged	not_protein_oligo	UNK	A1	1	1	A	A	168	168	none
T1249V1	protein_domain	unchanged	not_protein_oligo	A3	none	3	3	A,B,C	A,B,C	1464	1464	none
T1257	protein_domain	unchanged	not_protein_oligo	UNK	A3	1	1	A	A	1263	1263	none
T1259	protein_domain	unchanged	not_protein_oligo	UNK	A3	1	1	A	A	243	243	none
T1266	protein_domain	unchanged	not_protein_oligo	A1	A1	1	1	A	A	316	316	none
T1269	protein_domain	unchanged	not_protein_oligo	A1	A1	1	1	A	A	1410	1410	none
T1270	protein_domain	unchanged	not_protein_oligo	UNK	A6	1	1	A	A	437	437	none
T1274	protein_domain	unchanged	not_protein_oligo	A1	A1	1	1	A	A	167	167	none
T1276	protein_domain	unchanged	not_protein_oligo	A1	A1	1	1	A	A	196	196	none
T1278	protein_domain	unchanged	not_protein_oligo	A1	A1	1	1	A	A	360	360	none
T1279	protein_domain	unchanged	not_protein_oligo	An	An	1	1	A	A	428	428	none
T1280	protein_domain	unchanged	not_protein_oligo	A1	A1	1	1	A	A	237	237	none
T1284	protein_domain	unchanged	not_protein_oligo	A1	A1	1	1	A	A	120	120	none
T1292	protein_domain	unchanged	not_protein_oligo	A2	A2	2	2	A,B	A,B	380	380	none
T1294V1	protein_domain	unchanged	not_protein_oligo	A2	none	2	2	A,B	A,B	428	428	none
T1295	protein_domain	unchanged	not_protein_oligo	A8	A8	5	5	A,B,C,D,E	A,B,C,D,E	2345	2345	none
T1298	protein_domain	unchanged	not_protein_oligo	A2	A2	2	2	A,B	A,B	684	684	none
T1299	protein_domain	unchanged	not_protein_oligo	A1	A1	1	1	A	A	168	168	none
H0208	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	UNK	1,1	1,1	A,B	A,B	646	646	none
H0215	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	UNK	1,1	1,1	A,B	A,B	369	369	none
H0217	protein_oligo	unchanged	official_oligo_state_unavailable	UNK	UNK	1,1,1,1,1	1,1,1,1,1	A,B,C,D,E	A,B,C,D,E	2352	2352	none
