target_id	track	status	skip_reason	sequence_index	original_total_len	optimized_total_len	original_count	optimized_count	original_chain_ids	optimized_chain_ids	rules
T0206	protein_domain	unchanged	within_token_limit	0	237	237	1	1	A	A	none
T0218	protein_domain	unchanged	within_token_limit	0	1164	1164	1	1	A	A	none
T0234	protein_domain	unchanged	within_token_limit	0	413	413	1	1	A	A	none
T0235	protein_domain	unchanged	within_token_limit	0	115	115	1	1	A	A	none
T0237	protein_domain	unchanged	within_token_limit	0	488	488	1	1	A	A	none
T0240	protein_domain	unchanged	within_token_limit	0	653	653	1	1	A	A	none
T0246	protein_domain	unchanged	within_token_limit	0	168	168	1	1	A	A	none
T0257	protein_domain	unchanged	within_token_limit	0	1263	1263	1	1	A	A	none
T0259	protein_domain	unchanged	within_token_limit	0	243	243	1	1	A	A	none
T0270	protein_domain	unchanged	within_token_limit	0	437	437	1	1	A	A	none
T1201	protein_domain	unchanged	within_token_limit	0	420	420	2	2	A,B	A,B	none
T1206	protein_domain	unchanged	within_token_limit	0	237	237	1	1	A	A	none
T1207	protein_domain	unchanged	within_token_limit	0	144	144	1	1	A	A	none
T1210	protein_domain	unchanged	within_token_limit	0	1770	1770	1	1	A	A	none
T1218	protein_domain	unchanged	within_token_limit	0	1164	1164	1	1	A	A	none
T1226	protein_domain	unchanged	within_token_limit	0	123	123	1	1	A	A	none
T1228V1	protein_domain	unchanged	requires_protein_only_job		0	0			none	none	none
T1231	protein_domain	unchanged	within_token_limit	0	142	142	1	1	A	A	none
T1234	protein_domain	unchanged	within_token_limit	0	413	413	1	1	A	A	none
T1235	protein_domain	unchanged	within_token_limit	0	115	115	1	1	A	A	none
T1237	protein_domain	unchanged	within_token_limit	0	488	488	1	1	A	A	none
T1239V1	protein_domain	unchanged	requires_protein_only_job		0	0			none	none	none
T1240	protein_domain	unchanged	within_token_limit	0	653	653	1	1	A	A	none
T1243	protein_domain	unchanged	within_token_limit	0	293	293	1	1	A	A	none
T1246	protein_domain	unchanged	within_token_limit	0	168	168	1	1	A	A	none
T1249V1	protein_domain	unchanged	within_token_limit	0	1464	1464	3	3	A,B,C	A,B,C	none
T1257	protein_domain	unchanged	within_token_limit	0	1263	1263	1	1	A	A	none
T1259	protein_domain	unchanged	within_token_limit	0	243	243	1	1	A	A	none
T1266	protein_domain	unchanged	within_token_limit	0	336	336	1	1	A	A	none
T1269	protein_domain	unchanged	within_token_limit	0	1410	1410	1	1	A	A	none
T1270	protein_domain	unchanged	within_token_limit	0	437	437	1	1	A	A	none
T1274	protein_domain	unchanged	within_token_limit	0	167	167	1	1	A	A	none
T1276	protein_domain	unchanged	requires_protein_only_job		0	0			none	none	none
T1278	protein_domain	unchanged	within_token_limit	0	380	380	1	1	A	A	none
T1279	protein_domain	unchanged	within_token_limit	0	428	428	1	1	A	A	none
T1280	protein_domain	unchanged	within_token_limit	0	237	237	1	1	A	A	none
T1284	protein_domain	unchanged	within_token_limit	0	120	120	1	1	A	A	none
T1292	protein_domain	unchanged	within_token_limit	0	392	392	2	2	A,B	A,B	none
T1294V1	protein_domain	unchanged	within_token_limit	0	428	428	2	2	A,B	A,B	none
T1295	protein_domain	changed	none	0	3752	469	8	1	A,B,C,D,E,F,G,H	A	domain_oversize_count_to_one:count=8
T1298	protein_domain	unchanged	within_token_limit	0	684	684	2	2	A,B	A,B	none
T1299	protein_domain	unchanged	within_token_limit	0	168	168	1	1	A	A	none
H0208	protein_oligo	unchanged	not_protein_domain	0	646	646	1	1	A	A	none
H0215	protein_oligo	unchanged	not_protein_domain	0	369	369	1	1	A	A	none
H0217	protein_oligo	unchanged	not_protein_domain	0	2939	2939	1	1	A	A	none
H0220	protein_oligo	unchanged	not_protein_domain		0	0			none	none	none
H0222	protein_oligo	unchanged	not_protein_domain	0	485	485	1	1	A	A	none
H0223	protein_oligo	unchanged	not_protein_domain	0	486	486	1	1	A	A	none
H0225	protein_oligo	unchanged	not_protein_domain	0	483	483	1	1	A	A	none
H0227	protein_oligo	unchanged	not_protein_domain	0	1304	1304	1	1	A	A	none
H0229	protein_oligo	unchanged	not_protein_domain	0	987	987	1	1	A	A	none
H0230	protein_oligo	unchanged	not_protein_domain	0	984	984	1	1	A	A	none
H0232	protein_oligo	unchanged	not_protein_domain	0	462	462	1	1	A	A	none
H0233	protein_oligo	unchanged	not_protein_domain	0	658	658	1	1	A	A	none
H0236	protein_oligo	unchanged	not_protein_domain	0	528	528	1	1	A	A	none
H0244	protein_oligo	unchanged	not_protein_domain	0	425	425	1	1	A	A	none
H0245	protein_oligo	unchanged	not_protein_domain	0	317	317	1	1	A	A	none
H0258	protein_oligo	unchanged	not_protein_domain	0	2827	2827	1	1	A	A	none
H0265	protein_oligo	unchanged	not_protein_domain	0	293	293	1	1	A	A	none
H0267	protein_oligo	unchanged	not_protein_domain	0	926	926	1	1	A	A	none
H0272	protein_oligo	unchanged	not_protein_domain	0	6879	6879	1	1	A	A	none
H1202	protein_oligo	unchanged	not_protein_domain	0	380	380	2	2	A,B	A,B	none
H1204	protein_oligo	unchanged	not_protein_domain	0	858	858	2	2	A,B	A,B	none
H1208	protein_oligo	unchanged	not_protein_domain	0	646	646	1	1	A	A	none
H1215	protein_oligo	unchanged	not_protein_domain	0	369	369	1	1	A	A	none
H1217	protein_oligo	unchanged	not_protein_domain	0	2939	2939	1	1	A	A	none
H1220	protein_oligo	unchanged	not_protein_domain		0	0			none	none	none
H1222	protein_oligo	unchanged	not_protein_domain	0	485	485	1	1	A	A	none
H1223	protein_oligo	unchanged	not_protein_domain	0	486	486	1	1	A	A	none
H1225	protein_oligo	unchanged	not_protein_domain	0	483	483	1	1	A	A	none
H1227	protein_oligo	unchanged	not_protein_domain	0	1304	1304	1	1	A	A	none
H1229	protein_oligo	unchanged	not_protein_domain	0	987	987	1	1	A	A	none
H1230	protein_oligo	unchanged	not_protein_domain	0	984	984	1	1	A	A	none
H1232	protein_oligo	unchanged	not_protein_domain	0	462	462	1	1	A	A	none
H1233	protein_oligo	unchanged	not_protein_domain	0	658	658	1	1	A	A	none
H1236	protein_oligo	unchanged	not_protein_domain	0	528	528	1	1	A	A	none
H1244	protein_oligo	unchanged	not_protein_domain	0	425	425	1	1	A	A	none
H1245	protein_oligo	unchanged	not_protein_domain	0	317	317	1	1	A	A	none
H1258	protein_oligo	unchanged	not_protein_domain	0	2827	2827	1	1	A	A	none
H1265	protein_oligo	unchanged	not_protein_domain	0	293	293	1	1	A	A	none
H1267	protein_oligo	unchanged	not_protein_domain	0	926	926	1	1	A	A	none
H1272	protein_oligo	unchanged	not_protein_domain	0	6879	6879	1	1	A	A	none
T0206O	protein_oligo	unchanged	not_protein_domain	0	237	237	1	1	A	A	none
T0218O	protein_oligo	unchanged	not_protein_domain	0	1164	1164	1	1	A	A	none
T0234O	protein_oligo	unchanged	not_protein_domain	0	413	413	1	1	A	A	none
T0235O	protein_oligo	unchanged	not_protein_domain	0	115	115	1	1	A	A	none
T0237O	protein_oligo	unchanged	not_protein_domain	0	488	488	1	1	A	A	none
T0240O	protein_oligo	unchanged	not_protein_domain	0	653	653	1	1	A	A	none
T0257O	protein_oligo	unchanged	not_protein_domain	0	1263	1263	1	1	A	A	none
T0259O	protein_oligo	unchanged	not_protein_domain	0	243	243	1	1	A	A	none
T0270O	protein_oligo	unchanged	not_protein_domain	0	437	437	1	1	A	A	none
T1201O	protein_oligo	unchanged	not_protein_domain	0	420	420	2	2	A,B	A,B	none
T1206O	protein_oligo	unchanged	not_protein_domain	0	237	237	1	1	A	A	none
T1218O	protein_oligo	unchanged	not_protein_domain	0	1164	1164	1	1	A	A	none
T1234O	protein_oligo	unchanged	not_protein_domain	0	413	413	1	1	A	A	none
T1235O	protein_oligo	unchanged	not_protein_domain	0	115	115	1	1	A	A	none
T1237O	protein_oligo	unchanged	not_protein_domain	0	488	488	1	1	A	A	none
T1240O	protein_oligo	unchanged	not_protein_domain	0	653	653	1	1	A	A	none
T1249V1O	protein_oligo	unchanged	not_protein_domain	0	1464	1464	3	3	A,B,C	A,B,C	none
T1257O	protein_oligo	unchanged	not_protein_domain	0	1263	1263	1	1	A	A	none
T1259O	protein_oligo	unchanged	not_protein_domain	0	243	243	1	1	A	A	none
T1270O	protein_oligo	unchanged	not_protein_domain	0	437	437	1	1	A	A	none
T1292O	protein_oligo	unchanged	not_protein_domain	0	392	392	2	2	A,B	A,B	none
T1294V1O	protein_oligo	unchanged	not_protein_domain	0	428	428	2	2	A,B	A,B	none
T1295O	protein_oligo	unchanged	not_protein_domain	0	3752	3752	8	8	A,B,C,D,E,F,G,H	A,B,C,D,E,F,G,H	none
