phase	target_id	track	status	skip_reason	source_target_id	source_record_ids	original_entity_count	optimized_entity_count	original_total_len	optimized_total_len	dropped_chain_ids	rules
protein_oligo_sequence_recovery	H0220	protein_oligo	changed	none	H1220	H1220,H1220	2	2	554	2515	none	protein_sequence_recovery
protein_oligo_sequence_recovery	H1220	protein_oligo	changed	none	H1220	H1220,H1220	2	2	554	2515	none	protein_sequence_recovery
protein_oligo_sequence_recovery	H1265_V1	protein_oligo	changed	none	H1265	H1265,H1265	0	2	0	293	none	protein_sequence_recovery
protein_oligo_sequence_recovery	H1265_V2	protein_oligo	changed	none	H1265	H1265,H1265	0	2	0	293	none	protein_sequence_recovery
protein_oligo_sequence_recovery	H1265_V3	protein_oligo	changed	none	H1265	H1265,H1265	0	2	0	293	none	protein_sequence_recovery
protein_oligo_sequence_recovery	H2220	protein_oligo	changed	none	H1220	H1220,H1220	2	2	554	2515	none	protein_sequence_recovery
protein_oligo_sequence_recovery	T1249V2O	protein_oligo	unchanged	no_recoverable_protein_sequence	none	none	0	0	0	0	none	none
protein_oligo_sequence_recovery	T1269V1O	protein_oligo	unchanged	no_recoverable_protein_sequence	none	none	0	0	0	0	none	none
protein_oligo_sequence_recovery	T2249V2O	protein_oligo	unchanged	no_recoverable_protein_sequence	none	none	0	0	0	0	none	none
oligo_stoich_token_safe	T0206	protein_domain	unchanged	not_protein_oligo	none	none			474	474	none	none
oligo_stoich_token_safe	T0218	protein_domain	unchanged	not_protein_oligo	none	none			2328	2328	none	none
oligo_stoich_token_safe	T0234	protein_domain	unchanged	not_protein_oligo	none	none			1239	1239	none	none
oligo_stoich_token_safe	T0235	protein_domain	unchanged	not_protein_oligo	none	none			690	690	none	none
oligo_stoich_token_safe	T0237	protein_domain	unchanged	not_protein_oligo	none	none			1952	1952	none	none
oligo_stoich_token_safe	T0240	protein_domain	unchanged	not_protein_oligo	none	none			1959	1959	none	none
oligo_stoich_token_safe	T0246	protein_domain	unchanged	not_protein_oligo	none	none			168	168	none	none
oligo_stoich_token_safe	T0257	protein_domain	unchanged	not_protein_oligo	none	none			3789	3789	none	none
oligo_stoich_token_safe	T0259	protein_domain	unchanged	not_protein_oligo	none	none			729	729	none	none
oligo_stoich_token_safe	T0270	protein_domain	unchanged	not_protein_oligo	none	none			2622	2622	none	none
oligo_stoich_token_safe	T1201	protein_domain	unchanged	not_protein_oligo	none	none			420	420	none	none
oligo_stoich_token_safe	T1206	protein_domain	unchanged	not_protein_oligo	none	none			474	474	none	none
oligo_stoich_token_safe	T1207	protein_domain	unchanged	not_protein_oligo	none	none			144	144	none	none
oligo_stoich_token_safe	T1210	protein_domain	unchanged	not_protein_oligo	none	none			1770	1770	none	none
oligo_stoich_token_safe	T1218	protein_domain	unchanged	not_protein_oligo	none	none			2328	2328	none	none
oligo_stoich_token_safe	T1226	protein_domain	unchanged	not_protein_oligo	none	none			123	123	none	none
oligo_stoich_token_safe	T1228V1	protein_domain	unchanged	not_protein_oligo	none	none			0	0	none	none
oligo_stoich_token_safe	T1231	protein_domain	unchanged	not_protein_oligo	none	none			142	142	none	none
oligo_stoich_token_safe	T1234	protein_domain	unchanged	not_protein_oligo	none	none			1239	1239	none	none
oligo_stoich_token_safe	T1235	protein_domain	unchanged	not_protein_oligo	none	none			690	690	none	none
oligo_stoich_token_safe	T1237	protein_domain	unchanged	not_protein_oligo	none	none			1952	1952	none	none
oligo_stoich_token_safe	T1239V1	protein_domain	unchanged	not_protein_oligo	none	none			0	0	none	none
oligo_stoich_token_safe	T1240	protein_domain	unchanged	not_protein_oligo	none	none			1959	1959	none	none
oligo_stoich_token_safe	T1243	protein_domain	unchanged	not_protein_oligo	none	none			293	293	none	none
oligo_stoich_token_safe	T1246	protein_domain	unchanged	not_protein_oligo	none	none			168	168	none	none
oligo_stoich_token_safe	T1249V1	protein_domain	unchanged	not_protein_oligo	none	none			1464	1464	none	none
oligo_stoich_token_safe	T1257	protein_domain	unchanged	not_protein_oligo	none	none			3789	3789	none	none
oligo_stoich_token_safe	T1259	protein_domain	unchanged	not_protein_oligo	none	none			729	729	none	none
oligo_stoich_token_safe	T1266	protein_domain	unchanged	not_protein_oligo	none	none			336	336	none	none
oligo_stoich_token_safe	T1269	protein_domain	unchanged	not_protein_oligo	none	none			1410	1410	none	none
