target_id	track	status	skip_reason	source_target_id	source_record_ids	original_entity_count	optimized_entity_count	original_total_len	optimized_total_len	rules
T1212	protein_domain	changed	none	T1212	T1212	0	1	0	466	protein_sequence_recovery
T1228V1	protein_domain	changed	none	T1228V1	T1228v1	1	1	121	545	protein_sequence_recovery
T1228V2	protein_domain	changed	none	T1228V1	T1228v1	0	1	0	545	protein_sequence_recovery
T1239V1	protein_domain	changed	none	T1239V1	T1239v1	1	1	141	620	protein_sequence_recovery
T1239V2	protein_domain	changed	none	T1239V1	T1239v1	0	1	0	620	protein_sequence_recovery
T1276	protein_domain	changed	none	T1276	T1276	1	1	40	196	protein_sequence_recovery
T1294V2	protein_domain	changed	none	T1294V1	T1294v1	0	1	0	428	protein_sequence_recovery
T2201	protein_domain	changed	none	T1201	T1201	0	1	0	420	protein_sequence_recovery
T2206	protein_domain	changed	none	T1206	T1206	0	1	0	474	protein_sequence_recovery
T2207	protein_domain	changed	none	T1207	T1207	0	1	0	144	protein_sequence_recovery
T2210	protein_domain	changed	none	T1210	T1210	0	1	0	1770	protein_sequence_recovery
T2218	protein_domain	changed	none	T1218	T1218	0	1	0	2328	protein_sequence_recovery
T2226	protein_domain	changed	none	T1226	T1226	0	1	0	123	protein_sequence_recovery
T2231	protein_domain	changed	none	T1231	T1231	0	1	0	142	protein_sequence_recovery
T2234	protein_domain	changed	none	T1234	T1234	0	1	0	1239	protein_sequence_recovery
T2235	protein_domain	changed	none	T1235	T1235	0	1	0	690	protein_sequence_recovery
T2237	protein_domain	changed	none	T1237	T1237	0	1	0	1952	protein_sequence_recovery
T2240	protein_domain	changed	none	T1240	T1240	0	1	0	1959	protein_sequence_recovery
T2243	protein_domain	changed	none	T1243	T1243	0	1	0	293	protein_sequence_recovery
T2246	protein_domain	changed	none	T1246	T1246	0	1	0	168	protein_sequence_recovery
T2249V1	protein_domain	changed	none	T1249V1	T1249v1	0	1	0	1464	protein_sequence_recovery
T2257	protein_domain	changed	none	T1257	T1257	0	1	0	3789	protein_sequence_recovery
T2259	protein_domain	changed	none	T1259	T1259	0	1	0	729	protein_sequence_recovery
T2266	protein_domain	changed	none	T1266	T1266	0	1	0	336	protein_sequence_recovery
T2269	protein_domain	changed	none	T1269	T1269	0	1	0	1410	protein_sequence_recovery
T2270	protein_domain	changed	none	T1270	T1270	0	1	0	2622	protein_sequence_recovery
T2274	protein_domain	changed	none	T1274	T1274	0	1	0	167	protein_sequence_recovery
T2276	protein_domain	changed	none	T1276	T1276	0	1	0	196	protein_sequence_recovery
T2278	protein_domain	changed	none	T1278	T1278	0	1	0	380	protein_sequence_recovery
T2279	protein_domain	changed	none	T1279	T1279	0	1	0	428	protein_sequence_recovery
T2280	protein_domain	changed	none	T1280	T1280	0	1	0	237	protein_sequence_recovery
T2284	protein_domain	changed	none	T1284	T1284	0	1	0	120	protein_sequence_recovery
