job_name	source	rank_scope	source_target_id	domain_id	residue_ranges	original_len	fragment_len	chain_ids	selection_reason
T1210__T1210-D1	/scratch/10992/liaorunlong93/casp16-leaderboard/strategies/yang_domain_fragment_inputs_v1/casp16_server_protein_v1/inputs.json	target_lab_only	T1210	T1210-D1	19-1651	1770	1633	A	long_domain_positive_control_reference_available
T1218__T1218-D1	/scratch/10992/liaorunlong93/casp16-leaderboard/strategies/yang_domain_fragment_inputs_v1/casp16_server_protein_v1/inputs.json	target_lab_only	T1218	T1218-D1	64-657	1164	594	A	three_domain_cry26aa_large_domain
T1218__T1218-D2	/scratch/10992/liaorunlong93/casp16-leaderboard/strategies/yang_domain_fragment_inputs_v1/casp16_server_protein_v1/inputs.json	target_lab_only	T1218	T1218-D2	658-1027	1164	370	A	three_domain_cry26aa_middle_domain
T1218__T1218-D3	/scratch/10992/liaorunlong93/casp16-leaderboard/strategies/yang_domain_fragment_inputs_v1/casp16_server_protein_v1/inputs.json	target_lab_only	T1218	T1218-D3	1028-1164	1164	137	A	three_domain_cry26aa_small_domain
T1269__T1269-D1	/scratch/10992/liaorunlong93/casp16-leaderboard/strategies/yang_domain_fragment_inputs_v1/casp16_server_protein_v1/inputs.json	target_lab_only	T1269	T1269-D1	1-357	1410	357	A	three_domain_large_chain_domain_1
T1269__T1269-D2	/scratch/10992/liaorunlong93/casp16-leaderboard/strategies/yang_domain_fragment_inputs_v1/casp16_server_protein_v1/inputs.json	target_lab_only	T1269	T1269-D2	358-762	1410	405	A	three_domain_large_chain_domain_2
T1269__T1269-D3	/scratch/10992/liaorunlong93/casp16-leaderboard/strategies/yang_domain_fragment_inputs_v1/casp16_server_protein_v1/inputs.json	target_lab_only	T1269	T1269-D3	763-1155	1410	393	A	three_domain_large_chain_domain_3
T1257__T1257-D1	/scratch/10992/liaorunlong93/casp16-leaderboard/strategies/yang_domain_fragment_inputs_v1/casp16_server_protein_v1/inputs.json	target_lab_only	T1257	T1257-D1	214-969	1263	756	A	long_single_domain_from_1263aa_source
T1240__T1240-D1	/scratch/10992/liaorunlong93/casp16-leaderboard/strategies/yang_domain_fragment_inputs_v1/casp16_server_protein_v1/inputs.json	target_lab_only	T1240	T1240-D1	375-478	653	104	A	short_domain_from_multidomain_source
T1240__T1240-D2	/scratch/10992/liaorunlong93/casp16-leaderboard/strategies/yang_domain_fragment_inputs_v1/casp16_server_protein_v1/inputs.json	target_lab_only	T1240	T1240-D2	490-638	653	149	A	short_domain_from_multidomain_source
T1270__T1270-D1	/scratch/10992/liaorunlong93/casp16-leaderboard/strategies/yang_domain_fragment_inputs_v1/casp16_server_protein_v1/inputs.json	target_lab_only	T1270	T1270-D1	9-237	437	229	A	two_domain_split_domain_1
T1270__T1270-D2	/scratch/10992/liaorunlong93/casp16-leaderboard/strategies/yang_domain_fragment_inputs_v1/casp16_server_protein_v1/inputs.json	target_lab_only	T1270	T1270-D2	238-437	437	200	A	two_domain_split_domain_2
