job_name	source_target_id	domain_id	status	fragment_len	structure_files	confidence_files	first_structure	first_confidence	plddt	ptm	iptm	ranking_score
T1210__T1210-D1	T1210	T1210-D1	ok	1633	1	1	/scratch/10992/liaorunlong93/casp16-leaderboard/target_lab/domain_fragment_batch_v1/predictions/protenix-v2/T1210__T1210-D1/seed_101/predictions/T1210__T1210-D1_sample_0.cif	/scratch/10992/liaorunlong93/casp16-leaderboard/target_lab/domain_fragment_batch_v1/predictions/protenix-v2/T1210__T1210-D1/seed_101/predictions/T1210__T1210-D1_summary_confidence_sample_0.json	78.393242	0.776336	0.000000	0.155267
T1218__T1218-D1	T1218	T1218-D1	ok	594	1	1	/scratch/10992/liaorunlong93/casp16-leaderboard/target_lab/domain_fragment_batch_v1/predictions/protenix-v2/T1218__T1218-D1/seed_101/predictions/T1218__T1218-D1_sample_0.cif	/scratch/10992/liaorunlong93/casp16-leaderboard/target_lab/domain_fragment_batch_v1/predictions/protenix-v2/T1218__T1218-D1/seed_101/predictions/T1218__T1218-D1_summary_confidence_sample_0.json	93.411873	0.961625	0.000000	0.192325
T1218__T1218-D2	T1218	T1218-D2	ok	370	1	1	/scratch/10992/liaorunlong93/casp16-leaderboard/target_lab/domain_fragment_batch_v1/predictions/protenix-v2/T1218__T1218-D2/seed_101/predictions/T1218__T1218-D2_sample_0.cif	/scratch/10992/liaorunlong93/casp16-leaderboard/target_lab/domain_fragment_batch_v1/predictions/protenix-v2/T1218__T1218-D2/seed_101/predictions/T1218__T1218-D2_summary_confidence_sample_0.json	86.370270	0.863284	0.000000	0.172657
T1218__T1218-D3	T1218	T1218-D3	ok	137	1	1	/scratch/10992/liaorunlong93/casp16-leaderboard/target_lab/domain_fragment_batch_v1/predictions/protenix-v2/T1218__T1218-D3/seed_101/predictions/T1218__T1218-D3_sample_0.cif	/scratch/10992/liaorunlong93/casp16-leaderboard/target_lab/domain_fragment_batch_v1/predictions/protenix-v2/T1218__T1218-D3/seed_101/predictions/T1218__T1218-D3_summary_confidence_sample_0.json	88.896210	0.910904	0.000000	0.182181
T1269__T1269-D1	T1269	T1269-D1	ok	357	1	1	/scratch/10992/liaorunlong93/casp16-leaderboard/target_lab/domain_fragment_batch_v1/predictions/protenix-v2/T1269__T1269-D1/seed_101/predictions/T1269__T1269-D1_sample_0.cif	/scratch/10992/liaorunlong93/casp16-leaderboard/target_lab/domain_fragment_batch_v1/predictions/protenix-v2/T1269__T1269-D1/seed_101/predictions/T1269__T1269-D1_summary_confidence_sample_0.json	89.423752	0.921612	0.000000	0.184322
T1269__T1269-D2	T1269	T1269-D2	ok	405	1	1	/scratch/10992/liaorunlong93/casp16-leaderboard/target_lab/domain_fragment_batch_v1/predictions/protenix-v2/T1269__T1269-D2/seed_101/predictions/T1269__T1269-D2_sample_0.cif	/scratch/10992/liaorunlong93/casp16-leaderboard/target_lab/domain_fragment_batch_v1/predictions/protenix-v2/T1269__T1269-D2/seed_101/predictions/T1269__T1269-D2_summary_confidence_sample_0.json	86.317139	0.858408	0.000000	0.171682
T1269__T1269-D3	T1269	T1269-D3	ok	393	1	1	/scratch/10992/liaorunlong93/casp16-leaderboard/target_lab/domain_fragment_batch_v1/predictions/protenix-v2/T1269__T1269-D3/seed_101/predictions/T1269__T1269-D3_sample_0.cif	/scratch/10992/liaorunlong93/casp16-leaderboard/target_lab/domain_fragment_batch_v1/predictions/protenix-v2/T1269__T1269-D3/seed_101/predictions/T1269__T1269-D3_summary_confidence_sample_0.json	85.120483	0.864165	0.000000	0.172833
T1257__T1257-D1	T1257	T1257-D1	ok	756	1	1	/scratch/10992/liaorunlong93/casp16-leaderboard/target_lab/domain_fragment_batch_v1/predictions/protenix-v2/T1257__T1257-D1/seed_101/predictions/T1257__T1257-D1_sample_0.cif	/scratch/10992/liaorunlong93/casp16-leaderboard/target_lab/domain_fragment_batch_v1/predictions/protenix-v2/T1257__T1257-D1/seed_101/predictions/T1257__T1257-D1_summary_confidence_sample_0.json	87.792107	0.388009	0.000000	0.077602
T1240__T1240-D1	T1240	T1240-D1	ok	104	1	1	/scratch/10992/liaorunlong93/casp16-leaderboard/target_lab/domain_fragment_batch_v1/predictions/protenix-v2/T1240__T1240-D1/seed_101/predictions/T1240__T1240-D1_sample_0.cif	/scratch/10992/liaorunlong93/casp16-leaderboard/target_lab/domain_fragment_batch_v1/predictions/protenix-v2/T1240__T1240-D1/seed_101/predictions/T1240__T1240-D1_summary_confidence_sample_0.json	94.954178	0.947294	0.000000	0.189459
T1240__T1240-D2	T1240	T1240-D2	ok	149	1	1	/scratch/10992/liaorunlong93/casp16-leaderboard/target_lab/domain_fragment_batch_v1/predictions/protenix-v2/T1240__T1240-D2/seed_101/predictions/T1240__T1240-D2_sample_0.cif	/scratch/10992/liaorunlong93/casp16-leaderboard/target_lab/domain_fragment_batch_v1/predictions/protenix-v2/T1240__T1240-D2/seed_101/predictions/T1240__T1240-D2_summary_confidence_sample_0.json	92.632919	0.941269	0.000000	0.188254
T1270__T1270-D1	T1270	T1270-D1	ok	229	1	1	/scratch/10992/liaorunlong93/casp16-leaderboard/target_lab/domain_fragment_batch_v1/predictions/protenix-v2/T1270__T1270-D1/seed_101/predictions/T1270__T1270-D1_sample_0.cif	/scratch/10992/liaorunlong93/casp16-leaderboard/target_lab/domain_fragment_batch_v1/predictions/protenix-v2/T1270__T1270-D1/seed_101/predictions/T1270__T1270-D1_summary_confidence_sample_0.json	84.459747	0.900341	0.000000	0.180068
T1270__T1270-D2	T1270	T1270-D2	ok	200	1	1	/scratch/10992/liaorunlong93/casp16-leaderboard/target_lab/domain_fragment_batch_v1/predictions/protenix-v2/T1270__T1270-D2/seed_101/predictions/T1270__T1270-D2_sample_0.cif	/scratch/10992/liaorunlong93/casp16-leaderboard/target_lab/domain_fragment_batch_v1/predictions/protenix-v2/T1270__T1270-D2/seed_101/predictions/T1270__T1270-D2_summary_confidence_sample_0.json	91.183777	0.943102	0.000000	0.188620
